"Cluster","Comment"
"NGC 2204","All the cluster parameters except the apparent diameter are from (2005, unpublished data). Reference (1976MNRAS.174..225H) draws attention to the strong central concentration of the blue stragglers, also observed in M67 and Melotte 66."
"NGC 2251","Stars 1=HD 259954, 4 (pg)=HD 259989, and 4 (pe)=HD 260022 are cited as blue stragglers in (1985ApJ...294L.103A) and (1982A&A...109...37M). Reference (1985ApJ...294L.103A) gives: star 1 (sp. B2IV, v.sin i<40km/s); star 34 (sp. B9.5V, v.sin i= 200km/s (approx)); star 4 (sp. A0p(Si))."
"NGC 2259","Only straggler candidates inside a radius of 2' around the centre of coordinates have been considered."
"NGC 2266","Adopted cluster centre: star 14 (ref. 214). Star 10 is cited as a blue straggler in the same reference."
"NGC 2281","This cluster shows mass segregation (1978PASJ...30..123Y); in particular, the binaries appear concentrated. Star 62=HD 49010 is cited as a blue straggler in (1985ApJ...294L.103A) and (1982A&A...109...37M). In (1985ApJ...294L.103A) this star is given a spectrum A2:Vp (Si(st),Ca(wk)), and a projected velocity v.sin i=40,100 km/s, while in (1959AJ.....64..170V) it is given a membership probability of 91%."
"NGC 2287","Adopted cluster centre: star 102 (1978A&AS...34..241F). Reference (1979PASP...91..636L) gives the spectra: star 109 = HD 49333, B9IV/B7IIIn(He(wk)); star 116 = HD 49024, B9IIIp(Hg-Mn). The proper motion study (1987AJ.....93..347I) gives star 116 a membership probability of 6%. Stars 109 and 116 are cited as blue stragglers in (1978A&AS...34..241F) and (1981ApJ...247..507E), respectively. Star 109 is also cited as a blue straggler in (1982A&A...109...37M), where it is given a spectrum B4p(He(wk))."
"NGC 2311","All the cluster parameters are from (2005, unpublished data)."
"NGC 2324","Star 168 (ref. 34) = 2668 (WEBDA), which appears as a straggler in the diagrams of (1976AUBas.C......1B), has a membership probability of 0% according to (1993Ap&SS.201...71M). The same reference gives star 59 a 75%. Star 6=HD 53206, star 127=HD 289581"
"NGC 2345","The dereddened colour-magnitude diagram in (1974A&AS...16...33M) was examined."
"NGC 2353","Star 71=HD 55879 has a spectrum O9II(He(wk)) and may be a blue straggler if it is a cluster member, but it is probable that it belongs to the CMa OB1 association (1990PASP..102..865F)."
"NGC 2354","Adopted cluster centre: star 157 (ref. 104). Star 266 is an eclipsing binary (1996A&A...314..448L)."
"NGC 2360","Stars 51 and 100 are cited as blue stragglers in (1968ApJ...152...83E) and (1994AJ....108.1828M). The last reference also considers stars 1, 69, and 82 (WEBDA numbers) as stragglers. Adopted cluster centre: star 46 (1968ApJ...152...83E)."
"NGC 2383","Star 1=BD-20 1913 has a spectrum B0III (1979A&AS...37..345F)."
"NGC 2420","Star 17 (WEBDA number) appears as a straggler in the diagrams of (1990AJ.....99.1504A) but is a non-member according to (1972A&A....20..425V). Other membership probabilities from the same reference: star R, 77%, star g, 90%, star 2206a, 87%. Stars 1116, 2206a, and g are cited as blue stragglers by (1994AJ....108.1828M) based on the photometry (1976AUBas.C......1B)."
"NGC 2422","Reference (1982A&A...109...37M) cites star 1=HD 60855 as a blue straggler of spectrum B2IVe and projected velocity v.sin i=320km/s. The ubvy- beta photometry (1984MNRAS.211..659S) gives star 1 the following: v=5.684, (b-y)=0.004, m1=0.042, c1=0.152, beta=2.554. Adopted cluster centre: star 81 (1962PROE....3...21S)."
"NGC 2437","Diagrams from (1959ArA.....2..379L) and (1962PROE....3...21S) were examined. Star 10 = HD 61954, star 1 = HD 62000, star 2 = HD 62129. Spectra from (1975MSS...C01....0H): A1II/III (star 1), B8IV/V (star 2), and B6Ib (star 10)."
"NGC 2439","Adopted cluster centre: star 205 (1975ApJ...197...67W). Star 2=CD-31 4911 has a spectrum B1.5Ib and is cited as a blue straggler in (1982A&A...109...37M). This may not be a true cluster (WEBDA)."
"NGC 2447","Star 35=ADS 6339 is a binary (delta=0.5 mag, rho=0.7"")."
"NGC 2451","The diagrams in (1976ApJS...30...97D) and (1967MNSSA..26...30W) were examined. Star 175 is HD 61831, star 283 is HD 63465. Adopted cluster centre: star 962 (1967MNSSA..26...30W). The ubvy-beta study (1983AJ.....88..197E) casts doubt on the physical reality of this cluster. Star 283 is cited as a blue straggler in (1985A&A...153..260K). Reference (1975MSS...C01....0H) gives the spectra B3V (star 175), and B2IV/V (star 283)."
"NGC 2467","The dereddened colour-magnitude diagram in (1989A&AS...77..321F) was examined; the authors suggest that this is a superposition of early-type stars rather than a cluster."
"NGC 2477","The apparent cluster diameter is from (1970PDDO....4....1H)."
"NGC 2506","The following membership probabilities are from (1981ApJ...243..827C): star 441, 42%, star 447, 94%, star 462, 71%, star 467, 91%, star 510, 88%, star 571, 42%, star 691, 88%, star 769, 91%. Star 589 (1997MNRAS.291..763M) = 3129 (WEBDA), which also appears as a straggler, is a non-member according to (1981ApJ...243..827C)."
"NGC 2516","Adopted cluster centre: star d in (1955ApJ...121..628C). Star A = HD 66194 = V374 Carinae has a membership probability of 99% (1978, Sydney Obs.Pap., No.81), and a spectrum B2Vne/B3ne (1973A&AS....9..233F). This star is cited as a blue straggler in (1982A&A...109...37M) and (1983A&AS...53..419V), and is considered to be an analogue of the straggler Theta Carinae in IC 2602 by (1981ApJ...246..817E) and (1979PASP...91..442W). According to (2003A&A...404..365G), both components of this binary are main-sequence stars, and would experience mass transfer before abandoning this stage."
"NGC 2527","Star 213=HD 67097 has a spectrum A0V (1973A&AS....9..229L)."
"NGC 2533","Star 52 (sp. B3) is a probable non-member according to (1968ArA.....4..587L). The UBV photoelectric study (1988A&AS...72..193J) gives this star (B-V)=0.06."
"NGC 2539","Stars 423, 610, and 653 appear as stragglers but they are not cluster members according to (2000A&A...361..945L)."
"NGC 2546","Star 544=HD 69067 (Ap), 682=HD 68450 (B0III), spectra from (1975MSS...C01....0H)."
"NGC 2627","All cluster data except the apparent diameter are from (2005AN....326....3A)."
