"Cluster","Comment"
"Melotte_71","This cluster was include in (Dias et al., 2002A&A...389..871D, Cat. B/ocl) however, parameters log(t)=9.112, Av=0.483, [Fe/H]=-0.270 were taken from Bossini et al. (2019A&A...623A.108B, Cat. J/A+A/623/A108)."
"NGC_1039","This cluster was include in (Dias et al., 2002A&A...389..871D, Cat. B/ocl) however, parameters log(t)=8.101, Av=0.239, [Fe/H]=0.00 were taken from Bossini et al. (2019A&A...623A.108B, Cat. J/A+A/623/A108). The distance d=481.2 (dmode+01) of Cantat-Gaudin et al. (2018A&A...618A..93C, Cat. J/A+A18/A93) was use to fit the isochrone."
"NGC_1220","This cluster was include in (Dias et al., 2002A&A...389..871D, Cat. B/ocl) however, parameters log(t)=7.957, Av=2.162, [Fe/H]=0.00  were taken from Bossini et al. (2019A&A...623A.108B, Cat. J/A+A/623/A108)."
"NGC_1245","This object probably suffers from differential reddening. We suggest exploring this effect in future works."
"NGC_1528","This cluster was include in (Dias et al., 2002A&A...389..871D, Cat. B/ocl) however, parameters log(t)=8.596, Av=0.794, [Fe/H]=0.00 were taken from Bossini et al. (2019A&A...623A.108B, Cat. J/A+A/623/A108). The distance d=928.8 (dmode+01) of Cantat-Gaudin et al. (2018A&A...618A..93C, Cat. J/A+A18/A93) was use to fit the isochrone. Ahumada & Lapasset (2007A&A...463..789A, Cat. J/A+A/463/789) cite stars DR2 271672353816125696=HD 26603 and DR2 271765125108457856=HD 26775 as blue stragglers candidates, however both are not a proper-motion members."
"NGC_1545","This cluster was include in (Dias et al., 2002A&A...389..871D, Cat. B/ocl) however, parameters log(t)=8.019, Av=0.917, [Fe/H]=-0.060 were taken from Bossini et al. (2019A&A...623A.108B, Cat. J/A+A/623/A108). The distance d=668.6 (dmode+01) of Cantat-Gaudin et al. (2018A&A...618A..93C, Cat. J/A+A18/A93) was use to fit the isochrone."
"NGC_1647","The distance d=554.2 (dmode+01) of Cantat-Gaudin et al. (2018A&A...618A..93C, Cat. J/A+A18/A93) was use to fit the isochrone."
"NGC_1662","This cluster was include in (Dias et al., 2002A&A...389..871D, Cat. B/ocl) however, parameters log(t)=8.957, Av=0.615, [Fe/H]=-0.110 were taken from Bossini et al. (2019A&A...623A.108B, Cat. J/A+A/623/A108)."
"NGC_1798","This object probably suffers from differential reddening. We suggest exploring this effect in future works."
"NGC_1817","The parameters used to fit the isochrone: log(t)=9.04, E(b-v)=0.23 and [Fe/H]=-0.40 selected from Donati et al. (2014MNRAS.437.1241D, Cat. J/MNRAS/437/1241)."
"NGC_1960","This cluster was include in (Dias et al., 2002A&A...389..871D, Cat. B/ocl) however,  parameters log(t)=7.408, Av=0.657, [Fe/H]= 0.00 were taken from Bossini et al. (2019A&A...623A.108B, Cat. J/A+A/623/A108)."
"NGC_2141","The red limit of the yellow straggler area is BP-RP=1.45. There are several stragglers candidates with a radius larger than the apparent radius of the cluster (r=10 arcmin (Dias et al., 2002A&A...389..871D, Cat. B/ocl). This object probably suffers from differential reddening. We suggest exploring this effect in future works."
"NGC_2158","The red limit of the straggler area is BP-RP=1.00. Best fit with log(t)=9.25, Av=1.3 and solar metallicity. This object probably suffers from differential reddening. We suggest exploring this effect in future works."
"NGC_2194","This object probably suffers from differential reddening. We suggest exploring this effect in future works."
"NGC_2243","Best fit with log(t)=9.5"
"NGC_225","This cluster was include in (Dias et al., 2002A&A...389..871D, Cat. B/ocl) however, parameters log(t)=8.254, Av=0.821, [Fe/H]=0.080 were taken from Bossini et al. (2019A&A...623A.108B, Cat. J/A+A/623/A108)."
"NGC_2287","This cluster was include in (Dias et al., 2002A&A...389..871D, Cat. B/ocl) however, parameters log(t)=8.486, Av=0.059, [Fe/H]=-0.110 were taken from Bossini et al. (2019A&A...623A.108B, Cat. J/A+A/623/A108). Ahumada & Lapasset (2007A&A...463..789A, Cat. J/A+A/463/789) cite stars DR2 2926942116843379968=* 12 CMa and DR2 2927012515646285440=HD 49024 as possible blue stragglers type 2. * 12 CMa it is not a member according to Cantat-Gaudin et al. (2018A&A...618A..93C, Cat. J/A+A18/A93). HD 49024 is a member located around the turnoff of the cluster; therefore, it quite easy to misclassify these star as a straggler, in our catalogue, this object is not included."
"NGC_2302","This cluster was include in (Dias et al., 2002A&A...389..871D, Cat. B/ocl) however, parameters log(t)=7.873, Av=0.636, [Fe/H]=0.00 were taken from Bossini et al. (2019A&A...623A.108B, Cat. J/A+A/623/A108)."
"NGC_2323","This cluster was include in (Dias et al., 2002A&A...389..871D, Cat. B/ocl) however, parameters log(t)=7.975, Av=0.474, [Fe/H]=0.080 were taken from Bossini et al. (2019A&A...623A.108B, Cat. J/A+A/623/A108). Ahumada & Lapasset (2007A&A...463..789A, Cat. J/A+A/463/789) cite stars DR2 3051565643815916672=BD-08 1696 and DR2 3050056976422889472=BD-08 1689. BD-08 1689 is a member according to Cantat-Gaudin et al. (2018A&A...618A..93C, Cat. J/A+A18/A93), but appears just down the turnoff of the cluster, BD-08 1689 instead is not a proper motion member."
"NGC_2343","This cluster was include in (Dias et al., 2002A&A...389..871D, Cat. B/ocl) however,  parameters log(t)=7.934, Av=0.494, [Fe/H]=0.030 were taken from Bossini et al. (2019A&A...623A.108B, Cat. J/A+A/623/A108)."
"NGC_2354","Ahumada & Lapasset (2007A&A...463..789A, Cat. J/A+A/463/789) cite star Gaia DR2 5617124328988907264= TYC 6528-203-1 as a blue straggler, however, is not a member according to Cantat-Gaudin et al. (2018A&A...618A..93C, Cat. J/A+A18/A93). This cluster hosts an eclipsing binary of beta Lyrae type (V* QU CMa) that was observed but has no colours in DR2 and was not included in the new catalogue."
"NGC_2374","This cluster was include in (Dias et al., 2002A&A...389..871D, Cat. B/ocl) however, parameters log(t)=8.586, Av=0.425, [Fe/H]=0.00 were taken from Bossini et al. (2019A&A...623A.108B, Cat. J/A+A/623/A108)."
"NGC_2420","Best fit with log(t)=9.3, Av=1.5 and solar metallicity."
