"Name(s)","name","N_50","r_50","RA_ICRS","DEC_ICRS","GLON","GLAT","Plx","pmRA","pmDE","Rv","N_Rv","Dist_[kpc]","Dist_STDDEV","Av_[mag]","Av_STDDEV","Diff_ext_[mag]","Diff_ext_STDDEV","Age_[Myr]","Age_STDDEV","FeH_[dex]","FeH_STDDEV","Mass_[Msun]","Mass_STDDEV","Binary_fr","Binary_fr_STDDEV","Blue_str","C3","P_dup","UTI","bad_oc"
"CWWDL 506","cwwdl506",16.0,5.7,160.7956,-61.59634,288.28627,-2.42527,0.2092,-5.6867,2.3444,22.4376,2.0,"nan","nan","nan","nan","nan","nan",107.0,"nan",-0.58,"nan","nan","nan","nan","nan","nan","BC",0.0,0.09,"y"
"CWWDL 508","cwwdl508",6.0,9.2,161.77293,-62.19522,288.95455,-2.75451,0.2222,-5.2946,2.41,4.53375,2.0,"nan","nan","nan","nan","nan","nan",71.0,"nan",-0.28,"nan","nan","nan","nan","nan","nan","DC",0.0,0.03,"y"
"CWWDL 509","cwwdl509",52.0,1.5,163.22451,-62.74942,289.82666,-2.93066,0.2198,-5.6798,2.1442,"nan",0.0,"nan","nan","nan","nan","nan","nan",54.0,"nan",0.44,"nan","nan","nan","nan","nan","nan","AA",0.62,0.19,"n"
"CWWDL 5091","cwwdl5091",66.0,3.7,159.02622,-60.63434,287.08224,-1.99956,0.4068,-7.694,2.637,-7.4459,1.0,"nan","nan","nan","nan","nan","nan",4.0,"nan",0.27,"nan","nan","nan","nan","nan","nan","AB",0.91,0.04,"n"
"CWWDL 5099","cwwdl5099",56.0,4.8,157.68604,-60.04943,286.22726,-1.8208,0.3833,-5.4476,2.8492,8.985,1.0,"nan","nan","nan","nan","nan","nan",29.0,"nan",0.37,"nan","nan","nan","nan","nan","nan","AA",0.8,0.09,"n"
"CWWDL 5121","cwwdl5121",13.0,11.4,157.21372,-60.16485,286.10394,-2.04043,0.329,-5.9573,2.9285,-7.1307,1.0,"nan","nan","nan","nan","nan","nan",1.0,"nan",0.42,"nan","nan","nan","nan","nan","nan","DC",0.0,0.03,"y"
"CWWDL 5172","cwwdl5172",12.0,7.4,161.91293,-61.47253,288.704,-2.08775,0.2103,-5.559,2.2748,-4.2346,1.0,"nan","nan","nan","nan","nan","nan",1.0,"nan",0.35,"nan","nan","nan","nan","nan","nan","DC",0.0,0.03,"y"
"CWWDL 5178","cwwdl5178",48.0,2.6,163.42362,-60.66808,289.00346,-1.01576,0.2736,-8.1625,2.6904,3.9576,6.0,"nan","nan","nan","nan","nan","nan",93.0,"nan",-0.04,"nan","nan","nan","nan","nan","nan","AB",0.73,0.12,"n"
"CWWDL 5186","cwwdl5186",15.0,10.5,164.35779,-61.37725,289.68375,-1.4973,0.2628,-6.1475,2.2505,1.6606,1.0,"nan","nan","nan","nan","nan","nan",0.0,"nan",0.42,"nan","nan","nan","nan","nan","nan","BB",0.28,0.08,"n"
"CWWDL 529","cwwdl529",17.0,6.2,166.76086,-62.83313,291.34333,-2.34732,0.5277,-6.9995,1.8453,-17.7722,1.0,"nan","nan","nan","nan","nan","nan",3.0,"nan",-0.1,"nan","nan","nan","nan","nan","nan","AB",0.44,0.12,"n"
"CWWDL 532","cwwdl532",72.0,4.9,178.10188,-64.60305,296.65788,-2.44991,0.419,-5.6002,0.2876,-24.1502,3.0,"nan","nan","nan","nan","nan","nan",13.0,"nan",0.44,"nan","nan","nan","nan","nan","nan","AB",0.69,0.14,"n"
"CWWDL 540","cwwdl540",64.0,2.3,239.41384,-57.26701,326.08025,-3.02329,0.3362,-1.9894,-2.6479,-16.1154,11.0,"nan","nan","nan","nan","nan","nan",81.0,"nan",0.4,"nan","nan","nan","nan","nan","nan","AA",1.0,0.0,"n"
"CWWDL 5475","cwwdl5475",47.0,2.8,198.21829,-64.26465,305.25746,-1.49432,0.4586,-4.3545,-0.5221,-18.4014,6.0,"nan","nan","nan","nan","nan","nan",76.0,"nan",-0.28,"nan","nan","nan","nan","nan","nan","AB",1.0,0.0,"n"
"CWWDL 5534","cwwdl5534",6.0,13.1,202.38803,-63.93676,307.10674,-1.36752,0.268,-6.5371,-1.4255,-29.43905,2.0,0.46,"nan",0.56,"nan","nan","nan",86.0,22.0,0.025,0.3889,147.0,"nan",0.34,"nan","nan","DC",0.0,0.03,"y"
"CWWDL 554","cwwdl554",107.0,3.1,283.96665,-5.10561,28.88862,-3.30053,0.494,-0.4536,-4.4024,29.175,12.0,"nan","nan","nan","nan","nan","nan",62.0,"nan",0.4,"nan","nan","nan","nan","nan","nan","AA",0.98,0.01,"n"
"CWWDL 556","cwwdl556",58.0,2.6,285.1365,-1.56858,32.58024,-2.7394,0.4158,0.5054,-0.4956,-0.9664,4.0,"nan","nan","nan","nan","nan","nan",71.0,"nan",0.27,"nan","nan","nan","nan","nan","nan","AA",1.0,0.0,"n"
"CWWDL 558","cwwdl558",72.0,3.6,297.67505,19.7215,57.18654,-3.46329,0.2707,-2.7156,-5.7614,25.66615,2.0,"nan","nan","nan","nan","nan","nan",50.0,"nan",0.44,"nan","nan","nan","nan","nan","nan","AA",0.94,0.03,"n"
"CWWDL 559","cwwdl559",74.0,3.7,297.95646,22.10598,59.37622,-2.47825,0.5998,-0.8083,-2.3252,7.98975,2.0,"nan","nan","nan","nan","nan","nan",62.0,"nan",-0.4,"nan","nan","nan","nan","nan","nan","AB",1.0,0.0,"n"
"CWWDL 5648","cwwdl5648",94.0,3.8,236.58288,-56.80136,325.18042,-1.68285,0.3812,-1.6796,-3.2193,-43.5764,3.0,"nan","nan","nan","nan","nan","nan",66.0,"nan",0.44,"nan","nan","nan","nan","nan","nan","AA",1.0,0.0,"n"
"CWWDL 5649","cwwdl5649",32.0,2.4,237.55506,-56.75524,325.61939,-1.98888,0.3106,-3.9674,-4.5216,-67.1667,1.0,"nan","nan","nan","nan","nan","nan",1.0,"nan",0.44,"nan","nan","nan","nan","nan","nan","AA",0.81,0.09,"n"
"CWWDL 566","cwwdl566",75.0,4.0,316.05055,42.05916,84.45084,-3.23102,0.4831,-2.4349,-4.3277,-17.43055,4.0,"nan","nan","nan","nan","nan","nan",29.0,"nan",0.37,"nan","nan","nan","nan","nan","nan","AA",0.85,0.08,"n"
"CWWDL 5664","cwwdl5664",26.0,0.9,252.07803,-46.73579,339.01414,-1.13934,0.3292,-1.471,-2.2368,"nan",0.0,"nan","nan","nan","nan","nan","nan",0.0,"nan",0.4,"nan","nan","nan","nan","nan","nan","DB",0.0,0.3,"n"
"CWWDL 5684","cwwdl5684",36.0,2.7,271.30964,-23.30921,7.08563,-0.96077,0.4012,0.6172,-0.5806,-21.2724,1.0,"nan","nan","nan","nan","nan","nan",123.0,"nan",-0.18,"nan","nan","nan","nan","nan","nan","BA",1.0,0.0,"n"
"CWWDL 569","cwwdl569",52.0,3.0,325.00406,49.30678,93.99148,-2.49872,0.4328,-3.4777,-4.9098,"nan",0.0,"nan","nan","nan","nan","nan","nan",1.0,"nan",0.44,"nan","nan","nan","nan","nan","nan","AB",1.0,0.0,"n"
"CWWDL 5701","cwwdl5701",73.0,3.7,276.994,-14.71192,17.19706,-1.59669,0.475,-0.6681,-2.7236,"nan",0.0,"nan","nan","nan","nan","nan","nan",18.0,"nan",0.3,"nan","nan","nan","nan","nan","nan","AA",0.8,0.11,"n"
"CWWDL 5705","cwwdl5705",59.0,1.9,280.22304,-9.66833,23.12849,-2.07866,0.3944,0.7397,-3.7027,-24.2411,11.0,"nan","nan","nan","nan","nan","nan",427.0,"nan",0.3,"nan","nan","nan","nan","nan","nan","AA",1.0,0.0,"n"
"CWWDL 5707","cwwdl5707",44.0,2.9,280.5828,-7.22748,25.46083,-1.27346,0.3743,0.9238,-2.8462,23.2212,11.0,"nan","nan","nan","nan","nan","nan",123.0,"nan",0.3,"nan","nan","nan","nan","nan","nan","AA",1.0,0.0,"n"
"CWWDL 5708","cwwdl5708",25.0,7.3,280.69121,-6.29361,26.37336,-0.92289,0.3139,0.2683,-1.0034,23.03835,6.0,"nan","nan","nan","nan","nan","nan",58.0,"nan",0.3,"nan","nan","nan","nan","nan","nan","DC",0.16,0.08,"y"
"CWWDL 574","cwwdl574",54.0,4.3,335.68524,53.73059,101.95782,-2.98431,0.2989,-2.8362,-2.4636,-60.9156,1.0,"nan","nan","nan","nan","nan","nan",47.0,"nan",0.4,"nan","nan","nan","nan","nan","nan","AB",0.87,0.05,"n"
"CWWDL 5759","cwwdl5759",39.0,4.2,288.88743,5.81488,40.87115,-2.68139,0.4916,-0.1737,-4.653,27.53215,2.0,"nan","nan","nan","nan","nan","nan",0.0,"nan",0.44,"nan","nan","nan","nan","nan","nan","AB",1.0,0.0,"n"
"CWWDL 578","cwwdl578",24.0,3.6,345.61358,57.21705,108.56373,-2.59476,0.4097,-2.8418,-2.615,-41.6667,1.0,"nan","nan","nan","nan","nan","nan",100.0,"nan",-0.88,"nan","nan","nan","nan","nan","nan","AA",0.92,0.03,"n"
"CWWDL 58","cwwdl58",48.0,3.9,332.9326,45.18024,95.66945,-9.07868,0.3296,-4.2432,-4.9688,-48.0485,5.0,"nan","nan","nan","nan","nan","nan",427.0,"nan",0.44,"nan","nan","nan","nan","nan","nan","CA",0.98,0.01,"n"
"CWWDL 580","cwwdl580",96.0,5.2,357.39132,58.99884,115.02479,-2.92542,0.4798,-3.1736,-0.9939,"nan",0.0,"nan","nan","nan","nan","nan","nan",1.0,"nan",0.44,"nan","nan","nan","nan","nan","nan","AB",1.0,0.0,"n"
"CWWDL 586","cwwdl586",77.0,4.8,5.76765,59.4469,119.32866,-3.22574,0.5528,-3.3103,-1.9407,-45.16715,4.0,"nan","nan","nan","nan","nan","nan",76.0,"nan",0.4,"nan","nan","nan","nan","nan","nan","AB",0.97,0.01,"n"
"CWWDL 589","cwwdl589",16.0,6.1,13.03553,60.17702,123.01953,-2.69454,0.2188,-1.4714,-0.6042,-86.1459,1.0,"nan","nan","nan","nan","nan","nan",76.0,"nan",-0.28,"nan","nan","nan","nan","nan","nan","BC",0.0,0.08,"y"
"CWWDL 594","cwwdl594",79.0,4.0,26.12929,58.75066,129.7837,-3.41215,0.4757,-0.9691,-1.105,-33.4255,1.0,"nan","nan","nan","nan","nan","nan",27.0,"nan",0.23,"nan","nan","nan","nan","nan","nan","AB",0.96,0.02,"n"
"CWWDL 5942","cwwdl5942",80.0,7.5,304.49876,32.5835,71.33662,-1.76789,0.7004,-0.0453,-3.3268,1.9636,7.0,"nan","nan","nan","nan","nan","nan",58.0,"nan",0.27,"nan","nan","nan","nan","nan","nan","AA",1.0,0.0,"n"
"CWWDL 599","cwwdl599",15.0,9.2,38.09133,56.75386,136.48323,-3.45565,0.3647,-0.1766,-1.205,"nan",0.0,"nan","nan","nan","nan","nan","nan",2.0,"nan",-0.88,"nan","nan","nan","nan","nan","nan","BC",0.0,0.09,"y"
"CWWDL 6005","cwwdl6005",51.0,3.9,323.99518,50.4921,94.28461,-1.17816,0.5354,-3.8272,-3.336,-2.8833,2.0,"nan","nan","nan","nan","nan","nan",25.0,"nan",-0.28,"nan","nan","nan","nan","nan","nan","CA",1.0,0.0,"n"
"CWWDL 6027","cwwdl6027",16.0,8.9,335.19519,54.92154,102.37026,-1.84205,0.2448,-3.7197,-3.0449,-19.7639,1.0,"nan","nan","nan","nan","nan","nan",1.0,"nan",0.4,"nan","nan","nan","nan","nan","nan","DC",0.4,0.02,"n"
"CWWDL 6029","cwwdl6029",21.0,8.9,336.01884,55.38379,103.00826,-1.68224,0.2654,-3.3589,-2.7514,-60.8602,1.0,"nan","nan","nan","nan","nan","nan",1.0,"nan",0.44,"nan","nan","nan","nan","nan","nan","DC",0.12,0.03,"y"
"CWWDL 603","cwwdl603",23.0,4.6,95.93273,9.97482,200.90495,-1.52621,0.1643,0.0738,-0.1536,40.8241,2.0,"nan","nan","nan","nan","nan","nan",87.0,"nan",0.4,"nan","nan","nan","nan","nan","nan","BC",0.0,0.09,"y"
"CWWDL 6062","cwwdl6062",32.0,6.9,346.27991,59.07012,109.63842,-1.01253,0.2748,-2.8407,-1.9496,"nan",0.0,"nan","nan","nan","nan","nan","nan",0.0,"nan",-0.88,"nan","nan","nan","nan","nan","nan","CB",0.75,0.04,"n"
"CWWDL 611","cwwdl611",120.0,3.1,100.96386,-0.88218,212.8538,-2.08708,0.329,-0.6446,0.6574,60.9401,5.0,"nan","nan","nan","nan","nan","nan",66.0,"nan",0.44,"nan","nan","nan","nan","nan","nan","AB",0.82,0.09,"n"
"CWWDL 6133","cwwdl6133",20.0,9.6,27.15784,60.65697,129.8854,-1.44031,0.3518,-1.1876,-0.4163,"nan",0.0,"nan","nan","nan","nan","nan","nan",3.0,"nan",0.23,"nan","nan","nan","nan","nan","nan","AB",0.0,0.16,"y"
"CWWDL 6145","cwwdl6145",17.0,10.5,17.49392,61.09178,125.16942,-1.68638,0.2531,-1.4997,-0.4946,-25.8301,1.0,"nan","nan","nan","nan","nan","nan",1.0,"nan",0.3,"nan","nan","nan","nan","nan","nan","CC",0.36,0.03,"n"
"CWWDL 615","cwwdl615",15.0,5.7,96.82398,8.45492,202.65219,-1.46215,0.199,-0.0641,-0.0278,"nan",0.0,"nan","nan","nan","nan","nan","nan",162.0,"nan",-0.4,"nan","nan","nan","nan","nan","nan","DC",0.0,0.03,"y"
"CWWDL 6155","cwwdl6155",18.0,8.0,23.23115,60.63404,128.02407,-1.83887,0.3389,-1.2559,-0.614,"nan",0.0,"nan","nan","nan","nan","nan","nan",1.0,"nan",0.35,"nan","nan","nan","nan","nan","nan","BC",0.4,0.05,"n"
"CWWDL 6156","cwwdl6156",22.0,4.9,24.81,60.75674,128.73255,-1.56321,0.2701,-1.0238,-0.4128,"nan",0.0,"nan","nan","nan","nan","nan","nan",47.0,"nan",0.4,"nan","nan","nan","nan","nan","nan","BC",0.0,0.11,"y"
"CWWDL 6159","cwwdl6159",35.0,9.4,22.15238,60.93666,127.42983,-1.61252,0.3254,-1.5156,-0.5464,-85.45005,4.0,"nan","nan","nan","nan","nan","nan",71.0,"nan",-0.4,"nan","nan","nan","nan","nan","nan","AC",0.0,0.21,"y"
"CWWDL 6160","cwwdl6160",31.0,12.0,18.62586,61.13903,125.70295,-1.62179,0.3369,-1.9148,-0.5479,"nan",0.0,"nan","nan","nan","nan","nan","nan",0.0,"nan",0.3,"nan","nan","nan","nan","nan","nan","BC",0.0,0.15,"y"
"CWWDL 617","cwwdl617",17.0,8.9,100.66904,-0.25104,212.20759,-2.06564,0.2112,-0.3668,0.221,"nan",0.0,"nan","nan","nan","nan","nan","nan",54.0,"nan",0.44,"nan","nan","nan","nan","nan","nan","DC",0.36,0.02,"n"
"CWWDL 6172","cwwdl6172",16.0,8.6,22.15966,60.07938,127.55871,-2.46917,0.3218,-1.6417,-0.4413,-45.3519,1.0,"nan","nan","nan","nan","nan","nan",1.0,"nan",-0.1,"nan","nan","nan","nan","nan","nan","DC",0.0,0.04,"y"
"CWWDL 6218","cwwdl6218",44.0,4.3,19.81868,61.0334,126.29141,-1.65961,0.497,-1.2513,-0.2118,"nan",0.0,"nan","nan","nan","nan","nan","nan",20.0,"nan",0.44,"nan","nan","nan","nan","nan","nan","AB",0.93,0.03,"n"
"CWWDL 623","cwwdl623",79.0,5.7,105.89081,-9.37243,222.66173,-1.59891,0.336,-1.2376,0.8552,-181.3997,1.0,"nan","nan","nan","nan","nan","nan",1.0,"nan",0.42,"nan","nan","nan","nan","nan","nan","DB",0.53,0.14,"n"
"CWWDL 6257","cwwdl6257",22.0,8.8,39.57916,57.74653,136.80476,-2.21087,0.3985,-0.0759,-1.1476,"nan",0.0,"nan","nan","nan","nan","nan","nan",3.0,"nan",0.37,"nan","nan","nan","nan","nan","nan","BB",0.4,0.07,"n"
"CWWDL 626","cwwdl626",16.0,11.4,107.66764,-13.6923,227.29477,-2.03734,0.3412,-1.0358,1.3066,"nan",0.0,"nan","nan","nan","nan","nan","nan",44.0,"nan",0.44,"nan","nan","nan","nan","nan","nan","BC",0.0,0.08,"y"
"CWWDL 6296","cwwdl6296",75.0,5.1,96.32948,11.1585,200.03954,-0.62899,0.5941,-1.1379,-0.9637,29.717,1.0,"nan","nan","nan","nan","nan","nan",4.0,"nan",-0.1,"nan","nan","nan","nan","nan","nan","AB",1.0,0.0,"n"
"CWWDL 630","cwwdl630",42.0,3.2,111.06924,-20.24762,234.61196,-2.21226,0.3246,-2.439,3.0692,"nan",0.0,"nan","nan","nan","nan","nan","nan",4.0,"nan",-0.58,"nan","nan","nan","nan","nan","nan","AB",1.0,0.0,"n"
"CWWDL 6302","cwwdl6302",51.0,5.9,95.91267,11.54845,199.49917,-0.80996,0.4622,-0.6434,-1.1609,"nan",0.0,"nan","nan","nan","nan","nan","nan",15.0,"nan",0.23,"nan","nan","nan","nan","nan","nan","BB",0.88,0.04,"n"
"CWWDL 6326","cwwdl6326",46.0,2.5,104.64538,-3.02689,216.43299,0.19258,0.4402,-1.2714,0.5217,"nan",0.0,"nan","nan","nan","nan","nan","nan",2.0,"nan",0.32,"nan","nan","nan","nan","nan","nan","AB",0.52,0.21,"n"
"CWWDL 633","cwwdl633",34.0,3.6,110.18264,-17.87396,232.11956,-1.83482,0.3574,-1.0178,1.3427,"nan",0.0,"nan","nan","nan","nan","nan","nan",38.0,"nan",0.4,"nan","nan","nan","nan","nan","nan","AB",0.88,0.04,"n"
"CWWDL 635","cwwdl635",20.0,7.9,111.42047,-20.74312,235.17496,-2.18075,0.3183,-2.1669,3.0912,154.8068,1.0,"nan","nan","nan","nan","nan","nan",5.0,"nan",0.2,"nan","nan","nan","nan","nan","nan","BB",0.4,0.07,"n"
"CWWDL 6375","cwwdl6375",16.0,9.9,113.53982,-20.21966,235.69464,-0.16286,0.3349,-2.1311,3.2499,56.6628,1.0,"nan","nan","nan","nan","nan","nan",1.0,"nan",0.44,"nan","nan","nan","nan","nan","nan","DC",0.12,0.03,"y"
"CWWDL 6388","cwwdl6388",16.0,7.0,116.28262,-25.87107,241.83537,-0.78224,0.239,-2.2407,3.036,"nan",0.0,"nan","nan","nan","nan","nan","nan",23.0,"nan",0.42,"nan","nan","nan","nan","nan","nan","CB",0.24,0.06,"y"
"CWWDL 642","cwwdl642",17.0,11.1,115.52795,-25.63773,241.3183,-1.22212,0.2595,-1.9927,2.8922,59.0782,1.0,"nan","nan","nan","nan","nan","nan",58.0,"nan",0.3,"nan","nan","nan","nan","nan","nan","CC",0.08,0.05,"y"
"CWWDL 6439","cwwdl6439",17.0,6.8,116.05016,-23.28732,239.4865,0.33874,0.256,-2.1628,2.8721,"nan",0.0,"nan","nan","nan","nan","nan","nan",50.0,"nan",0.4,"nan","nan","nan","nan","nan","nan","CC",0.0,0.06,"y"
"CWWDL 6451","cwwdl6451",15.0,9.8,116.87072,-26.04173,242.23881,-0.33106,0.25,-1.8044,2.3033,74.81515,2.0,"nan","nan","nan","nan","nan","nan",10.0,"nan",0.4,"nan","nan","nan","nan","nan","nan","BC",0.0,0.08,"y"
"CWWDL 6464","cwwdl6464",19.0,6.7,116.81108,-26.22623,242.38954,-0.50485,0.2129,-1.9407,2.7369,102.1147,1.0,"nan","nan","nan","nan","nan","nan",54.0,"nan",0.07,"nan","nan","nan","nan","nan","nan","BC",0.0,0.08,"y"
"CWWDL 6469","cwwdl6469",11.0,11.4,119.04623,-28.64432,245.49254,-0.06035,0.2286,-2.0186,2.4685,88.3618,1.0,"nan","nan","nan","nan","nan","nan",0.0,"nan",0.4,"nan","nan","nan","nan","nan","nan","CC",0.0,0.05,"y"
"CWWDL 65","cwwdl65",21.0,2.9,98.65698,-6.83862,217.13465,-6.82357,0.2967,0.2812,0.1736,30.8831,2.0,"nan","nan","nan","nan","nan","nan",174.0,"nan",-0.28,"nan","nan","nan","nan","nan","nan","BB",0.68,0.07,"n"
"CWWDL 650","cwwdl650",19.0,6.4,117.93913,-29.21022,245.48714,-1.16016,0.213,-1.9163,2.6249,63.7634,1.0,"nan","nan","nan","nan","nan","nan",18.0,"nan",0.44,"nan","nan","nan","nan","nan","nan","DC",0.88,0.0,"n"
"CWWDL 652","cwwdl652",29.0,7.0,118.51687,-29.88219,246.32823,-1.06664,0.2474,-2.231,3.318,75.1672,2.0,"nan","nan","nan","nan","nan","nan",107.0,"nan",0.44,"nan","nan","nan","nan","nan","nan","CC",0.0,0.13,"y"
"CWWDL 6540","cwwdl6540",19.0,4.2,121.3206,-33.00551,250.23246,-0.66426,0.3784,-2.027,2.3527,"nan",0.0,"nan","nan","nan","nan","nan","nan",50.0,"nan",0.37,"nan","nan","nan","nan","nan","nan","BC",0.52,0.07,"n"
"CWWDL 660","cwwdl660",20.0,5.9,119.51444,-32.07777,248.65306,-1.48353,0.2336,-2.4132,3.1424,"nan",0.0,"nan","nan","nan","nan","nan","nan",66.0,"nan",0.44,"nan","nan","nan","nan","nan","nan","CC",0.0,0.06,"y"
"CWWDL 6645","cwwdl6645",24.0,7.5,125.56856,-37.17155,255.59664,-0.12134,0.2582,-2.4907,2.8698,53.44305,4.0,"nan","nan","nan","nan","nan","nan",8.0,"nan",-0.18,"nan","nan","nan","nan","nan","nan","DC",0.0,0.04,"y"
"CWWDL 6647","cwwdl6647",79.0,6.7,123.15715,-35.10272,252.83305,-0.551,0.7394,-0.2396,0.6576,6.8119,12.0,"nan","nan","nan","nan","nan","nan",50.0,"nan",0.35,"nan","nan","nan","nan","nan","nan","AB",1.0,0.0,"n"
"CWWDL 671","cwwdl671",18.0,4.5,120.50137,-33.26038,250.07243,-1.40738,0.2157,-2.1821,3.0809,74.7312,1.0,"nan","nan","nan","nan","nan","nan",76.0,"nan",0.42,"nan","nan","nan","nan","nan","nan","DC",0.0,0.04,"y"
"CWWDL 6728","cwwdl6728",80.0,5.4,139.73582,-50.5436,272.38206,-0.74062,0.6796,-8.187,6.9628,18.0694,3.0,"nan","nan","nan","nan","nan","nan",38.0,"nan",0.4,"nan","nan","nan","nan","nan","nan","AB",1.0,0.0,"n"
"CWWDL 68","cwwdl68",13.0,8.6,107.96825,-23.57901,236.26417,-6.3027,0.2119,-0.7206,1.8913,107.55015,2.0,"nan","nan","nan","nan","nan","nan",263.0,"nan",0.44,"nan","nan","nan","nan","nan","nan","DC",0.0,0.03,"y"
"CWWDL 681","cwwdl681",17.0,9.0,122.99237,-37.17451,254.47369,-1.79616,0.2673,-2.4969,2.9647,35.19775,2.0,"nan","nan","nan","nan","nan","nan",66.0,"nan",0.44,"nan","nan","nan","nan","nan","nan","DC",0.0,0.03,"y"
"CWWDL 700","cwwdl700",31.0,8.5,132.29238,-46.46867,266.05427,-1.68229,0.2261,-3.4187,3.7524,60.2628,1.0,"nan","nan","nan","nan","nan","nan",162.0,"nan",-0.28,"nan","nan","nan","nan","nan","nan","CC",0.0,0.12,"y"
"CWWDL 706","cwwdl706",15.0,8.1,133.13846,-47.6854,267.35472,-2.0286,0.4134,-4.586,4.2417,"nan",0.0,"nan","nan","nan","nan","nan","nan",62.0,"nan",0.4,"nan","nan","nan","nan","nan","nan","CC",0.0,0.07,"y"
"CWWDL 71","cwwdl71",73.0,3.3,108.69984,-26.25025,238.93358,-6.92057,0.2673,-2.0712,2.7748,80.0181,9.0,"nan","nan","nan","nan","nan","nan",141.0,"nan",0.02,"nan","nan","nan","nan","nan","nan","AA",0.75,0.13,"n"
"CWWDL 729","cwwdl729",17.0,5.9,133.32939,-47.64976,267.4147,-1.90517,0.2354,-4.2679,4.3917,112.7559,1.0,"nan","nan","nan","nan","nan","nan",93.0,"nan",-0.28,"nan","nan","nan","nan","nan","nan","DC",0.0,0.04,"y"
"CWWDL 7479","cwwdl7479",47.0,3.1,216.20214,-61.0481,313.99702,-0.19673,0.4932,-3.7524,-2.17,-64.96985,2.0,"nan","nan","nan","nan","nan","nan",18.0,"nan",0.2,"nan","nan","nan","nan","nan","nan","AA",1.0,0.0,"n"
"CWWDL 749","cwwdl749",13.0,10.6,140.78072,-53.65396,275.0869,-2.46728,0.3068,-4.765,3.9273,"nan",0.0,"nan","nan","nan","nan","nan","nan",58.0,"nan",0.3,"nan","nan","nan","nan","nan","nan","CC",0.0,0.06,"y"
"CWWDL 7566","cwwdl7566",69.0,4.6,256.1429,-41.66543,344.78077,-0.24523,0.5835,-0.5948,-0.9238,"nan",0.0,"nan","nan","nan","nan","nan","nan",1.0,"nan",0.4,"nan","nan","nan","nan","nan","nan","AA",0.93,0.04,"n"
"CWWDL 765","cwwdl765",59.0,5.1,143.65975,-54.3781,276.75605,-1.83616,0.551,-5.6183,5.0034,18.8412,7.0,"nan","nan","nan","nan","nan","nan",23.0,"nan",0.4,"nan","nan","nan","nan","nan","nan","AA",1.0,0.0,"n"
"CWWDL 7654","cwwdl7654",36.0,2.3,267.0281,-29.01315,0.21848,-0.50668,0.5651,0.5797,-1.3873,"nan",0.0,"nan","nan","nan","nan","nan","nan",23.0,"nan",0.2,"nan","nan","nan","nan","nan","nan","AA",0.92,0.04,"n"
"CWWDL 772","cwwdl772",67.0,6.4,154.02394,-59.04181,284.10383,-1.98266,0.2965,-7.005,3.7729,13.86505,4.0,"nan","nan","nan","nan","nan","nan",41.0,"nan",-0.04,"nan","nan","nan","nan","nan","nan","DC",0.37,0.13,"n"
"CWWDL 794","cwwdl794",21.0,11.1,158.84968,-60.69027,287.03838,-2.09178,0.2116,-5.2164,2.4484,11.98905,4.0,"nan","nan","nan","nan","nan","nan",71.0,"nan",0.12,"nan","nan","nan","nan","nan","nan","CC",0.0,0.05,"y"
"CWWDL 805","cwwdl805",15.0,9.8,158.31031,-60.48507,286.68728,-2.05662,0.2979,-6.0193,2.8423,9.5695,1.0,"nan","nan","nan","nan","nan","nan",35.0,"nan",0.44,"nan","nan","nan","nan","nan","nan","CC",0.0,0.06,"y"
"CWWDL 807","cwwdl807",15.0,6.4,160.59057,-61.54375,288.17384,-2.42612,0.2121,-5.9507,2.8545,13.7849,2.0,"nan","nan","nan","nan","nan","nan",81.0,"nan",0.44,"nan","nan","nan","nan","nan","nan","DB",0.0,0.06,"y"
"CWWDL 8132","cwwdl8132",10.0,11.2,298.41411,27.55153,64.27162,-0.05165,0.4056,-2.201,-4.9815,4.8287,1.0,"nan","nan","nan","nan","nan","nan",50.0,"nan",0.4,"nan","nan","nan","nan","nan","nan","DC",0.0,0.03,"y"
"CWWDL 8143","cwwdl8143",47.0,2.6,302.04943,32.37651,70.02574,-0.16295,0.5872,-0.3069,-1.8327,"nan",0.0,"nan","nan","nan","nan","nan","nan",93.0,"nan",-0.28,"nan","nan","nan","nan","nan","nan","AB",1.0,0.0,"n"
"CWWDL 8237","cwwdl8237",75.0,5.5,330.83972,55.64136,100.74887,0.17768,0.6349,-1.9879,-3.2496,-19.17875,2.0,"nan","nan","nan","nan","nan","nan",44.0,"nan",-0.28,"nan","nan","nan","nan","nan","nan","AB",0.96,0.02,"n"
"CWWDL 826","cwwdl826",18.0,6.6,163.06041,-61.34249,289.1639,-1.69186,0.2286,-6.2077,2.4151,15.209,1.0,"nan","nan","nan","nan","nan","nan",50.0,"nan",0.44,"nan","nan","nan","nan","nan","nan","CC",0.0,0.06,"y"
"CWWDL 831","cwwdl831",9.0,11.5,163.09694,-61.58816,289.27012,-1.93351,0.2803,-6.0136,2.3232,11.7649,1.0,"nan","nan","nan","nan","nan","nan",81.0,"nan",0.2,"nan","nan","nan","nan","nan","nan","DC",0.0,0.03,"y"
"CWWDL 8311","cwwdl8311",27.0,3.8,354.07285,61.08002,113.96684,-0.47581,0.3008,-3.5631,-2.004,"nan",0.0,"nan","nan","nan","nan","nan","nan",0.0,"nan",0.35,"nan","nan","nan","nan","nan","nan","BB",0.0,0.23,"y"
