"Name(s)","name","N_50","r_50","RA_ICRS","DEC_ICRS","GLON","GLAT","Plx","pmRA","pmDE","Rv","N_Rv","Dist_[kpc]","Dist_STDDEV","Av_[mag]","Av_STDDEV","Diff_ext_[mag]","Diff_ext_STDDEV","Age_[Myr]","Age_STDDEV","FeH_[dex]","FeH_STDDEV","Mass_[Msun]","Mass_STDDEV","Binary_fr","Binary_fr_STDDEV","Blue_str","C3","P_dup","UTI","bad_oc"
"Alessi 179;HD 66271 Group","alessi179",19.0,8.1,120.5845,-18.86001,237.87618,6.25865,0.262,-1.6448,0.8255,109.88395,2.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","DC",0.0,0.03,"y"
"Alessi 18;MWSC 1284;DSH J0737.1-2623","alessi18",22.0,0.8,114.2958,-26.38982,241.42258,-2.55692,0.0995,-1.267,1.8829,124.5491,1.0,6.29,1.1737,2.02,0.1904,"nan","nan",841.0,444.0,-0.272,"nan",311.0,88.0,"nan","nan","nan","DC",0.0,0.47,"n"
"Alessi 180","alessi180",17.0,9.6,122.52144,-19.6454,239.53761,7.38476,0.2965,-3.0069,1.7302,72.2513,2.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","DC",0.0,0.03,"y"
"Alessi 181","alessi181",17.0,6.6,289.44271,16.12575,50.2634,1.64342,0.1904,-3.1157,-6.0236,38.35815,2.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","BC",0.0,0.08,"y"
"Alessi 183","alessi183",25.0,12.1,343.9359,-42.87607,351.48045,-61.75921,0.7285,-2.0345,-2.345,0.4309,3.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","DD",0.0,0.09,"y"
"Alessi 184","alessi184",17.0,6.5,283.41628,18.49713,49.74518,7.86503,0.2029,-3.8117,-6.6854,"nan",0.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","DC",0.0,0.03,"y"
"Alessi 186","alessi186",25.0,8.7,245.71287,45.51558,71.29778,44.574,0.3234,-3.4221,-4.8218,"nan",0.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","CC",0.0,0.12,"y"
"Alessi 187","alessi187",25.0,10.2,215.21113,67.82167,110.70831,47.11594,0.6481,-5.9458,-5.7682,-15.5778,2.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","CC",0.0,0.15,"y"
"Alessi 188","alessi188",26.0,5.2,222.70946,-12.95907,342.58804,40.54767,0.4639,-4.8134,-4.1872,"nan",0.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","CC",0.0,0.2,"y"
"Alessi 189","alessi189",25.0,10.3,46.28931,-60.52458,278.11915,-49.68247,1.4884,0.6289,6.5779,20.98295,4.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","CD",0.0,0.28,"n"
