"fname","plot_used","process","N_clust","N_clust_max","N_box","frame_limit","r_50","C1","C2","C3","N_50","GLON_m","GLAT_m","RA_ICRS_m","DE_ICRS_m","Plx_m","e_Plx_m","pmRA_m","e_pmRA_m","pmDE_m","e_pmDE_m","Rv_m","e_Rv_m","N_Rv","X_GC","Y_GC","Z_GC","R_GC","shared_members","shared_members_p","C_N","C_dens","C_C3","C_lit","C_dup","C_dup_same_db","UTI","bad_oc"
"bica2","y","n","nan",200.0,"nan","nan",4.8,1.0,0.84,"AA",181.0,80.21097,0.7773,308.31147,41.29933,0.5775,0.0276,-2.6836,0.028,-4.4094,0.0319,-13.5591,7.67095,12.0,-7.8374,1.6491,0.0428,8.0091,"cygob2;fsr0238;fsr0236;g8035p072;oc0129;oc0128","95.6;18.8;6.1;2.8;2.8;0.6",0.78,1.0,1.0,0.5,1.0,0.81,0.76,"n"
"bica214","y","n","nan","nan","nan","nan",7.0,0.44,0.35,"CC",19.0,120.06137,-5.03875,7.50554,57.71782,0.3665,0.0596,-3.9381,0.0522,0.0025,0.0635,-89.23835,0.7614,2.0,-9.4137,2.2306,-0.2029,9.6765,"nan","nan",0.0,0.12,0.25,0.0,1.0,1.0,0.07,"y"
"bica27","y","n","nan","nan","nan","nan",6.3,0.42,0.44,"DC",16.0,2.82182,0.41571,267.66643,-26.2862,0.5014,0.142,-2.4636,0.1664,-3.6349,0.0972,-3.6601,2.8277,3.0,-6.2064,0.0952,0.0297,6.2072,"dutrabica42","80.0",0.0,0.24,0.12,0.0,1.0,0.2,0.07,"y"
"bica28","y","n","nan","nan","nan","nan",7.7,0.19,0.32,"DC",15.0,3.74478,-0.02834,268.61516,-25.72012,0.4682,0.1502,-1.3739,0.1549,-2.5782,0.0944,27.744,1.8224,1.0,-6.0781,0.1346,0.0144,6.0796,"nan","nan",0.0,0.13,0.12,0.0,1.0,1.0,0.05,"y"
"bica3","y","n","nan","nan","nan","nan",6.9,0.21,0.43,"DC",19.0,18.43777,-0.42928,276.52871,-13.06779,0.4011,0.1065,-0.5796,0.1167,-1.6287,0.096,6.48,3.9686,1.0,-5.8693,0.7512,-0.0028,5.9172,"nan","nan",0.0,0.15,0.12,0.75,1.0,1.0,0.36,"n"
"bica349","y","n","nan","nan","nan","nan",4.9,0.35,0.3,"BC",13.0,229.91017,-1.38197,109.51998,-15.70844,0.1713,0.0896,-0.9246,0.0839,1.276,0.08,"nan","nan",0.0,-11.4879,-3.9978,-0.0965,12.164,"fsr1228","24.0",0.0,0.04,0.38,0.0,0.76,1.0,0.06,"y"
"bica351","y","n","nan","nan","nan","nan",6.9,0.3,0.33,"CC",23.0,230.25455,2.76851,113.4677,-14.03751,0.3059,0.0643,-1.989,0.0623,1.8432,0.0555,51.9809,8.3586,1.0,-10.0814,-2.3563,0.1742,10.3546,"nan","nan",0.0,0.11,0.25,0.0,1.0,1.0,0.07,"y"
"bica361","y","n","nan","nan","nan","nan",4.9,0.88,0.45,"DC",33.0,231.35074,-0.83462,110.73359,-16.72321,0.3478,0.0881,-2.1107,0.0769,2.3598,0.082,60.66815,0.7555,2.0,-9.82,-2.1232,-0.0141,10.0469,"nan","nan",0.33,0.39,0.12,0.0,1.0,1.0,0.17,"y"
"bica369","y","n","nan","nan","nan","nan",8.5,0.49,0.34,"DC",12.0,233.58372,4.69313,116.92675,-15.9726,0.1991,0.0868,-1.0073,0.0795,0.6861,0.0732,95.43345,3.0712,2.0,-10.8214,-3.6603,0.4042,11.4308,"nan","nan",0.0,0.02,0.12,0.0,1.0,1.0,0.03,"y"
"bica386","y","n","nan","nan","nan","nan",7.1,0.26,0.32,"DC",15.0,246.70804,-5.5473,114.22966,-32.42431,0.2426,0.0773,-1.7943,0.08,2.3587,0.099,64.7507,6.4392,1.0,-9.6229,-3.4809,-0.3424,10.2388,"nan","nan",0.0,0.04,0.12,0.0,1.0,1.0,0.03,"y"
"bica4","y","n","nan","nan","nan","nan",5.0,0.18,0.36,"BC",30.0,235.60392,-4.13158,109.75112,-22.01428,0.3855,0.09805,-2.0374,0.08845,2.1926,0.0978,"nan","nan",0.0,-9.5122,-2.0294,-0.153,9.7275,"nan","nan",0.3,0.42,0.38,0.31,1.0,1.0,0.34,"y"
"bica409","y","n","nan","nan","nan","nan",6.3,0.2,0.36,"DC",16.0,275.04734,-0.14097,143.4666,-51.93961,0.1766,0.0825,-4.274,0.0948,3.1112,0.0842,52.7001,4.6652,1.0,-7.6765,-5.0669,0.0099,9.1979,"nan","nan",0.0,0.03,0.12,0.0,1.0,1.0,0.03,"y"
"bica417","y","n","nan","nan","nan","nan",0.8,0.96,0.64,"AB",180.0,284.27048,-0.32676,156.01014,-57.7575,0.1934,0.073,-5.353,0.08835,2.8629,0.08135,"nan","nan",0.0,-6.9669,-4.5413,-0.009,8.3163,"westerlund2","95.0",0.78,1.0,0.75,0.0,0.05,1.0,0.03,"n"
"bica432","y","n","nan","nan","nan","nan",5.0,0.46,0.43,"DC",17.0,286.04952,4.65677,163.15214,-54.25898,0.1744,0.0932,-6.1151,0.1025,1.7618,0.0873,-18.4677,0.9258,1.0,-6.7036,-4.9272,0.436,8.331,"nan","nan",0.0,0.05,0.12,0.0,1.0,1.0,0.03,"y"
"bica449","y","n","nan","nan","nan","nan",4.8,0.82,0.55,"DC",16.0,293.91814,-1.62465,172.66331,-63.06748,0.2979,0.1035,-7.051,0.1163,1.5566,0.0973,"nan","nan",0.0,-6.8467,-2.8741,-0.0712,7.4258,"oc0567","4.0",0.0,0.15,0.12,0.0,1.0,1.0,0.05,"y"
"bica46","y","n","nan","nan","nan","nan",7.9,0.46,0.29,"BC",13.0,16.26989,6.30406,269.38307,-11.7317,0.1568,0.1113,-1.8008,0.1227,-6.834,0.0907,53.3437,3.3168,3.0,-2.7239,1.5748,0.6312,3.209,"nan","nan",0.0,0.01,0.38,0.0,1.0,1.0,0.08,"y"
"bica47","y","n","nan","nan","nan","nan",6.9,0.6,0.51,"CC",16.0,16.32789,6.29825,269.45519,-11.69054,0.3768,0.1319,-2.3624,0.1688,-2.0175,0.1128,61.6817,5.6674,1.0,-5.7175,0.7047,0.291,5.7681,"nan","nan",0.0,0.11,0.25,0.0,1.0,1.0,0.07,"y"
"bica484","y","n","nan","nan","nan","nan",6.8,0.4,0.67,"DB",10.0,306.59999,-0.58777,201.02499,-63.23919,0.1354,0.0594,-5.657,0.0516,-0.9396,0.0622,-40.4804,0.8277,1.0,-4.2858,-5.1659,-0.0564,6.7125,"nan","nan",0.0,0.01,0.25,0.0,1.0,1.0,0.05,"y"
"bica486","y","n","nan","nan","nan","nan",6.9,0.13,0.38,"BC",11.0,307.53709,-1.39336,203.35785,-63.89715,0.1201,0.0816,-8.4216,0.0721,-1.2108,0.0977,3.38715,5.4919,2.0,-3.7754,-5.6587,-0.1649,6.8045,"nan","nan",0.0,0.01,0.38,0.0,1.0,1.0,0.08,"y"
"bica490","y","n","nan","nan","nan","nan",7.3,0.71,0.43,"DC",17.0,310.74569,0.02547,209.61668,-61.8316,0.3085,0.1217,-8.1752,0.0821,-2.1011,0.096,-14.67595,5.6369,2.0,-6.1347,-2.306,0.0167,6.5538,"nan","nan",0.0,0.07,0.12,0.0,1.0,1.0,0.04,"y"
"bica494","y","n","nan","nan","nan","nan",7.7,0.96,0.76,"CC",98.0,314.28987,2.03115,215.2317,-58.85143,0.4497,0.11055,-5.493,0.09455,-4.268,0.1032,-49.12495,6.79995,6.0,-6.6359,-1.5229,0.0925,6.8091,"nan","nan",0.74,0.79,0.25,0.0,1.0,1.0,0.36,"n"
"bica497","y","n","nan","nan","nan","nan",5.6,0.14,0.44,"DC",17.0,318.74047,-1.08568,225.70562,-59.86347,0.321,0.0678,-5.0473,0.0677,-3.7072,0.084,-23.4053,1.052,3.0,-5.9182,-1.9337,-0.0404,6.2262,"nan","nan",0.0,0.13,0.12,0.0,1.0,1.0,0.05,"y"
"bica498","y","n","nan","nan","nan","nan",5.7,0.24,0.26,"CC",7.0,318.80626,-1.04043,225.75859,-59.78606,0.1935,0.1074,-5.4041,0.1081,-3.5936,0.149,-68.5526,3.10095,2.0,-4.5987,-3.0849,-0.0725,5.538,"nan","nan",0.0,0.02,0.25,0.0,1.0,1.0,0.05,"y"
"bica499","y","n","nan","nan","nan","nan",5.4,0.93,0.52,"BC",15.0,320.11493,-2.64525,229.70021,-60.50476,0.144,0.1104,-6.2384,0.1104,-3.5997,0.1203,-38.87295,2.3891,2.0,-3.4484,-3.9054,-0.2729,5.2171,"nan","nan",0.0,0.03,0.38,0.0,1.0,1.0,0.08,"y"
"bica5","y","n","nan","nan","nan","nan",7.3,0.26,0.49,"BC",66.0,294.9828,-0.66379,175.4619,-62.45512,0.2234,0.06225,-6.9516,0.0691,0.9841,0.0649,4.4626,1.7847,3.0,-6.3873,-3.723,-0.0311,7.3932,"nan","nan",0.58,0.15,0.38,0.38,1.0,1.0,0.37,"n"
"bica506","y","n","nan","nan","nan","nan",7.6,0.7,0.3,"CC",19.0,332.40815,-27.38277,290.273,-63.8662,0.1895,0.1824,-0.4845,0.1463,-4.381,0.1701,"nan","nan",0.0,-4.3716,-1.9638,-2.1843,5.2667,"nan","nan",0.0,0.03,0.25,0.0,1.0,1.0,0.06,"y"
"bica513","y","n","nan","nan","nan","nan",4.9,0.25,0.43,"DC",19.0,342.09363,0.19472,253.41744,-43.51685,0.4375,0.1138,-1.3988,0.1406,-3.843,0.1121,-16.7023,3.31195,4.0,-6.0421,-0.672,0.0226,6.0794,"dbsb175","20.0",0.0,0.36,0.12,0.0,0.8,1.0,0.08,"y"
"bica516","y","n","nan","nan","nan","nan",7.1,0.17,0.49,"CC",16.0,344.81621,-0.13004,256.06538,-41.59149,0.3861,0.1447,-2.3234,0.1904,-2.9184,0.1359,-15.2669,2.4968,2.0,-5.7455,-0.645,0.0082,5.7816,"nan","nan",0.0,0.11,0.25,0.0,1.0,1.0,0.07,"y"
"bica520","y","n","nan","nan","nan","nan",7.0,0.9,0.63,"CC",12.0,345.83901,-0.11086,256.86106,-40.71736,0.3017,0.1166,-2.4734,0.1413,-3.3139,0.0969,"nan","nan",0.0,-5.1075,-0.7587,0.0076,5.1636,"nan","nan",0.0,0.05,0.25,0.0,1.0,1.0,0.06,"y"
"bica522","y","n","nan","nan","nan","nan",7.8,0.21,0.52,"CB",14.0,348.90032,1.24128,257.80283,-37.50549,0.2558,0.1296,-1.8975,0.1673,-2.0744,0.1176,-10.0144,1.334,1.0,-4.5648,-0.6987,0.0893,4.6188,"nan","nan",0.0,0.04,0.38,0.0,1.0,1.0,0.08,"y"
"bica524","y","n","nan","nan","nan","nan",3.9,0.25,0.41,"AC",19.0,349.91023,0.99855,258.78889,-36.80241,0.1307,0.232,-0.8188,0.2952,-1.9123,0.21,-16.798,8.03715,2.0,-1.5895,-1.1614,0.1201,1.9722,"nan","nan",0.0,0.05,0.62,0.0,1.0,1.0,0.14,"y"
"bica525","y","n","nan","nan","nan","nan",6.7,0.24,0.37,"DB",14.0,349.94763,-5.19979,265.39681,-40.22749,0.1209,0.0892,-4.6925,0.1163,-4.8608,0.0587,"nan","nan",0.0,-1.1645,-1.2361,-0.6399,1.8148,"nan","nan",0.0,0.01,0.25,0.0,1.0,1.0,0.05,"y"
"bica531","y","n","nan","nan","nan","nan",6.8,1.0,0.54,"DC",18.0,350.72467,1.10448,259.24462,-36.05973,0.6411,0.2112,-3.3601,0.2409,-2.5832,0.1589,"nan","nan",0.0,-6.6293,-0.2435,0.0469,6.6339,"nan","nan",0.0,0.38,0.12,0.0,1.0,1.0,0.1,"y"
"bica588","y","n","nan","nan","nan","nan",7.1,0.82,0.41,"BC",17.0,353.09731,0.10943,261.9069,-34.70629,0.5918,0.0918,-1.0932,0.1205,-2.8996,0.0812,34.25325,17.0045,2.0,-6.4994,-0.1969,0.0199,6.5024,"nan","nan",0.0,0.28,0.38,0.0,1.0,1.0,0.13,"y"
"bica6","y","n","nan","nan","nan","nan",5.7,0.8,0.44,"CC",18.0,166.96162,-0.9359,76.63114,39.2055,0.3104,0.1363,-0.1676,0.166,-1.9887,0.1094,10.61615,2.95045,2.0,-11.0704,0.682,-0.0218,11.0915,"nan","nan",0.0,0.13,0.25,0.5,1.0,1.0,0.28,"n"
"bica626","y","n","nan","nan","nan","nan",6.5,0.71,0.63,"CC",8.0,354.58402,-0.10833,263.15312,-33.58764,0.2704,0.1435,-0.7404,0.1687,-1.3427,0.1222,6.498,2.0755,3.0,-4.6939,-0.325,0.0043,4.7051,"nan","nan",0.0,0.03,0.25,0.0,1.0,1.0,0.06,"y"
"bica631","y","n","nan","nan","nan","nan",5.4,0.17,0.68,"DB",14.0,354.91525,-0.38925,263.63589,-33.45249,0.2589,0.0501,-0.6966,0.0597,-2.0866,0.0429,-3.1792,4.658,2.0,-4.5507,-0.3177,-0.013,4.5618,"nan","nan",0.0,0.08,0.25,0.31,1.0,1.0,0.19,"n"
"bica636","y","n","nan","nan","nan","nan",5.1,0.43,0.45,"DC",17.0,357.43889,-1.5023,266.36742,-31.87971,0.4826,0.1866,-0.9026,0.2054,-2.574,0.1266,"nan","nan",0.0,-6.1351,-0.0878,-0.0366,6.1358,"nan","nan",0.0,0.36,0.12,0.0,1.0,1.0,0.1,"y"
"bica638","y","n","nan","nan","nan","nan",6.9,0.62,0.42,"DC",18.0,359.17079,0.0273,265.85295,-29.62838,0.5941,0.0728,0.4103,0.0764,-0.4631,0.046,-23.6886,0.5905,1.0,-6.4938,-0.0239,0.018,6.4938,"nan","nan",0.0,0.32,0.12,0.0,1.0,1.0,0.09,"y"
"bica639","y","n","nan","nan","nan","nan",6.1,0.25,0.32,"DC",14.0,359.54626,0.28819,265.85794,-29.14507,0.3463,0.2208,-1.2111,0.2764,-2.7219,0.1495,"nan","nan",0.0,-5.3921,-0.0204,0.028,5.3922,"nan","nan",0.0,0.11,0.12,0.0,1.0,1.0,0.05,"y"
"bica641","y","n","nan","nan","nan","nan",4.7,0.14,0.38,"CC",14.0,5.06308,13.30569,257.26048,-17.45622,0.295,0.2234,-2.2215,0.2524,-4.4325,0.1849,-42.6872,0.576,1.0,-5.0427,0.2726,0.7432,5.1045,"nan","nan",0.0,0.13,0.25,0.0,1.0,1.0,0.08,"y"
"bica643","y","n","nan","nan","nan","nan",6.8,0.49,0.43,"BC",9.0,10.02037,-0.26003,272.20415,-20.3776,0.2824,0.2201,-2.1722,0.2532,-4.0336,0.1878,-32.8809,4.1066,3.0,-4.8659,0.5767,-0.0025,4.8999,"bdsb113","8.0",0.0,0.04,0.38,0.0,0.92,1.0,0.08,"y"
"bica644","y","n","nan","nan","nan","nan",8.1,0.35,0.28,"DC",14.0,10.5041,-0.20175,272.33187,-19.94053,0.4238,0.1505,-0.8994,0.1658,-1.9708,0.1232,"nan","nan",0.0,-5.9064,0.41,0.0092,5.9206,"nan","nan",0.0,0.09,0.12,0.0,1.0,1.0,0.04,"y"
"bica652","y","n","nan","nan","nan","nan",8.1,0.18,0.23,"CC",15.0,88.37485,-1.36762,317.78903,46.24097,0.2085,0.0586,-3.6318,0.0581,-3.8074,0.0639,-39.03715,3.39445,4.0,-7.9984,4.3734,-0.0806,9.1163,"nan","nan",0.0,0.02,0.25,0.0,1.0,1.0,0.05,"y"
"bica659","y","n","nan","nan","nan","nan",4.8,0.39,0.38,"CB",14.0,306.10621,0.11176,199.78938,-62.59212,0.2399,0.0547,-6.3286,0.0435,-1.2251,0.0548,-37.1985,2.0503,1.0,-5.8541,-3.1082,0.0223,6.6281,"nan","nan",0.0,0.08,0.38,0.0,1.0,1.0,0.09,"y"
"bica68","y","n","nan","nan","nan","nan",8.4,0.45,0.51,"DB",25.0,25.97552,-0.0044,279.67087,-6.17254,0.2705,0.0693,-0.8766,0.0754,-2.7574,0.0619,35.2718,0.2675,1.0,-5.0277,1.5083,0.0135,5.2491,"nan","nan",0.25,0.06,0.25,0.0,1.0,1.0,0.11,"y"
"bica7","y","n","nan","nan","nan","nan",7.3,0.22,0.44,"BB",18.0,359.51254,5.81704,260.5729,-26.19955,0.0951,0.0688,-4.8158,0.0839,-6.5421,0.0586,30.1301,4.8339,6.0,0.5231,-0.0753,0.8807,1.0272,"nan","nan",0.0,0.01,0.5,0.0,1.0,1.0,0.1,"y"
"biurakan1","y","n","nan","nan","nan","nan",5.8,0.13,0.31,"CC",27.0,72.78943,1.75088,301.88962,35.74863,0.1557,0.0536,-3.3079,0.0635,-5.2802,0.0619,-35.4403,4.3165,3.0,-6.4387,5.4342,0.1923,8.4276,"nan","nan",0.27,0.05,0.25,0.62,1.0,1.0,0.36,"n"
"biurakan2","y","n","nan","nan","nan","nan",8.3,1.0,0.61,"AB",123.0,72.74744,1.33966,302.30088,35.4675,0.5453,0.0345,-3.17,0.0345,-6.8855,0.0413,-26.9303,10.4363,13.0,-7.5971,1.6888,0.0607,7.7828,"oc0102","2.4",0.76,1.0,0.75,1.0,1.0,1.0,0.9,"n"
"bkf48","y","n","nan","nan","nan","nan",5.9,0.37,0.28,"DC",16.0,348.28894,1.75732,256.81328,-37.68618,0.3209,0.1203,-2.2309,0.1552,-4.0139,0.1028,27.0353,5.355,1.0,-5.2509,-0.5958,0.1029,5.2856,"nan","nan",0.0,0.11,0.12,0.0,1.0,1.0,0.05,"y"
"bkf49","y","n","nan","nan","nan","nan",6.4,0.69,0.45,"DB",13.0,355.32538,4.88422,258.76521,-30.1596,0.1152,0.0834,-4.5033,0.1174,-5.8075,0.0718,-49.8176,4.14205,4.0,-0.7753,-0.6012,0.6311,1.1666,"nan","nan",0.0,0.01,0.25,0.0,1.0,1.0,0.05,"y"
"blanco1","y","n","nan","nan",5.0,"nan",155.7,1.0,1.0,"AA",739.0,15.02969,-79.07415,1.22232,-29.9478,4.2257,0.1119,18.7503,0.1141,2.5971,0.0969,5.1931,2.54855,168.0,-8.0807,0.0111,-0.2108,8.0834,"cwwdl14677;dzetascul","50.1;2.3",1.0,1.0,1.0,1.0,1.0,1.0,1.0,"n"
"bochum1","y","n","nan","nan","nan","nan",7.2,0.58,0.53,"AB",260.0,192.36189,3.404,96.33839,19.83377,0.2088,0.08415,-0.1379,0.0981,-0.4922,0.06745,24.54365,3.39195,12.0,-12.3829,-0.9342,0.2923,12.4216,"ubc1309;alessi58;oc0319","57.7;42.3;9.6",0.81,0.52,0.75,0.79,1.0,1.0,0.73,"n"
"bochum10","y","n","nan","nan","nan","nan",8.3,0.54,0.69,"AB",201.0,286.97903,-0.34405,160.47152,-59.1372,0.3864,0.0253,-7.414,0.0291,2.9993,0.0268,7.7023,8.0336,5.0,-7.4033,-2.3533,0.0045,7.7683,"oc0544;ubc653","11.9;7.0",0.79,1.0,0.75,1.0,1.0,1.0,0.91,"n"
"bochum11","y","n","nan","nan","nan","nan",3.9,1.0,0.7,"AB",127.0,287.99114,-0.87955,161.73466,-60.08701,0.395,0.0379,-6.3611,0.0411,1.7906,0.0407,7.2942,9.5555,10.0,-7.3779,-2.2915,-0.018,7.7256,"nan","nan",0.76,1.0,0.75,0.75,1.0,1.0,0.8,"n"
"bochum12","y","n","nan","nan","nan","nan",1.3,0.27,0.51,"BB",24.0,289.85789,-1.78602,164.34337,-61.72716,0.3604,0.03,-7.2798,0.0327,1.7334,0.0303,22.4071,1.5956,1.0,-7.2297,-2.4713,-0.0634,7.6407,"oc0554","100.0",0.0,1.0,0.5,0.56,1.0,1.0,0.52,"n"
"bochum13","y","n","nan","nan","nan","nan",6.3,0.9,0.83,"AB",105.0,351.20256,1.37919,259.33563,-35.53284,0.5692,0.0345,-0.281,0.0422,-1.2551,0.0303,-62.1484,3.682,3.0,-6.4451,-0.2593,0.0574,6.4506,"nan","nan",0.75,1.0,0.75,1.0,1.0,1.0,0.9,"n"
"bochum14","y","n","nan","nan","nan","nan",3.8,1.0,0.86,"AA",216.0,6.37954,-0.50879,270.5018,-23.69892,0.3144,0.06235,0.2532,0.0813,-1.1214,0.05435,110.2424,10.1066,5.0,-5.1498,0.3321,-0.0133,5.1605,"ryu604;ruprecht139","1.9;1.4",0.79,1.0,1.0,0.5,1.0,1.0,0.76,"n"
"bochum15","y","n","nan","nan","nan","nan",6.6,0.53,0.66,"DB",34.0,248.02214,-5.4541,115.07938,-33.56585,0.2578,0.028,-2.2449,0.02635,3.0414,0.0332,"nan","nan",0.0,-9.4632,-3.324,-0.3183,10.0351,"cwnu3351;cmg1050","100.0;35.3",0.34,0.12,0.25,0.38,1.0,1.0,0.29,"n"
"bochum2","y","n","nan","nan","nan","nan",3.0,0.67,0.62,"DB",19.0,212.30072,-0.40592,102.21375,0.37799,0.1865,0.0536,-0.2662,0.06,0.2364,0.0508,84.1254,2.1686,1.0,-12.2152,-2.5877,-0.0027,12.4863,"cwnu4122","84.0",0.0,0.17,0.25,0.75,1.0,1.0,0.38,"n"
"bochum3","y","n","nan","nan","nan","nan",3.6,1.0,0.66,"AB",95.0,218.761,0.37371,105.85971,-5.01465,0.4061,0.0374,-1.1719,0.0394,-0.1979,0.0356,29.7301,25.5474,1.0,-9.9519,-1.4693,0.0408,10.0598,"nan","nan",0.72,1.0,0.75,0.86,1.0,1.0,0.84,"n"
"bochum4","y","n","nan","nan","nan","nan",11.8,0.99,0.69,"AB",115.0,232.78082,0.77599,112.91363,-17.20205,0.7631,0.0419,-3.0244,0.0359,1.8914,0.0368,34.5493,10.6388,17.0,-8.8945,-1.0166,0.0401,8.9525,"nan","nan",0.76,1.0,0.75,1.0,1.0,1.0,0.9,"n"
"bochum5","y","n","nan","nan","nan","nan",8.9,0.24,0.39,"CC",17.0,232.44501,0.7728,112.74116,-16.91273,0.2818,0.0782,-1.4353,0.0686,1.4562,0.0649,"nan","nan",0.0,-10.1419,-2.6261,0.0706,10.4766,"nan","nan",0.0,0.04,0.25,0.38,1.0,1.0,0.21,"n"
"bochum6","y","n","nan","nan","nan","nan",3.6,0.73,0.61,"CB",107.0,234.73286,-0.22767,112.98385,-19.40752,0.256,0.0542,-2.2524,0.0532,2.299,0.0548,66.9671,1.4983,1.0,-10.2141,-2.9581,0.0118,10.6339,"dbsb9","61.7",0.75,1.0,0.38,0.69,1.0,1.0,0.7,"n"
"bochum7","y","n","nan","nan","nan","nan",6.3,0.45,0.48,"DC",15.0,265.2127,-1.97941,131.19664,-45.99329,0.1903,0.0459,-3.3876,0.0517,3.8705,0.0499,"nan","nan",0.0,-8.5194,-4.7357,-0.1422,9.7482,"hsc2140;cwnu3263","20.0;16.0",0.0,0.03,0.12,0.56,1.0,1.0,0.26,"n"
"bochum8","y","n","nan","nan","nan","nan",3.0,0.95,0.74,"AB",371.0,283.13326,-1.45454,153.05778,-58.0695,0.3776,0.0751,-5.399,0.0878,2.3384,0.0742,26.80335,3.5391,4.0,-7.5507,-2.4485,-0.0445,7.9379,"vdbh90","59.3",0.85,1.0,0.75,0.0,1.0,1.0,0.52,"n"
"bochum9","y","n","nan","nan","nan","nan",6.7,0.24,0.39,"DC",14.0,286.77575,-1.59771,158.87237,-60.14998,0.2077,0.0526,-5.4206,0.0637,2.5687,0.0575,-0.82555,2.917,2.0,-6.8556,-4.2033,-0.1063,8.0423,"nan","nan",0.0,0.03,0.12,0.5,1.0,1.0,0.23,"y"
"briceno1","y","n","nan","nan","nan","nan",27.5,1.0,1.0,"AA",434.0,201.11409,-18.34224,81.20615,1.67948,2.8772,0.0566,1.3776,0.05845,-0.0602,0.04455,18.2854,4.9491,129.0,-8.4278,-0.1181,-0.0871,8.4291,"ascc16","99.8",0.88,1.0,1.0,0.38,0.0,1.0,0.0,"n"
"c1331622","y","n","nan","nan","nan","nan",5.4,0.16,0.68,"BC",9.0,307.88819,0.1134,203.61081,-62.35309,0.1752,0.0862,-6.9588,0.0646,-1.2692,0.0854,-22.09685,2.22315,2.0,-4.9752,-4.0426,0.022,6.4105,"nan","nan",0.0,0.02,0.38,0.31,1.0,1.0,0.2,"y"
"canbattlo1","y","n","nan","nan","nan","nan",3.7,0.65,0.55,"AC",50.0,158.36014,-1.5433,68.55684,45.45013,0.3158,0.07725,-0.2525,0.08675,-1.0604,0.0572,-2.1206,0.28,1.0,-10.8893,1.0977,-0.0523,10.9446,"cwnu1607","76.0",0.5,0.86,0.62,0.25,0.24,1.0,0.12,"n"
"carraro1","y","n","nan","nan","nan","nan",10.4,0.27,0.58,"CC",36.0,286.25102,-0.29015,159.2736,-58.73208,0.32,0.05735,-5.9844,0.06855,2.3992,0.05815,"nan","nan",0.0,-7.2993,-2.8233,0.0042,7.8263,"nan","nan",0.36,0.08,0.25,0.38,1.0,1.0,0.29,"y"
"casado10","y","n","nan","nan","nan","nan",2.4,0.72,0.51,"AC",44.0,249.15456,-0.74744,120.58154,-32.12865,0.2702,0.0389,-2.9656,0.0366,3.5886,0.0403,"nan","nan",0.0,-9.348,-3.2195,-0.0211,9.8869,"ubc1421","68.2",0.44,1.0,0.62,0.31,1.0,1.0,0.54,"n"
"casado11","y","n","nan","nan","nan","nan",6.4,0.9,0.41,"AC",24.0,119.83665,-6.03534,7.21472,56.69988,0.5635,0.0316,-3.3122,0.0276,-2.6891,0.0308,15.0285,10.959,1.0,-8.9699,1.4786,-0.1572,9.0923,"nan","nan",0.0,0.44,0.62,0.0,1.0,1.0,0.21,"y"
"casado12","y","n","nan","nan","nan","nan",3.9,0.37,0.56,"BB",24.0,122.87403,0.77652,12.72904,63.64822,0.3437,0.0326,-2.9895,0.0318,-0.4685,0.0364,"nan","nan",0.0,-9.6142,2.309,0.0619,9.8877,"ubc1208","100.0",0.0,0.44,0.5,0.31,1.0,1.0,0.31,"n"
"casado13","y","n","nan","nan","nan","nan",3.2,1.0,0.62,"AB",80.0,121.79622,0.74384,10.30206,63.59284,0.2315,0.06205,-1.7234,0.0546,-0.455,0.06275,-89.1999,6.5507,5.0,-10.2166,3.3792,0.0778,10.7612,"cwnu2044","31.2",0.65,0.99,0.75,0.31,1.0,1.0,0.6,"n"
"casado14","y","n","nan","nan","nan","nan",4.0,1.0,0.65,"AB",109.0,122.03103,-0.26311,10.9081,62.59505,0.2368,0.0597,-2.1089,0.0515,-0.4375,0.0557,-86.91785,0.34845,2.0,-10.1875,3.3011,0.0082,10.709,"nan","nan",0.75,0.9,0.75,0.31,1.0,1.0,0.61,"n"
"casado15","y","n","nan","nan","nan","nan",3.1,0.6,0.57,"CB",29.0,118.51235,-0.06699,3.25668,62.47119,0.3093,0.0342,-2.0779,0.0316,-0.9218,0.033,-102.1078,0.4856,1.0,-9.5714,2.6685,0.0208,9.9365,"cwwdl8368;oc0220","72.4;72.4",0.29,0.68,0.38,0.31,1.0,1.0,0.39,"n"
"casado16","y","n","nan","nan","nan","nan",2.1,0.77,0.54,"CB",21.0,117.49789,0.1586,1.00855,62.52878,0.3478,0.0301,-2.0486,0.0321,-0.9137,0.0312,-31.3029,3.4093,1.0,-9.3772,2.4118,0.0315,9.6824,"nan","nan",0.0,1.0,0.38,0.0,1.0,1.0,0.28,"n"
"casado17","y","n","nan","nan","nan","nan",5.3,0.98,0.61,"CB",28.0,118.92766,0.97832,3.83182,63.5682,0.4714,0.0229,-3.2274,0.02255,-1.0754,0.024,-65.4874,0.948,1.0,-9.1059,1.7807,0.058,9.2786,"ubc1201;theia2330;cwwdl10501","96.4;67.9;39.3",0.28,0.52,0.38,0.0,1.0,1.0,0.24,"y"
"casado18","y","n","nan","nan","nan","nan",5.0,0.14,0.34,"DC",20.0,113.87318,0.349,353.35642,61.84228,0.3477,0.073,-3.7484,0.0798,-1.6459,0.0754,-60.5698,5.9117,1.0,-9.2223,2.487,0.0403,9.5518,"nan","nan",0.0,0.23,0.12,0.0,1.0,1.0,0.07,"y"
