"fname","plot_used","process","N_clust","N_clust_max","N_box","frame_limit","r_50","C1","C2","C3","N_50","GLON_m","GLAT_m","RA_ICRS_m","DE_ICRS_m","Plx_m","e_Plx_m","pmRA_m","e_pmRA_m","pmDE_m","e_pmDE_m","Rv_m","e_Rv_m","N_Rv","X_GC","Y_GC","Z_GC","R_GC","shared_members","shared_members_p","C_N","C_dens","C_C3","C_lit","C_dup","C_dup_same_db","UTI","bad_oc"
"loden402","y","n","nan","nan","nan","nan",8.5,0.07,0.48,"DC",7.0,293.45158,0.70586,173.18871,-60.68249,0.1898,0.0476,-6.2859,0.0473,1.7194,0.0479,-11.3895,1.84955,2.0,-6.2256,-4.3726,0.0768,7.6082,"nan","nan",0.0,0.01,0.12,0.56,1.0,1.0,0.25,"n"
"loden46","y","n","nan","nan","nan","nan",7.9,0.99,0.59,"AC",34.0,282.61072,2.24531,155.91819,-54.6912,0.891,0.01545,-11.4006,0.0173,4.6817,0.0147,27.1178,4.7219,14.0,-7.8828,-1.0704,0.063,7.9554,"nan","nan",0.34,1.0,0.62,1.0,1.0,1.0,0.79,"n"
"loden466","y","n","nan","nan","nan","nan",8.5,0.06,0.08,"DD",24.0,295.19385,-0.70082,175.88192,-62.54896,0.4519,0.0998,-5.2143,0.1092,-5.5272,0.1069,"nan","nan",0.0,-7.22,-1.9173,-0.0075,7.4703,"nan","nan",0.0,0.16,0.0,0.0,1.0,1.0,0.03,"y"
"loden467","y","n","nan","nan","nan","nan",1.4,0.3,0.93,"BB",22.0,295.38945,-0.53567,176.37931,-62.43391,0.206,0.0297,-6.5278,0.0325,0.9923,0.03,"nan","nan",0.0,-6.2251,-3.9973,-0.0251,7.398,"cwnu3744","76.0",0.0,1.0,0.5,0.44,1.0,1.0,0.48,"n"
"loden480","y","n","nan","nan","nan","nan",24.7,0.34,0.28,"AC",41.0,295.81078,3.8162,179.26613,-58.32441,1.3423,0.0405,-9.8355,0.0354,-0.707,0.0369,-5.53945,3.6306,14.0,-7.8028,-0.6593,0.0686,7.8309,"nan","nan",0.41,0.29,0.62,0.62,1.0,1.0,0.51,"n"
"loden481","y","n","nan","nan","nan","nan",6.0,0.54,0.32,"BC",14.0,295.76949,0.76573,177.86646,-61.26002,0.218,0.0646,-7.6789,0.0598,1.1048,0.0562,-14.5506,4.2662,5.0,-6.2943,-3.783,0.0731,7.344,"nan","nan",0.0,0.04,0.38,0.62,1.0,1.0,0.33,"n"
"loden565","y","n","nan","nan","nan","nan",5.6,0.64,0.57,"CC",13.0,297.66748,1.65612,182.05174,-60.79129,0.1901,0.0914,-5.1615,0.086,0.3424,0.087,"nan","nan",0.0,-5.9116,-4.2132,0.1513,7.2609,"nan","nan",0.0,0.04,0.25,0.62,1.0,1.0,0.31,"n"
"loden59","y","n","nan","nan","nan","nan",6.6,0.59,0.53,"BC",13.0,283.07442,3.17849,157.51436,-54.12597,0.0972,0.1089,-5.3846,0.1318,2.0149,0.1104,55.9954,4.0632,1.0,-6.1923,-8.2979,0.493,10.3655,"nan","nan",0.0,0.01,0.38,0.5,1.0,1.0,0.28,"y"
"loden615","y","n","nan","nan","nan","nan",8.1,0.23,0.39,"DC",7.0,299.65664,-2.13397,185.19996,-64.80787,0.2422,0.0792,-7.4819,0.0737,0.464,0.0816,-13.5544,3.0354,2.0,-6.2353,-3.3113,-0.1258,7.0612,"nan","nan",0.0,0.01,0.12,0.56,1.0,1.0,0.25,"n"
"loden624","y","n","nan","nan","nan","nan",8.6,0.34,0.46,"CB",97.0,299.96005,0.8475,186.55328,-61.8654,0.2478,0.0546,-6.791,0.0518,0.0235,0.0535,-27.75115,2.87625,6.0,-6.2571,-3.2347,0.0721,7.0441,"gulliver46;teutsch108","12.4;9.3",0.74,0.19,0.38,0.25,1.0,1.0,0.36,"n"
