"process","fname","N_clust","N_clust_max","Nbox","frame_limit"
"no",cwnu1152,"nan",40,"nan","nan"
"no",cwnu1153,"nan",28,"nan","nan"
"no",cwnu1154,"nan",33,"nan","nan"
"no",cwnu1155,"nan",30,"nan","nan"
"no",cwnu1156,"nan",32,"nan","nan"
"no",cwnu1157,"nan",27,"nan","nan"
"no",cwnu1158,"nan",25,"nan","nan"
"no",cwnu1159,"nan",27,"nan","nan"
"no",cwnu116,"nan",49,"nan","nan"
"no",cwnu1160,"nan",25,"nan","nan"
"no",cwnu1161,"nan",30,"nan","nan"
"no",cwnu1162,"nan",30,"nan","nan"
"no",cwnu1163,"nan",25,"nan","nan"
"no",cwnu1164,"nan",25,"nan","nan"
"no",cwnu1165,"nan",25,"nan","nan"
"no",cwnu1166,"nan",25,"nan","nan"
"no",cwnu1167,"nan",33,"nan","nan"
"no",cwnu1168,"nan",41,"nan","nan"
"no",cwnu1169,"nan",30,"nan","nan"
"no",cwnu117,"nan",60,"nan","nan"
"no",cwnu1170,"nan",32,"nan","nan"
"no",cwnu1171,"nan",25,"nan","nan"
"no",cwnu1172,"nan",25,"nan","nan"
"no",cwnu1173,"nan",27,"nan","nan"
"no",cwnu1174,"nan",25,"nan","nan"
"no",cwnu1175,"nan",32,"nan","nan"
"no",cwnu1176,"nan",25,"nan","nan"
"no",cwnu1177,"nan",25,"nan","nan"
"no",cwnu1178,"nan",25,"nan","nan"
"no",cwnu1179,"nan",28,"nan","nan"
"no",cwnu118,"nan",67,"nan","nan"
"no",cwnu1180,"nan",28,"nan","nan"
"no",cwnu1181,"nan",27,"nan","nan"
"no",cwnu1182,"nan",25,"nan","nan"
"no",cwnu1183,"nan",27,"nan","nan"
"no",cwnu1184,"nan",28,"nan","nan"
"no",cwnu1185,"nan",30,"nan","nan"
"no",cwnu1186,"nan",25,"nan","nan"
"no",cwnu1187,"nan",25,"nan","nan"
"no",cwnu1188,"nan",28,"nan","nan"
"no",cwnu1189,"nan",25,"nan","nan"
"no",cwnu119,"nan",62,"nan","nan"
"no",cwnu1190,"nan",35,"nan","nan"
"no",cwnu1191,"nan",54,"nan","nan"
"no",cwnu1192,"nan",25,"nan","nan"
"no",cwnu1193,"nan",25,"nan","nan"
"no",cwnu1194,"nan",25,"nan","nan"
"no",cwnu1195,"nan",30,"nan","nan"
"no",cwnu1196,"nan",25,"nan","nan"
"no",cwnu1197,"nan",25,"nan","nan"
"no",cwnu1198,"nan",28,"nan","nan"
"no",cwnu1199,"nan",32,"nan","nan"
"no",cwnu12,"nan",110,"nan","nan"
"no",cwnu120,"nan",99,"nan","nan"
"no",cwnu1200,"nan",25,"nan","nan"
"no",cwnu1201,"nan",32,"nan","nan"
"no",cwnu1202,"nan",25,"nan","nan"
"no",cwnu1203,"nan",46,"nan","nan"
"no",cwnu1204,"nan",27,"nan","nan"
"no",cwnu1205,"nan",27,"nan","nan"
"no",cwnu1206,"nan",28,"nan","nan"
"no",cwnu1207,"nan",32,"nan","nan"
"no",cwnu1208,"nan",25,"nan","nan"
"no",cwnu1209,"nan",25,"nan","nan"
"no",cwnu121,"nan",54,"nan","nan"
"no",cwnu1210,"nan",25,"nan","nan"
"no",cwnu1211,"nan",28,"nan","nan"
"no",cwnu1212,"nan",27,"nan","nan"
"no",cwnu1213,"nan",28,"nan","nan"
"no",cwnu1214,"nan",25,"nan","nan"
"no",cwnu1215,"nan",54,"nan","nan"
"no",cwnu1216,"nan",32,"nan","nan"
"no",cwnu1217,"nan",64,"nan","nan"
"no",cwnu1218,"nan",35,"nan","nan"
"no",cwnu1219,"nan",57,"nan","nan"
"no",cwnu122,"nan",120,"nan","nan"
"no",cwnu1220,"nan",158,"nan","nan"
"no",cwnu1221,"nan",57,"nan","nan"
"no",cwnu1222,"nan",89,"nan","nan"
"no",cwnu1223,"nan",33,"nan","nan"
"no",cwnu1224,"nan",44,"nan","nan"
"no",cwnu1225,"nan",49,"nan","nan"
"no",cwnu1226,"nan",54,"nan","nan"
"no",cwnu1227,"nan",33,"nan","nan"
"no",cwnu1228,"nan",201,"nan","nan"
"no",cwnu1229,"nan",155,"nan","nan"
"no",cwnu123,"nan",59,"nan","nan"
"no",cwnu1230,"nan",51,"nan","nan"
"no",cwnu1231,"nan",25,"nan","nan"
"no",cwnu1232,"nan",25,"nan","nan"
"no",cwnu1233,"nan",25,"nan","nan"
"no",cwnu1234,"nan",57,"nan","nan"
"no",cwnu1235,"nan",36,"nan","nan"
"no",cwnu1236,"nan",25,"nan","nan"
"no",cwnu1237,"nan",35,"nan","nan"
"no",cwnu1238,"nan",48,"nan","nan"
"no",cwnu1239,"nan",54,"nan","nan"
"no",cwnu124,"nan",56,"nan","nan"
"no",cwnu1240,"nan",30,"nan","nan"
"no",cwnu1241,"nan",49,"nan","nan"
"no",cwnu1242,"nan",25,"nan","nan"
"no",cwnu1243,"nan",54,"nan","nan"
"no",cwnu1244,"nan",70,"nan","nan"
"no",cwnu1245,"nan",70,"nan","nan"
"no",cwnu1246,"nan",33,"nan","nan"
"no",cwnu1247,"nan",25,"nan","nan"
"no",cwnu1248,"nan",25,"nan","nan"
"no",cwnu1249,"nan",28,"nan","nan"
"no",cwnu125,"nan",49,"nan","nan"
"no",cwnu1250,"nan",27,"nan","nan"
"no",cwnu1251,"nan",32,"nan","nan"
"no",cwnu1252,"nan",38,"nan","nan"
"no",cwnu1253,"nan",54,"nan","nan"
"no",cwnu1254,"nan",28,"nan","nan"
"no",cwnu1255,"nan",25,"nan","nan"
"no",cwnu1256,"nan",30,"nan","nan"
"no",cwnu1257,"nan",25,"nan","nan"
"no",cwnu1258,"nan",25,"nan","nan"
"no",cwnu1259,"nan",25,"nan","nan"
"no",cwnu126,"nan",48,"nan","nan"
"no",cwnu1260,"nan",28,"nan","nan"
"no",cwnu1261,"nan",27,"nan","nan"
"no",cwnu1262,"nan",38,"nan","nan"
"no",cwnu1263,"nan",28,"nan","nan"
"no",cwnu1264,"nan",27,"nan","nan"
"no",cwnu1265,"nan",30,"nan","nan"
"no",cwnu1266,"nan",30,"nan","nan"
"no",cwnu1267,"nan",25,"nan","nan"
"no",cwnu1268,"nan",25,"nan","nan"
"no",cwnu1269,"nan",25,"nan","nan"
"no",cwnu127,"nan",60,"nan","nan"
"no",cwnu1270,"nan",25,"nan","nan"
"no",cwnu1271,"nan",72,"nan","nan"
"no",cwnu1272,"nan",41,"nan","nan"
"no",cwnu1273,"nan",72,"nan","nan"
"no",cwnu1274,"nan",72,"nan","nan"
"no",cwnu1275,"nan",72,"nan","nan"
"no",cwnu1276,"nan",70,"nan","nan"
"no",cwnu1277,"nan",40,"nan","nan"
"no",cwnu1278,"nan",70,"nan","nan"
"no",cwnu1279,"nan",40,"nan","nan"
"no",cwnu128,"nan",105,"nan","nan"
"no",cwnu1280,"nan",70,"nan","nan"
"no",cwnu1281,"nan",70,"nan","nan"
"no",cwnu1282,"nan",40,"nan","nan"
"no",cwnu1283,"nan",40,"nan","nan"
"no",cwnu1284,"nan",70,"nan","nan"
"no",cwnu1285,"nan",68,"nan","nan"
"no",cwnu1286,"nan",40,"nan","nan"
"no",cwnu1287,"nan",68,"nan","nan"
"no",cwnu1288,"nan",40,"nan","nan"
"no",cwnu1289,"nan",40,"nan","nan"
"no",cwnu129,"nan",56,"nan","nan"
"no",cwnu1290,"nan",68,"nan","nan"
"no",cwnu1291,"nan",40,"nan","nan"
"no",cwnu1292,"nan",67,"nan","nan"
"no",cwnu1293,"nan",67,"nan","nan"
"no",cwnu1294,"nan",67,"nan","nan"
"no",cwnu1295,"nan",67,"nan","nan"
"no",cwnu1296,"nan",40,"nan","nan"
"no",cwnu1297,"nan",67,"nan","nan"
"no",cwnu1298,"nan",67,"nan","nan"
"no",cwnu1299,"nan",67,"nan","nan"
"no",cwnu13,"nan",174,"nan","nan"
"no",cwnu130,"nan",56,"nan","nan"
"no",cwnu1300,"nan",72,"nan","nan"
"no",cwnu1301,"nan",40,"nan","nan"
"no",cwnu1302,"nan",65,"nan","nan"
"no",cwnu1303,"nan",65,"nan","nan"
"no",cwnu1304,"nan",38,"nan","nan"
"no",cwnu1305,"nan",65,"nan","nan"
"no",cwnu1306,"nan",38,"nan","nan"
"no",cwnu1307,"nan",38,"nan","nan"
"no",cwnu1308,"nan",83,"nan","nan"
"no",cwnu1309,"nan",38,"nan","nan"
"no",cwnu131,"nan",84,"nan","nan"
"no",cwnu1310,"nan",64,"nan","nan"
"no",cwnu1311,"nan",38,"nan","nan"
"no",cwnu1312,"nan",38,"nan","nan"
"no",cwnu1313,"nan",64,"nan","nan"
"no",cwnu1314,"nan",38,"nan","nan"
"no",cwnu1315,"nan",38,"nan","nan"
"no",cwnu1316,"nan",38,"nan","nan"
"no",cwnu1317,"nan",51,"nan","nan"
"no",cwnu1318,"nan",25,"nan","nan"
"no",cwnu1319,"nan",38,"nan","nan"
"no",cwnu132,"nan",112,"nan","nan"
"no",cwnu1320,"nan",38,"nan","nan"
"no",cwnu1321,"nan",88,"nan","nan"
"no",cwnu1322,"nan",73,"nan","nan"
"no",cwnu1323,"nan",38,"nan","nan"
"no",cwnu1324,"nan",38,"nan","nan"
"no",cwnu1325,"nan",62,"nan","nan"
"no",cwnu1326,"nan",46,"nan","nan"
"no",cwnu1327,"nan",62,"nan","nan"
"no",cwnu1328,"nan",38,"nan","nan"
"no",cwnu1329,"nan",62,"nan","nan"
"no",cwnu133,"nan",68,"nan","nan"
"no",cwnu1330,"nan",38,"nan","nan"
"no",cwnu1331,"nan",62,"nan","nan"
"no",cwnu1332,"nan",62,"nan","nan"
"no",cwnu1333,"nan",62,"nan","nan"
"no",cwnu1334,"nan",62,"nan","nan"
"no",cwnu1335,"nan",38,"nan","nan"
"no",cwnu1336,"nan",38,"nan","nan"
"no",cwnu1337,"nan",62,"nan","nan"
"no",cwnu1338,"nan",62,"nan","nan"
"no",cwnu1339,"nan",38,"nan","nan"
"no",cwnu134,"nan",57,"nan","nan"
"no",cwnu1340,"nan",62,"nan","nan"
"no",cwnu1341,"nan",38,"nan","nan"
"no",cwnu1342,"nan",60,"nan","nan"
"no",cwnu1343,"nan",38,"nan","nan"
"no",cwnu1344,"nan",60,"nan","nan"
