"process","fname","N_clust","N_clust_max","Nbox","frame_limit"
"no",hsc2214,"nan",25,"nan","nan"
"no",hsc2215,"nan",148,"nan","nan"
"no",hsc2216,"nan",25,"nan","nan"
"no",hsc2217,"nan",25,"nan","nan"
"no",hsc2218,"nan",40,"nan","nan"
"no",hsc222,"nan",25,"nan","nan"
"no",hsc2220,"nan",25,"nan","nan"
"no",hsc2221,"nan",30,"nan","nan"
"no",hsc2223,"nan",25,"nan","nan"
"no",hsc2224,"nan",25,"nan","nan"
"no",hsc2225,"nan",25,"nan","nan"
"no",hsc2226,"nan",25,"nan","nan"
"no",hsc2227,"nan",31,"nan","nan"
"no",hsc2228,"nan",26,"nan","nan"
"no",hsc2229,"nan",30,"nan","nan"
"no",hsc223,"nan",25,"nan","nan"
"no",hsc2230,"nan",39,"nan","nan"
"no",hsc2231,"nan",26,"nan","nan"
"no",hsc2232,"nan",55,"nan","nan"
"no",hsc2233,"nan",25,"nan","nan"
"no",hsc2234,"nan",25,"nan","nan"
"no",hsc2235,"nan",25,"nan","nan"
"no",hsc2236,"nan",42,"nan","nan"
"no",hsc2237,"nan",25,"nan","nan"
"no",hsc2239,"nan",64,"nan","nan"
"no",hsc224,"nan",61,"nan","nan"
"no",hsc2241,"nan",25,"nan","nan"
"no",hsc2244,"nan",41,"nan","nan"
"no",hsc2246,"nan",25,"nan","nan"
"no",hsc2247,"nan",46,"nan","nan"
"no",hsc2248,"nan",25,"nan","nan"
"no",hsc2249,"nan",25,"nan","nan"
"no",hsc225,"nan",39,"nan","nan"
"no",hsc2251,"nan",44,"nan","nan"
"no",hsc2253,"nan",28,"nan","nan"
"no",hsc2256,"nan",37,"nan","nan"
"no",hsc2257,"nan",28,"nan","nan"
"no",hsc226,"nan",61,"nan","nan"
"no",hsc2260,"nan",58,"nan","nan"
"no",hsc2261,"nan",50,"nan","nan"
"no",hsc2263,"nan",39,"nan","nan"
"no",hsc2266,"nan",50,"nan","nan"
"no",hsc2268,"nan",29,"nan","nan"
"no",hsc227,"nan",48,"nan","nan"
"no",hsc2270,"nan",25,"nan","nan"
"no",hsc2271,"nan",28,"nan","nan"
"no",hsc2272,"nan",25,"nan","nan"
"no",hsc2273,"nan",25,"nan","nan"
"no",hsc2274,"nan",84,"nan","nan"
"no",hsc2275,"nan",25,"nan","nan"
"no",hsc2278,"nan",46,"nan","nan"
"no",hsc2280,"nan",113,"nan","nan"
"no",hsc2281,"nan",167,"nan","nan"
"no",hsc2282,"nan",96,"nan","nan"
"no",hsc2283,"nan",87,"nan","nan"
"no",hsc2284,"nan",34,"nan","nan"
"no",hsc2286,"nan",25,"nan","nan"
"no",hsc2287,"nan",29,"nan","nan"
"no",hsc2288,"nan",55,"nan","nan"
"no",hsc2289,"nan",31,"nan","nan"
"no",hsc229,"nan",25,"nan","nan"
"no",hsc2290,"nan",25,"nan","nan"
"no",hsc2294,"nan",85,"nan","nan"
"no",hsc2296,"nan",53,"nan","nan"
"no",hsc2297,"nan",59,"nan","nan"
"no",hsc2298,"nan",61,"nan","nan"
"no",hsc23,"nan",25,"nan","nan"
"no",hsc230,"nan",121,"nan","nan"
"no",hsc2302,"nan",27,"nan","nan"
"no",hsc2303,"nan",153,"nan","nan"
"no",hsc2304,"nan",116,"nan","nan"
"no",hsc2305,"nan",37,"nan","nan"
"no",hsc2306,"nan",33,"nan","nan"
"no",hsc2307,"nan",25,"nan","nan"
"no",hsc2308,"nan",25,"nan","nan"
"no",hsc2309,"nan",63,"nan","nan"
"no",hsc231,"nan",25,"nan","nan"
"no",hsc2311,"nan",25,"nan","nan"
"no",hsc2312,"nan",25,"nan","nan"
"no",hsc2314,"nan",25,"nan","nan"
"no",hsc2315,"nan",101,"nan","nan"
"no",hsc2319,"nan",25,"nan","nan"
"no",hsc232,"nan",25,"nan","nan"
"no",hsc2320,"nan",40,"nan","nan"
"no",hsc2321,"nan",25,"nan","nan"
"no",hsc2322,"nan",36,"nan","nan"
"no",hsc2324,"nan",25,"nan","nan"
"no",hsc2325,"nan",105,"nan","nan"
"no",hsc2326,"nan",25,"nan","nan"
"no",hsc2327,"nan",91,"nan","nan"
"no",hsc2329,"nan",57,"nan","nan"
"no",hsc233,"nan",25,"nan","nan"
"no",hsc2330,"nan",91,"nan","nan"
"no",hsc2331,"nan",29,"nan","nan"
"no",hsc2332,"nan",73,"nan","nan"
"no",hsc2333,"nan",25,"nan","nan"
"no",hsc2334,"nan",25,"nan","nan"
"no",hsc2335,"nan",25,"nan","nan"
"no",hsc2336,"nan",39,"nan","nan"
"no",hsc2337,"nan",39,"nan","nan"
"no",hsc2338,"nan",44,"nan","nan"
"no",hsc2339,"nan",26,"nan","nan"
"no",hsc234,"nan",39,"nan","nan"
"no",hsc2340,"nan",197,"nan","nan"
"no",hsc2341,"nan",37,"nan","nan"
"no",hsc2342,"nan",27,"nan","nan"
"no",hsc2343,"nan",25,"nan","nan"
"no",hsc2344,"nan",26,"nan","nan"
"no",hsc2348,"nan",35,"nan","nan"
"no",hsc235,"nan",111,"nan","nan"
"no",hsc2350,"nan",68,"nan","nan"
"no",hsc2351,"nan",34,"nan","nan"
"no",hsc2352,"nan",25,"nan","nan"
"no",hsc2353,"nan",25,"nan","nan"
"no",hsc2354,"nan",46,"nan","nan"
"no",hsc2355,"nan",25,"nan","nan"
"no",hsc2356,"nan",25,"nan","nan"
"no",hsc2358,"nan",38,"nan","nan"
"no",hsc2359,"nan",430,"nan","nan"
"no",hsc236,"nan",25,"nan","nan"
"no",hsc2361,"nan",44,"nan","nan"
"no",hsc2362,"nan",38,"nan","nan"
"no",hsc2363,"nan",244,"nan","nan"
"no",hsc2364,"nan",33,"nan","nan"
"no",hsc2365,"nan",38,"nan","nan"
"no",hsc2367,"nan",25,"nan","nan"
"no",hsc2368,"nan",25,"nan","nan"
"no",hsc2369,"nan",25,"nan","nan"
"no",hsc2370,"nan",38,"nan","nan"
"no",hsc2372,"nan",25,"nan","nan"
"no",hsc2374,"nan",25,"nan","nan"
"no",hsc2375,"nan",25,"nan","nan"
"no",hsc2376,"nan",48,"nan","nan"
"no",hsc2377,"nan",73,"nan","nan"
"no",hsc2378,"nan",30,"nan","nan"
"no",hsc238,"nan",28,"nan","nan"
"no",hsc2380,"nan",54,"nan","nan"
"no",hsc2381,"nan",25,"nan","nan"
"no",hsc2382,"nan",59,"nan","nan"
"no",hsc2384,"nan",273,"nan","nan"
"no",hsc2386,"nan",69,"nan","nan"
"no",hsc2388,"nan",25,"nan","nan"
"no",hsc2389,"nan",29,"nan","nan"
"no",hsc239,"nan",47,"nan","nan"
"no",hsc2392,"nan",25,"nan","nan"
"no",hsc2393,"nan",25,"nan","nan"
"no",hsc2394,"nan",25,"nan","nan"
"no",hsc2395,"nan",81,"nan","nan"
"no",hsc2396,"nan",25,"nan","nan"
"no",hsc2397,"nan",25,"nan","nan"
"no",hsc2398,"nan",45,"nan","nan"
"no",hsc2399,"nan",25,"nan","nan"
"no",hsc240,"nan",25,"nan","nan"
"no",hsc2401,"nan",40,"nan","nan"
"no",hsc2402,"nan",25,"nan","nan"
"no",hsc2403,"nan",75,"nan","nan"
"no",hsc2404,"nan",76,"nan","nan"
"no",hsc2405,"nan",25,"nan","nan"
"no",hsc2406,"nan",25,"nan","nan"
"no",hsc2408,"nan",115,"nan","nan"
"no",hsc2409,"nan",43,"nan","nan"
"no",hsc2411,"nan",25,"nan","nan"
"no",hsc2412,"nan",29,"nan","nan"
"no",hsc2416,"nan",65,"nan","nan"
"no",hsc2417,"nan",25,"nan","nan"
"no",hsc2418,"nan",25,"nan","nan"
"no",hsc2419,"nan",48,"nan","nan"
"no",hsc242,"nan",62,"nan","nan"
"no",hsc2423,"nan",25,"nan","nan"
"no",hsc2424,"nan",68,"nan","nan"
"no",hsc2425,"nan",25,"nan","nan"
"no",hsc2427,"nan",43,"nan","nan"
"no",hsc2428,"nan",27,"nan","nan"
"no",hsc2429,"nan",60,"nan","nan"
"no",hsc243,"nan",170,"nan","nan"
"no",hsc2430,"nan",25,"nan","nan"
"no",hsc2431,"nan",43,"nan","nan"
"no",hsc2432,"nan",25,"nan","nan"
"no",hsc2433,"nan",55,"nan","nan"
"no",hsc2434,"nan",25,"nan","nan"
"no",hsc2435,"nan",71,"nan","nan"
"no",hsc2437,"nan",25,"nan","nan"
"no",hsc2438,"nan",25,"nan","nan"
"no",hsc2442,"nan",118,"nan","nan"
"no",hsc2443,"nan",25,"nan","nan"
"no",hsc2446,"nan",25,"nan","nan"
"no",hsc2447,"nan",25,"nan","nan"
"no",hsc2449,"nan",49,"nan","nan"
"no",hsc245,"nan",25,"nan","nan"
"no",hsc2450,"nan",25,"nan","nan"
"no",hsc2452,"nan",71,"nan","nan"
"no",hsc2454,"nan",25,"nan","nan"
"no",hsc2458,"nan",25,"nan","nan"
"no",hsc2459,"nan",25,"nan","nan"
"no",hsc2460,"nan",54,"nan","nan"
"no",hsc2461,"nan",33,"nan","nan"
"no",hsc2462,"nan",87,"nan","nan"
"no",hsc2464,"nan",25,"nan","nan"
"no",hsc2468,"nan",210,"nan","nan"
"no",hsc2469,"nan",38,"nan","nan"
"no",hsc2470,"nan",26,"nan","nan"
"no",hsc2471,"nan",25,"nan","nan"
"no",hsc2474,"nan",25,"nan","nan"
"no",hsc2477,"nan",29,"nan","nan"
"no",hsc2478,"nan",45,"nan","nan"
"no",hsc248,"nan",25,"nan","nan"
"no",hsc2481,"nan",25,"nan","nan"
"no",hsc2482,"nan",25,"nan","nan"
"no",hsc2484,"nan",25,"nan","nan"
"no",hsc2486,"nan",25,"nan","nan"
"no",hsc2489,"nan",25,"nan","nan"
"no",hsc249,"nan",47,"nan","nan"
"no",hsc2490,"nan",58,"nan","nan"
"no",hsc2494,"nan",41,"nan","nan"
"no",hsc2495,"nan",25,"nan","nan"
"no",hsc2498,"nan",48,"nan","nan"
"no",hsc2499,"nan",25,"nan","nan"
"no",hsc25,"nan",25,"nan","nan"
"no",hsc250,"nan",30,"nan","nan"
"no",hsc2502,"nan",27,"nan","nan"
"no",hsc2503,"nan",28,"nan","nan"
"no",hsc2504,"nan",25,"nan","nan"
"no",hsc2505,"nan",119,"nan","nan"
"no",hsc2506,"nan",180,"nan","nan"
"no",hsc2507,"nan",25,"nan","nan"
"no",hsc251,"nan",90,"nan","nan"
"no",hsc2511,"nan",25,"nan","nan"
"no",hsc2512,"nan",25,"nan","nan"
"no",hsc2514,"nan",89,"nan","nan"
"no",hsc2515,"nan",25,"nan","nan"
"no",hsc2518,"nan",33,"nan","nan"
"no",hsc2519,"nan",25,"nan","nan"
"no",hsc252,"nan",62,"nan","nan"
"no",hsc2520,"nan",101,"nan","nan"
"no",hsc2521,"nan",25,"nan","nan"
"no",hsc2523,"nan",25,"nan","nan"
"no",hsc2525,"nan",25,"nan","nan"
"no",hsc2526,"nan",29,"nan","nan"
"no",hsc2527,"nan",58,"nan","nan"
"no",hsc2528,"nan",25,"nan","nan"
"no",hsc2529,"nan",25,"nan","nan"
"no",hsc253,"nan",25,"nan","nan"
"no",hsc2531,"nan",25,"nan","nan"
"no",hsc2532,"nan",25,"nan","nan"
"no",hsc2533,"nan",25,"nan","nan"
"no",hsc2534,"nan",25,"nan","nan"
"no",hsc2536,"nan",25,"nan","nan"
"no",hsc2538,"nan",25,"nan","nan"
"no",hsc2539,"nan",206,"nan","nan"
"no",hsc254,"nan",25,"nan","nan"
"no",hsc2540,"nan",41,"nan","nan"
"no",hsc2546,"nan",78,"nan","nan"
"no",hsc2549,"nan",26,"nan","nan"
"no",hsc255,"nan",25,"nan","nan"
"no",hsc2550,"nan",30,"nan","nan"
"no",hsc2551,"nan",31,"nan","nan"
"no",hsc2552,"nan",44,"nan","nan"
"no",hsc2553,"nan",25,"nan","nan"
"no",hsc2554,"nan",25,"nan","nan"
"no",hsc2555,"nan",25,"nan","nan"
"no",hsc2556,"nan",36,"nan","nan"
"no",hsc2557,"nan",70,"nan","nan"
"no",hsc2558,"nan",43,"nan","nan"
"no",hsc2559,"nan",53,"nan","nan"
"no",hsc2561,"nan",85,"nan","nan"
"no",hsc2562,"nan",25,"nan","nan"
"no",hsc2564,"nan",32,"nan","nan"
"no",hsc2565,"nan",25,"nan","nan"
"no",hsc2567,"nan",25,"nan","nan"
"no",hsc2568,"nan",25,"nan","nan"
"no",hsc2569,"nan",31,"nan","nan"
"no",hsc257,"nan",25,"nan","nan"
"no",hsc2570,"nan",25,"nan","nan"
"no",hsc2571,"nan",25,"nan","nan"
"no",hsc2575,"nan",187,"nan","nan"
"no",hsc2576,"nan",198,"nan","nan"
"no",hsc2578,"nan",35,"nan","nan"
"no",hsc2579,"nan",56,"nan","nan"
"no",hsc258,"nan",49,"nan","nan"
"no",hsc2580,"nan",29,"nan","nan"
"no",hsc2581,"nan",47,"nan","nan"
"no",hsc2582,"nan",25,"nan","nan"
"no",hsc2583,"nan",25,"nan","nan"
"no",hsc2584,"nan",48,"nan","nan"
"no",hsc2585,"nan",70,"nan","nan"
"no",hsc2586,"nan",25,"nan","nan"
"no",hsc2587,"nan",25,"nan","nan"
"no",hsc2590,"nan",25,"nan","nan"
"no",hsc2592,"nan",36,"nan","nan"
"no",hsc2594,"nan",25,"nan","nan"
"no",hsc2595,"nan",67,"nan","nan"
"no",hsc2596,"nan",25,"nan","nan"
"no",hsc2598,"nan",29,"nan","nan"
"no",hsc2599,"nan",34,"nan","nan"
"no",hsc26,"nan",110,"nan","nan"
"no",hsc2600,"nan",36,"nan","nan"
"no",hsc2601,"nan",25,"nan","nan"
"no",hsc2602,"nan",55,"nan","nan"
"no",hsc2603,"nan",26,"nan","nan"
"no",hsc2604,"nan",36,"nan","nan"
"no",hsc2605,"nan",25,"nan","nan"
"no",hsc2607,"nan",70,"nan","nan"
"no",hsc2609,"nan",28,"nan","nan"
"no",hsc261,"nan",55,"nan","nan"
"no",hsc2610,"nan",25,"nan","nan"
"no",hsc2611,"nan",72,"nan","nan"
"no",hsc2612,"nan",143,"nan","nan"
"no",hsc2615,"nan",25,"nan","nan"
"no",hsc2616,"nan",25,"nan","nan"
"no",hsc2617,"nan",25,"nan","nan"
"no",hsc2618,"nan",25,"nan","nan"
"no",hsc2619,"nan",25,"nan","nan"
"no",hsc262,"nan",69,"nan","nan"
"no",hsc2620,"nan",50,"nan","nan"
"no",hsc2621,"nan",25,"nan","nan"
"no",hsc2622,"nan",25,"nan","nan"
"no",hsc2625,"nan",25,"nan","nan"
"no",hsc2626,"nan",25,"nan","nan"
"no",hsc2627,"nan",36,"nan","nan"
"no",hsc2629,"nan",30,"nan","nan"
"no",hsc263,"nan",41,"nan","nan"
"no",hsc2630,"nan",29,"nan","nan"
"no",hsc2631,"nan",25,"nan","nan"
"no",hsc2632,"nan",25,"nan","nan"
"no",hsc2634,"nan",33,"nan","nan"
"no",hsc2635,"nan",47,"nan","nan"
"no",hsc2636,"nan",284,"nan","nan"
"no",hsc2637,"nan",29,"nan","nan"
"no",hsc2638,"nan",25,"nan","nan"
"no",hsc2639,"nan",247,"nan","nan"
"no",hsc264,"nan",25,"nan","nan"
"no",hsc2640,"nan",25,"nan","nan"
"no",hsc2641,"nan",25,"nan","nan"
"no",hsc2642,"nan",94,"nan","nan"
"no",hsc2643,"nan",25,"nan","nan"
"no",hsc2644,"nan",25,"nan","nan"
"no",hsc2645,"nan",45,"nan","nan"
"no",hsc2646,"nan",49,"nan","nan"
"no",hsc2647,"nan",25,"nan","nan"
"no",hsc2648,"nan",25,"nan","nan"
"no",hsc2649,"nan",28,"nan","nan"
"no",hsc265,"nan",34,"nan","nan"
"no",hsc2651,"nan",25,"nan","nan"
"no",hsc2653,"nan",25,"nan","nan"
"no",hsc2654,"nan",31,"nan","nan"
"no",hsc2655,"nan",84,"nan","nan"
"no",hsc2656,"nan",25,"nan","nan"
"no",hsc2657,"nan",64,"nan","nan"
"no",hsc2658,"nan",25,"nan","nan"
"no",hsc2659,"nan",39,"nan","nan"
"no",hsc266,"nan",125,"nan","nan"
"no",hsc2660,"nan",25,"nan","nan"
"no",hsc2661,"nan",154,"nan","nan"
"no",hsc2662,"nan",25,"nan","nan"
"no",hsc2664,"nan",26,"nan","nan"
"no",hsc2666,"nan",25,"nan","nan"
"no",hsc2667,"nan",996,"nan","nan"
"no",hsc2668,"nan",28,"nan","nan"
"no",hsc2669,"nan",25,"nan","nan"
"no",hsc267,"nan",47,"nan","nan"
"no",hsc2672,"nan",25,"nan","nan"
"no",hsc2673,"nan",25,"nan","nan"
"no",hsc2674,"nan",25,"nan","nan"
"no",hsc2675,"nan",25,"nan","nan"
"no",hsc2676,"nan",25,"nan","nan"
"no",hsc2678,"nan",25,"nan","nan"
"no",hsc2679,"nan",29,"nan","nan"
"no",hsc268,"nan",85,"nan","nan"
"no",hsc2680,"nan",25,"nan","nan"
"no",hsc2681,"nan",49,"nan","nan"
"no",hsc2682,"nan",55,"nan","nan"
"no",hsc2683,"nan",25,"nan","nan"
"no",hsc2684,"nan",25,"nan","nan"
"no",hsc2686,"nan",25,"nan","nan"
"no",hsc2687,"nan",29,"nan","nan"
"no",hsc2688,"nan",25,"nan","nan"
"no",hsc2689,"nan",33,"nan","nan"
"no",hsc269,"nan",25,"nan","nan"
"no",hsc2690,"nan",25,"nan","nan"
"no",hsc2691,"nan",44,"nan","nan"
"no",hsc2692,"nan",25,"nan","nan"
"no",hsc2693,"nan",29,"nan","nan"
"no",hsc2695,"nan",25,"nan","nan"
"no",hsc2696,"nan",25,"nan","nan"
"no",hsc2698,"nan",41,"nan","nan"
"no",hsc27,"nan",25,"nan","nan"
"no",hsc2701,"nan",25,"nan","nan"
"no",hsc2702,"nan",25,"nan","nan"
"no",hsc2703,"nan",111,"nan","nan"
"no",hsc2704,"nan",25,"nan","nan"
"no",hsc2705,"nan",48,"nan","nan"
"no",hsc2706,"nan",47,"nan","nan"
"no",hsc2708,"nan",25,"nan","nan"
"no",hsc2709,"nan",25,"nan","nan"
"no",hsc271,"nan",58,"nan","nan"
"no",hsc2710,"nan",25,"nan","nan"
"no",hsc2711,"nan",34,"nan","nan"
"no",hsc2712,"nan",29,"nan","nan"
"no",hsc2713,"nan",25,"nan","nan"
"no",hsc2714,"nan",29,"nan","nan"
"no",hsc2715,"nan",25,"nan","nan"
"no",hsc2716,"nan",25,"nan","nan"
"no",hsc2717,"nan",57,"nan","nan"
"no",hsc2718,"nan",80,"nan","nan"
"no",hsc2719,"nan",53,"nan","nan"
"no",hsc272,"nan",86,"nan","nan"
"no",hsc2720,"nan",29,"nan","nan"
"no",hsc2721,"nan",25,"nan","nan"
"no",hsc2722,"nan",25,"nan","nan"
"no",hsc2723,"nan",25,"nan","nan"
"no",hsc2724,"nan",25,"nan","nan"
"no",hsc2725,"nan",25,"nan","nan"
"no",hsc2726,"nan",25,"nan","nan"
"no",hsc2727,"nan",25,"nan","nan"
"no",hsc2728,"nan",25,"nan","nan"
"no",hsc2729,"nan",32,"nan","nan"
"no",hsc273,"nan",104,"nan","nan"
"no",hsc2730,"nan",25,"nan","nan"
"no",hsc2731,"nan",47,"nan","nan"
"no",hsc2732,"nan",59,"nan","nan"
"no",hsc2733,"nan",165,"nan","nan"
"no",hsc2737,"nan",44,"nan","nan"
"no",hsc2739,"nan",42,"nan","nan"
"no",hsc2740,"nan",55,"nan","nan"
"no",hsc2741,"nan",25,"nan","nan"
"no",hsc2743,"nan",25,"nan","nan"
"no",hsc2744,"nan",25,"nan","nan"
"no",hsc2745,"nan",40,"nan","nan"
"no",hsc2746,"nan",80,"nan","nan"
"no",hsc2747,"nan",28,"nan","nan"
"no",hsc2748,"nan",67,"nan","nan"
"no",hsc2749,"nan",25,"nan","nan"
"no",hsc2750,"nan",25,"nan","nan"
"no",hsc2751,"nan",25,"nan","nan"
"no",hsc2752,"nan",25,"nan","nan"
"no",hsc2754,"nan",25,"nan","nan"
"no",hsc2759,"nan",25,"nan","nan"
"no",hsc276,"nan",64,"nan","nan"
"no",hsc2760,"nan",45,"nan","nan"
"no",hsc2761,"nan",147,"nan","nan"
"no",hsc2762,"nan",25,"nan","nan"
"no",hsc2763,"nan",25,"nan","nan"
"no",hsc2764,"nan",77,"nan","nan"
"no",hsc2765,"nan",67,"nan","nan"
"no",hsc2767,"nan",25,"nan","nan"
"no",hsc2768,"nan",25,"nan","nan"
"no",hsc2769,"nan",35,"nan","nan"
"no",hsc277,"nan",25,"nan","nan"
"no",hsc2770,"nan",25,"nan","nan"
"no",hsc2771,"nan",34,"nan","nan"
"no",hsc2773,"nan",28,"nan","nan"
"no",hsc2774,"nan",25,"nan","nan"
"no",hsc2776,"nan",112,"nan","nan"
"no",hsc2777,"nan",25,"nan","nan"
"no",hsc2778,"nan",25,"nan","nan"
"no",hsc2779,"nan",34,"nan","nan"
"no",hsc278,"nan",25,"nan","nan"
"no",hsc2780,"nan",41,"nan","nan"
"no",hsc2781,"nan",25,"nan","nan"
"no",hsc2782,"nan",26,"nan","nan"
"no",hsc2784,"nan",33,"nan","nan"
"no",hsc2785,"nan",223,"nan","nan"
"no",hsc2787,"nan",26,"nan","nan"
"no",hsc2788,"nan",25,"nan","nan"
"no",hsc2789,"nan",25,"nan","nan"
"no",hsc279,"nan",47,"nan","nan"
"no",hsc2790,"nan",25,"nan","nan"
"no",hsc2791,"nan",25,"nan","nan"
"no",hsc2792,"nan",25,"nan","nan"
"no",hsc2793,"nan",25,"nan","nan"
"no",hsc2794,"nan",27,"nan","nan"
"no",hsc2795,"nan",25,"nan","nan"
"no",hsc2796,"nan",58,"nan","nan"
"no",hsc2798,"nan",81,"nan","nan"
"no",hsc2799,"nan",25,"nan","nan"
"no",hsc280,"nan",1000,"nan","nan"
"no",hsc2800,"nan",36,"nan","nan"
"no",hsc2801,"nan",75,"nan","nan"
"no",hsc2802,"nan",31,"nan","nan"
"no",hsc2808,"nan",25,"nan","nan"
"no",hsc281,"nan",63,"nan","nan"
"no",hsc2810,"nan",72,"nan","nan"
"no",hsc2813,"nan",36,"nan","nan"
"no",hsc2814,"nan",31,"nan","nan"
"no",hsc2815,"nan",25,"nan","nan"
"no",hsc2816,"nan",76,"nan","nan"
"no",hsc2817,"nan",34,"nan","nan"
"no",hsc2818,"nan",25,"nan","nan"
"no",hsc2819,"nan",37,"nan","nan"
"no",hsc282,"nan",25,"nan","nan"
"no",hsc2820,"nan",25,"nan","nan"
"no",hsc2821,"nan",25,"nan","nan"
"no",hsc2823,"nan",25,"nan","nan"
"no",hsc2824,"nan",157,"nan","nan"
"no",hsc2825,"nan",25,"nan","nan"
"no",hsc2826,"nan",25,"nan","nan"
"no",hsc2827,"nan",34,"nan","nan"
"no",hsc2829,"nan",44,"nan","nan"
"no",hsc283,"nan",34,"nan","nan"
"no",hsc2830,"nan",42,"nan","nan"
"no",hsc2831,"nan",32,"nan","nan"
"no",hsc2832,"nan",39,"nan","nan"
"no",hsc2833,"nan",272,"nan","nan"
"no",hsc2836,"nan",51,"nan","nan"
"no",hsc2837,"nan",25,"nan","nan"
"no",hsc284,"nan",67,"nan","nan"
"no",hsc2842,"nan",43,"nan","nan"
"no",hsc2847,"nan",25,"nan","nan"
"no",hsc2848,"nan",25,"nan","nan"
"no",hsc2849,"nan",25,"nan","nan"
"no",hsc285,"nan",49,"nan","nan"
"no",hsc2850,"nan",47,"nan","nan"
"no",hsc2851,"nan",25,"nan","nan"
"no",hsc2853,"nan",25,"nan","nan"
"no",hsc2854,"nan",29,"nan","nan"
"no",hsc2855,"nan",25,"nan","nan"
"no",hsc2856,"nan",25,"nan","nan"
"no",hsc2858,"nan",73,"nan","nan"
"no",hsc2860,"nan",108,"nan","nan"
"no",hsc2861,"nan",31,"nan","nan"
"no",hsc2862,"nan",139,"nan","nan"
"no",hsc2863,"nan",25,"nan","nan"
"no",hsc2864,"nan",134,"nan","nan"
"no",hsc2865,"nan",141,"nan","nan"
"no",hsc2866,"nan",135,"nan","nan"
"no",hsc2867,"nan",46,"nan","nan"
"no",hsc2868,"nan",37,"nan","nan"
"no",hsc2869,"nan",66,"nan","nan"
"no",hsc287,"nan",1000,"nan","nan"
"no",hsc2870,"nan",38,"nan","nan"
"no",hsc2871,"nan",25,"nan","nan"
"no",hsc2872,"nan",25,"nan","nan"
"no",hsc2874,"nan",41,"nan","nan"
"no",hsc2876,"nan",61,"nan","nan"
"no",hsc2877,"nan",29,"nan","nan"
"no",hsc2878,"nan",766,"nan","nan"
"no",hsc2879,"nan",1000,"nan","nan"
"no",hsc2880,"nan",25,"nan","nan"
"no",hsc2881,"nan",25,"nan","nan"
"no",hsc2882,"nan",25,"nan","nan"
"no",hsc2885,"nan",27,"nan","nan"
"no",hsc2886,"nan",32,"nan","nan"
"no",hsc2889,"nan",25,"nan","nan"
"no",hsc289,"nan",25,"nan","nan"
"no",hsc2893,"nan",25,"nan","nan"
"no",hsc2894,"nan",42,"nan","nan"
"no",hsc2895,"nan",25,"nan","nan"
"no",hsc2897,"nan",25,"nan","nan"
"no",hsc2898,"nan",25,"nan","nan"
"no",hsc2899,"nan",147,"nan","nan"
"no",hsc290,"nan",586,"nan","nan"
"no",hsc2900,"nan",25,"nan","nan"
"no",hsc2901,"nan",25,"nan","nan"
"no",hsc2902,"nan",63,"nan","nan"
"no",hsc2903,"nan",25,"nan","nan"
"no",hsc2904,"nan",28,"nan","nan"
"no",hsc2905,"nan",25,"nan","nan"
"no",hsc2906,"nan",25,"nan","nan"
"no",hsc2907,"nan",349,"nan","nan"
"no",hsc2908,"nan",25,"nan","nan"
"no",hsc2909,"nan",25,"nan","nan"
"no",hsc291,"nan",29,"nan","nan"
"no",hsc2910,"nan",63,"nan","nan"
"no",hsc2911,"nan",146,"nan","nan"
"no",hsc2912,"nan",25,"nan","nan"
"no",hsc2913,"nan",60,"nan","nan"
"no",hsc2914,"nan",33,"nan","nan"
"no",hsc2915,"nan",25,"nan","nan"
"no",hsc2916,"nan",25,"nan","nan"
"no",hsc2917,"nan",25,"nan","nan"
"no",hsc2918,"nan",25,"nan","nan"
"no",hsc2919,"nan",175,"nan","nan"
"no",hsc2920,"nan",25,"nan","nan"
"no",hsc2921,"nan",49,"nan","nan"
"no",hsc2924,"nan",25,"nan","nan"
"no",hsc2925,"nan",25,"nan","nan"
"no",hsc2926,"nan",25,"nan","nan"
"no",hsc2928,"nan",42,"nan","nan"
"no",hsc2929,"nan",32,"nan","nan"
"no",hsc2930,"nan",72,"nan","nan"
"no",hsc2931,"nan",40,"nan","nan"
"no",hsc2932,"nan",26,"nan","nan"
"no",hsc2934,"nan",45,"nan","nan"
"no",hsc2935,"nan",28,"nan","nan"
"no",hsc2936,"nan",25,"nan","nan"
"no",hsc2938,"nan",163,"nan","nan"
"no",hsc2939,"nan",206,"nan","nan"
"no",hsc294,"nan",35,"nan","nan"
"no",hsc2943,"nan",32,"nan","nan"
"no",hsc2944,"nan",25,"nan","nan"
"no",hsc2945,"nan",53,"nan","nan"
"no",hsc2946,"nan",45,"nan","nan"
"no",hsc2947,"nan",28,"nan","nan"
"no",hsc295,"nan",83,"nan","nan"
"no",hsc2950,"nan",242,"nan","nan"
"no",hsc2951,"nan",25,"nan","nan"
"no",hsc2952,"nan",25,"nan","nan"
"no",hsc2956,"nan",25,"nan","nan"
"no",hsc2957,"nan",25,"nan","nan"
"no",hsc2958,"nan",29,"nan","nan"
"no",hsc2959,"nan",32,"nan","nan"
"no",hsc296,"nan",25,"nan","nan"
"no",hsc2960,"nan",25,"nan","nan"
"no",hsc2961,"nan",51,"nan","nan"
"no",hsc2962,"nan",25,"nan","nan"
"no",hsc2963,"nan",35,"nan","nan"
"no",hsc2964,"nan",25,"nan","nan"
"no",hsc2966,"nan",64,"nan","nan"
"no",hsc2967,"nan",29,"nan","nan"
"no",hsc297,"nan",25,"nan","nan"
