"fnames","Names"
"ascc123;mwsc3654;ocsn134","ASCC 123;MWSC 3654;OCSN 134"
"ascc125;fsr0409;mwsc3677","ASCC 125;FSR 0409;MWSC 3677"
"ascc126;mwsc3699","ASCC 126;MWSC 3699"
"ascc127;mwsc3704;ocsn135","ASCC 127;MWSC 3704;OCSN 135"
"ascc128;mwsc3720","ASCC 128;MWSC 3720"
"ascc13;mwsc486;lisc3480","ASCC 13;MWSC 486;LISC 3480"
"ascc130;mwsc3768","ASCC 130;MWSC 3768"
"ascc14;mwsc507","ASCC 14;MWSC 507"
"ascc15;mwsc514","ASCC 15;MWSC 514"
"ascc16;mwsc531;fof2367;ocsn127","ASCC 16;MWSC 531;FoF 2367;OCSN 127"
"ascc17;mwsc534","ASCC 17;MWSC 534"
"ascc18;mwsc541","ASCC 18;MWSC 541"
"ascc19;mwsc547;fof2372;ocsn128","ASCC 19;MWSC 547;FoF 2372;OCSN 128"
"ascc2;mwsc31","ASCC 2;MWSC 31"
"ascc20;mwsc556","ASCC 20;MWSC 556"
"ascc21;ocsn129","ASCC 21;OCSN 129"
"ascc23;fsr0746;kpr200523;mwsc839;ferrero16;fof2366;lisc3507","ASCC 23;FSR 0746;KPR2005 23;MWSC 839;Ferrero 16;FoF 2366;LISC 3507"
"ascc24;alessi47;mwsc875","ASCC 24;Alessi 47;MWSC 875"
"ascc25;mwsc977","ASCC 25;MWSC 977"
"ascc26;mwsc995","ASCC 26;MWSC 995"
"ascc27;mwsc1009","ASCC 27;MWSC 1009"
"ascc28;mwsc1011","ASCC 28;MWSC 1011"
"ascc29;mwsc1013;lisc3428","ASCC 29;MWSC 1013;LISC 3428"
"ascc3;mwsc54","ASCC 3;MWSC 54"
"ascc30;mwsc1028;alessi35","ASCC 30;MWSC 1028;Alessi 35"
"ascc31;mwsc1066","ASCC 31;MWSC 1066"
"ascc33;mwsc1077","ASCC 33;MWSC 1077"
"ascc34;mwsc1134","ASCC 34;MWSC 1134"
"ascc35;mwsc1141","ASCC 35;MWSC 1141"
"ascc36;mwsc1151","ASCC 36;MWSC 1151"
"ascc37;mwsc1169","ASCC 37;MWSC 1169"
"ascc38;mwsc1227","ASCC 38;MWSC 1227"
"ascc39;mwsc1261","ASCC 39;MWSC 1261"
"ascc4;mwsc87","ASCC 4;MWSC 87"
"ascc40;mwsc1266","ASCC 40;MWSC 1266"
"ascc43;mwsc1374","ASCC 43;MWSC 1374"
"ascc45;mwsc1460","ASCC 45;MWSC 1460"
"ascc46;mwsc1463","ASCC 46;MWSC 1463"
"ascc48;mwsc1506","ASCC 48;MWSC 1506"
"ascc5;mwsc93","ASCC 5;MWSC 93"
"ascc51;mwsc1647","ASCC 51;MWSC 1647"
"ascc52;mwsc1672","ASCC 52;MWSC 1672"
"ascc53;mwsc1697","ASCC 53;MWSC 1697"
"ascc54;mwsc1709","ASCC 54;MWSC 1709"
"ascc55;mwsc1724","ASCC 55;MWSC 1724"
"ascc56;mwsc1772","ASCC 56;MWSC 1772"
"ascc57;mwsc1776","ASCC 57;MWSC 1776"
"ascc58;mwsc1782;fof2414;ocsn131","ASCC 58;MWSC 1782;FoF 2414;OCSN 131"
"ascc59;mwsc1793","ASCC 59;MWSC 1793"
"ascc6;mwsc141;fof2074","ASCC 6;MWSC 141;FoF 2074"
"ascc60;mwsc1823","ASCC 60;MWSC 1823"
"ascc61;mwsc1853","ASCC 61;MWSC 1853"
"ascc62;mwsc1859","ASCC 62;MWSC 1859"
"ascc63;mwsc1869","ASCC 63;MWSC 1869"
"ascc64;mwsc1884","ASCC 64;MWSC 1884"
"ascc65;mwsc1909","ASCC 65;MWSC 1909"
"ascc66;mwsc1922","ASCC 66;MWSC 1922"
"ascc67;mwsc1963;fof2151","ASCC 67;MWSC 1963;FoF 2151"
"ascc69;mwsc1996","ASCC 69;MWSC 1996"
"ascc7;mwsc156","ASCC 7;MWSC 156"
"ascc70;mwsc2010;alessi38","ASCC 70;MWSC 2010;Alessi 38"
"ascc71;mwsc2016","ASCC 71;MWSC 2016"
"ascc72","ASCC 72"
"ascc73;mwsc2053","ASCC 73;MWSC 2053"
"ascc74;mwsc2140","ASCC 74;MWSC 2140"
"ascc75;mwsc2163","ASCC 75;MWSC 2163"
"ascc76;mwsc2171","ASCC 76;MWSC 2171"
"ascc77;ferrero15;mwsc2205;fof2223;lp2223;fof2310","ASCC 77;Ferrero 15;MWSC 2205;FoF 2223;LP 2223;FoF 2310"
"ascc78;mwsc2270","ASCC 78;MWSC 2270"
"ascc79;mwsc2288;alessi25","ASCC 79;MWSC 2288;Alessi 25"
"ascc8;mwsc180","ASCC 8;MWSC 180"
"ascc80;mwsc2290","ASCC 80;MWSC 2290"
"ascc81;mwsc2319","ASCC 81;MWSC 2319"
"ascc82;mwsc2320","ASCC 82;MWSC 2320"
"ascc83;mwsc2325;alessij155025248","ASCC 83;MWSC 2325;Alessi J1550.2-5248"
"ascc84;mwsc2333","ASCC 84;MWSC 2333"
"ascc85;mwsc2465","ASCC 85;MWSC 2465"
"ascc87;mwsc2520","ASCC 87;MWSC 2520"
"ascc88;mwsc2536;fof2334","ASCC 88;MWSC 2536;FoF 2334"
"ascc9;mwsc228","ASCC 9;MWSC 228"
"ascc90;mwsc2655;alessi41","ASCC 90;MWSC 2655;Alessi 41"
"ascc91;mwsc2702","ASCC 91;MWSC 2702"
"ascc93;mwsc2814","ASCC 93;MWSC 2814"
