"Name","Type"
"CWNU_1684           ","o"
"CWNU_1685           ","o"
"CWNU_1694           ","o"
"CWNU_1697           ","o"
"CWNU_1702           ","o"
"CWNU_1703           ","o"
"CWNU_1704           ","o"
"CWNU_1706           ","o"
"CWNU_1707           ","o"
"CWNU_1712           ","o"
"CWNU_1714           ","o"
"CWNU_1715           ","o"
"CWNU_1717           ","o"
"CWNU_1718           ","o"
"CWNU_1719           ","o"
"CWNU_1720           ","o"
"CWNU_1722           ","o"
"CWNU_1726           ","o"
"CWNU_1730           ","o"
"CWNU_1733           ","o"
"CWNU_1734           ","o"
"CWNU_1746           ","o"
"CWNU_1749           ","o"
"CWNU_1752           ","o"
"CWNU_1753           ","o"
"CWNU_1755           ","o"
"CWNU_1756           ","o"
"CWNU_1757           ","o"
"CWNU_1758           ","o"
"CWNU_1759           ","o"
"CWNU_1760           ","o"
"CWNU_1761           ","o"
"CWNU_1762           ","o"
"CWNU_1767           ","o"
"CWNU_1768           ","o"
"CWNU_1769           ","o"
"CWNU_1773           ","o"
"CWNU_1774           ","o"
"CWNU_1777           ","o"
"CWNU_1780           ","o"
"CWNU_1785           ","o"
"CWNU_1787           ","o"
"CWNU_1789           ","o"
"CWNU_1790           ","o"
"CWNU_1791           ","o"
"CWNU_1797           ","o"
"CWNU_1799           ","o"
"CWNU_1800           ","o"
"CWNU_1801           ","o"
"CWNU_1803           ","o"
"CWNU_1804           ","o"
"CWNU_1806           ","o"
"CWNU_1807           ","o"
"CWNU_1810           ","o"
"CWNU_1813           ","o"
"CWNU_1814           ","o"
"CWNU_1816           ","o"
"CWNU_1818           ","o"
"CWNU_1819           ","o"
"CWNU_1821           ","o"
"CWNU_1824           ","o"
"CWNU_1826           ","o"
"CWNU_1832           ","o"
"CWNU_1833           ","o"
"CWNU_1836           ","o"
"CWNU_1841           ","o"
"CWNU_1842           ","o"
"CWNU_1843           ","o"
"CWNU_1844           ","o"
"CWNU_1845           ","o"
"CWNU_1847           ","o"
"CWNU_1849           ","o"
"CWNU_1851           ","o"
"CWNU_1857           ","o"
"CWNU_1860           ","o"
"CWNU_1863           ","o"
"CWNU_1866           ","o"
"CWNU_1867           ","o"
"CWNU_1870           ","o"
"CWNU_1882           ","o"
"CWNU_1885           ","o"
