"ID","RAdeg","e_RAdeg","DEdeg","e_DEdeg","GLON","e_GLON","GLAT","e_GLAT","Num","NCore","plx","e_plx","pmRA","e_pmRA","pmDE","e_pmDE","m-M","A0","logA","RVel","e_Rvel","o_Rvel","Type"
"CWNU 3872",209.8862,0.061,-61.3785,0.011,310.9948,0.03,0.4231,0.017,122,43,0.29,0.039,-5.212,0.132,-1.866,0.12,12.45,5.5,6.7,"nan","nan",0,1
"CWNU 3873",128.3187,0.088,-42.5409,0.032,261.219,0.038,-1.5145,0.049,235,61,0.156,0.051,-2.556,0.146,3.001,0.145,13.65,4.05,8.5,92.74,8.11,1,1
"CWNU 3874",115.4495,0.011,-30.6672,0.012,245.6611,0.005,-3.7677,0.014,53,15,0.113,0.041,-1.04,0.056,2.01,0.059,14.3,1.3,8.6,"nan","nan",0,1
"FSR 0222",305.0447,0.04,40.8004,0.034,78.3764,0.031,2.4963,0.017,76,44,0.304,0.037,-2.248,0.108,-4.837,0.117,12.75,7.25,8.2,-23.2,1.56,5,1
"CWNU 3875",274.1497,0.071,-15.7189,0.101,15.012,0.086,0.3606,0.076,342,129,0.256,0.095,-0.155,0.138,-1.558,0.103,13.85,6.65,6.7,11.7,4.57,5,1
"CWNU 3876",121.7929,0.061,-41.3026,0.047,257.436,0.042,-4.8144,0.061,88,32,0.069,0.043,-1.351,0.061,2.184,0.08,15.2,2.6,6.7,112.74,47.74,2,1
"CWNU 3877",122.4755,0.125,-21.852,0.175,241.3596,0.195,6.1924,0.038,171,48,0.18,0.058,-1.744,0.09,1.778,0.198,13.8,0.35,9.3,107.77,2.04,3,1
"CWNU 3878",171.2307,0.026,-60.4018,0.016,292.4387,0.014,0.6927,0.016,65,16,0.156,0.024,-6.374,0.054,1.708,0.034,15.1,2.7,6.5,"nan","nan",0,1
"CWNU 3879",104.6446,0.052,-1.3117,0.045,214.9171,0.05,0.9843,0.056,78,30,0.214,0.075,-0.124,0.077,0.401,0.146,12.85,1.45,8.8,71.94,33.97,3,1
"CWNU 3880",297.1518,0.076,30.899,0.156,66.5838,0.145,2.6218,0.056,250,86,0.068,0.052,-2.087,0.069,-3.678,0.101,14.5,2.95,8.9,-101.11,23.89,2,1
"CWNU 3881",318.3132,0.023,46.5478,0.016,88.8435,0.014,-1.371,0.022,57,23,0.246,0.042,-2.43,0.084,-3.643,0.044,13.45,3.7,8.3,-41.06,2.69,1,1
"CWNU 3882",166.0849,0.03,-61.7552,0.011,290.62,0.013,-1.4713,0.013,81,50,0.132,0.041,-5.869,0.094,2.282,0.064,14.15,6.35,7.0,38.22,11.32,6,1
"CWNU 3883",320.6341,0.073,51.7453,0.102,93.6188,0.073,1.1691,0.066,150,66,0.187,0.045,-2.735,0.255,-3.174,0.199,13.2,4.2,8.0,-59.11,0.31,1,1
"CWNU 3884",131.8364,0.162,-51.6979,0.097,269.9444,0.091,-5.2039,0.081,740,215,0.087,0.071,-2.446,0.283,3.014,0.249,14.95,2.1,9.0,81.43,38.12,4,1
"CWNU 3885",202.0941,0.164,-65.5343,0.039,306.7438,0.066,-2.9392,0.032,127,15,0.189,0.03,-6.886,0.089,-1.167,0.231,13.65,1.7,9.4,-11.91,0.37,1,1
"CWNU 3886",276.9103,0.068,-18.1362,0.088,14.1383,0.107,-3.1041,0.034,97,33,0.08,0.052,-2.327,0.101,-5.042,0.131,13.75,3.0,9.3,140.56,92.25,3,1
"CWNU 3887",303.0522,0.012,40.3633,0.012,77.1718,0.01,3.5106,0.006,46,19,0.085,0.033,-2.101,0.128,-3.423,0.184,16.05,4.45,8.8,-106.46,3.41,1,1
"CWNU 3888",310.473,0.073,43.449,0.067,82.8935,0.074,0.8092,0.051,145,38,0.282,0.051,-2.461,0.082,-4.188,0.082,13.2,6.65,6.8,"nan","nan",0,1
"CWNU 3889",206.1426,0.074,-64.7241,0.048,308.5689,0.038,-2.4376,0.039,88,30,0.114,0.02,-5.948,0.202,-1.709,0.159,14.35,2.6,8.7,"nan","nan",0,1
"CWNU 3890",98.7159,0.021,6.6697,0.015,205.1092,0.012,-0.6272,0.015,37,17,0.199,0.066,-0.076,0.098,0.271,0.115,14.05,3.1,7.2,"nan","nan",0,1
"CWNU 3891",92.2112,0.017,13.8999,0.028,195.7161,0.022,-2.8721,0.013,43,18,0.178,0.032,0.307,0.045,-0.525,0.095,13.85,3.0,8.2,"nan","nan",0,1
"Juchert 11",56.8427,0.037,53.9136,0.023,147.081,0.024,-0.5001,0.021,80,55,0.225,0.155,1.555,0.168,-0.362,0.169,13.1,6.4,8.6,-9.98,2.31,1,1
"CWNU 3892",274.1087,0.033,-8.1538,0.024,21.6714,0.03,3.9802,0.03,86,17,0.129,0.096,-2.892,0.212,-5.454,0.181,16.0,4.4,8.9,"nan","nan",0,1
"CWNU 3893",339.7102,0.119,49.4002,0.055,101.8639,0.072,-7.9983,0.042,82,36,0.24,0.048,-1.871,0.223,-2.305,0.262,13.6,0.25,9.3,-37.23,3.17,1,1
"CWNU 3894",115.8435,0.024,-18.2893,0.029,235.0755,0.026,2.6752,0.038,133,29,0.218,0.052,-1.544,0.062,1.995,0.106,12.85,1.35,8.6,51.87,3.97,1,1
"CWNU 3895",320.7014,0.074,57.1409,0.079,97.4564,0.087,4.9768,0.056,161,50,0.133,0.058,-2.34,0.16,-2.049,0.148,13.7,2.7,9.3,-100.69,1.66,3,1
"CWNU 3896",145.1604,0.026,-53.6868,0.02,276.9505,0.019,-0.7289,0.015,101,28,0.086,0.059,-4.536,0.068,3.723,0.075,15.8,5.1,7.2,93.27,0.65,1,1
"CWNU 3897",151.2097,0.242,-58.5483,0.117,282.6562,0.138,-2.3997,0.159,215,71,0.388,0.024,-7.929,0.095,4.291,0.149,12.15,2.15,6.8,-36.71,3.63,1,1
"CWNU 3898",61.8732,0.079,54.0806,0.071,149.2362,0.05,1.5283,0.065,281,68,0.184,0.061,-0.006,0.147,0.075,0.201,13.7,3.5,7.4,"nan","nan",0,1
"CWNU 3899",77.4643,0.118,41.9904,0.083,165.1201,0.115,1.2491,0.09,161,55,0.179,0.063,0.274,0.098,-0.49,0.096,13.0,0.95,7.7,"nan","nan",0,1
"CWNU 3900",152.5804,0.148,-49.2378,0.065,277.8271,0.091,5.6283,0.084,273,53,0.153,0.038,-4.7,0.173,2.831,0.147,13.45,0.7,9.6,58.64,45.84,2,1
"CWNU 3901",61.8032,0.069,55.0099,0.054,148.5627,0.052,2.1994,0.031,61,23,0.17,0.046,-0.168,0.123,-0.265,0.079,13.7,5.35,6.5,"nan","nan",0,1
"CWNU 3902",190.349,0.032,-62.1836,0.011,301.7615,0.015,0.6638,0.012,43,19,0.303,0.064,-6.816,0.072,-0.438,0.054,12.15,5.45,8.7,-32.24,1.31,2,1
"CWNU 3903",298.2642,0.047,21.226,0.075,58.7598,0.037,-3.1728,0.074,107,41,0.12,0.062,-2.845,0.112,-4.861,0.163,14.15,1.8,9.6,"nan","nan",0,1
"CWNU 3904",258.8071,0.043,-40.1851,0.051,347.1765,0.048,-0.9809,0.056,157,44,0.291,0.043,-0.822,0.079,-3.061,0.081,12.15,5.3,8.1,-9.05,8.55,2,1
"CWNU 3905",116.2791,0.061,-28.6355,0.077,244.2451,0.067,-2.1329,0.055,102,27,0.226,0.027,-2.272,0.101,3.534,0.07,12.9,2.15,7.7,64.52,2.01,1,1
"CWNU 3906",298.8601,0.072,36.2461,0.039,71.9234,0.049,4.1063,0.056,348,55,0.074,0.021,-2.354,0.122,-3.872,0.133,15.05,1.2,9.4,"nan","nan",0,1
"CWNU 3907",128.998,0.057,-46.2656,0.067,264.4915,0.057,-3.3605,0.046,109,31,0.172,0.042,-3.119,0.131,3.925,0.085,13.7,2.5,8.7,72.22,31.08,2,1
"CWNU 3908",132.3415,0.123,-53.0724,0.068,271.2077,0.07,-5.7881,0.045,205,75,0.072,0.041,-2.334,0.183,2.978,0.179,14.95,1.8,9.0,99.31,40.74,4,1
"CWNU 3909",202.8503,0.09,-63.9336,0.051,307.3001,0.044,-1.408,0.053,150,48,0.158,0.055,-6.674,0.102,-1.21,0.065,14.25,3.0,8.7,-24.31,0.51,3,1
"CWNU 3910",293.115,0.046,15.6176,0.055,51.464,0.068,-1.7106,0.049,135,32,0.134,0.052,-2.629,0.103,-5.426,0.106,15.15,5.05,8.8,"nan","nan",0,1
"CWNU 3911",193.088,0.089,-58.9318,0.105,303.0501,0.046,3.9394,0.105,234,82,0.151,0.061,-6.263,0.162,-0.305,0.117,13.8,1.5,9.6,-23.02,3.14,1,1
"CWNU 3912",135.2458,0.055,-54.2437,0.031,273.2314,0.031,-5.2558,0.042,120,28,0.039,0.048,-2.017,0.09,2.212,0.064,15.6,1.4,8.1,139.36,1.96,1,1
"CWNU 3913",181.0906,0.033,-61.7084,0.018,297.384,0.015,0.6569,0.013,137,37,0.141,0.056,-6.485,0.077,0.758,0.081,13.15,5.1,8.4,-26.21,5.43,3,1
"CWNU 3914",291.2593,0.024,17.5497,0.024,52.3219,0.034,0.7762,0.02,106,26,0.059,0.034,-2.832,0.061,-5.906,0.124,17.35,8.65,6.5,19.75,8.23,2,1
"CWNU 3915",244.877,0.079,-55.8332,0.034,329.2722,0.046,-4.0013,0.029,54,18,0.108,0.066,-2.924,0.142,-4.146,0.044,13.85,2.75,8.5,-104.61,5.2,3,1
"CWNU 3916",155.4688,0.096,-58.5605,0.032,284.4786,0.056,-1.1405,0.06,64,31,0.175,0.014,-5.535,0.114,3.127,0.056,14.35,4.45,6.7,72.65,8.91,1,1
"CWNU 3917",17.8697,0.091,68.2573,0.035,124.7976,0.029,5.459,0.036,108,37,0.175,0.082,-2.221,0.162,0.482,0.13,13.2,2.55,9.1,-73.86,3.43,1,1
"CWNU 3918",292.0633,0.058,27.8234,0.038,61.7193,0.049,4.9884,0.046,179,45,0.138,0.047,-2.303,0.085,-4.407,0.301,14.2,1.3,9.6,-14.83,10.04,2,1
"CWNU 3919",286.9015,0.016,11.9945,0.041,45.4309,0.047,1.907,0.025,145,23,0.109,0.029,-2.71,0.092,-5.641,0.137,15.45,4.3,8.9,2.16,62.43,2,1
"CWNU 3920",264.8837,0.086,-37.0822,0.048,352.4062,0.049,-3.2168,0.068,101,40,0.07,0.046,-2.687,0.262,-4.519,0.236,15.1,3.95,9.0,-180.38,74.95,2,1
"CWNU 3921",108.4775,0.075,-24.1092,0.053,236.9192,0.02,-6.1271,0.091,81,33,0.076,0.031,-0.538,0.116,1.53,0.113,14.75,1.3,8.6,73.05,3.55,1,1
"CWNU 3922",107.2266,0.087,-24.3274,0.031,236.6015,0.046,-7.2204,0.089,74,29,0.099,0.041,-0.543,0.157,1.356,0.092,15.3,1.5,8.1,81.61,1.26,1,1
"CWNU 3923",189.0935,0.19,-68.7569,0.04,301.5628,0.066,-5.9228,0.038,123,27,0.134,0.071,-6.981,0.108,-0.244,0.101,14.15,0.95,9.2,-34.17,4.65,2,1
"CWNU 3924",14.7418,0.042,55.8235,0.041,123.9974,0.025,-7.0339,0.039,48,16,0.254,0.04,-1.489,0.086,-0.54,0.093,13.35,0.85,9.4,"nan","nan",0,1
"CWNU 3925",293.5686,0.047,30.8209,0.033,64.9937,0.039,5.2536,0.045,123,31,0.073,0.032,-2.252,0.119,-3.897,0.147,15.75,0.9,9.6,"nan","nan",0,1
"CWNU 3926",174.2227,0.045,-61.5833,0.028,294.186,0.021,0.0163,0.03,183,35,0.139,0.044,-6.001,0.043,1.444,0.051,15.35,5.05,6.3,-0.79,8.48,2,1
"CWNU 3927",62.8707,0.094,51.1592,0.037,151.6584,0.067,-0.2134,0.029,85,35,0.134,0.056,-0.173,0.131,-0.013,0.071,15.8,6.75,6.3,"nan","nan",0,1
"CWNU 3928",298.789,0.062,35.4422,0.042,71.2034,0.051,3.7578,0.028,105,34,0.118,0.035,-2.155,0.107,-3.669,0.239,14.8,1.9,8.9,-86.67,2.33,1,1
"CWNU 3929",202.8964,0.053,-65.6388,0.033,307.0599,0.023,-3.0905,0.029,122,31,0.088,0.074,-5.965,0.176,-0.999,0.09,14.65,1.9,9.5,-15.07,1.27,1,1
"CWNU 3930",281.322,0.019,-2.8003,0.015,29.7368,0.008,0.0896,0.02,81,30,0.189,0.075,-1.536,0.059,-3.856,0.084,13.0,10.75,6.6,"nan","nan",0,1
"CWNU 3931",137.6027,0.017,-49.9092,0.016,270.9753,0.013,-1.2709,0.009,54,16,0.049,0.06,-3.026,0.143,3.357,0.103,17.1,4.25,8.9,46.88,3.68,1,1
"CWNU 3932",267.3337,0.046,-29.2017,0.038,0.1912,0.045,-0.8414,0.036,265,109,0.23,0.066,-1.33,0.151,-2.842,0.124,13.95,6.45,7.3,3.57,17.02,6,1
"CWNU 3933",289.8665,0.012,14.9009,0.019,49.3502,0.016,0.7092,0.018,140,57,0.102,0.064,-3.157,0.081,-6.384,0.085,14.35,7.3,7.2,34.37,0.57,3,1
"CWNU 3934",199.4697,0.082,-65.3316,0.043,305.6897,0.03,-2.6018,0.043,159,34,0.218,0.033,-7.445,0.056,-1.678,0.181,13.3,1.95,9.1,-39.96,46.36,2,1
"CWNU 3935",286.9159,0.039,11.3637,0.082,44.8799,0.094,1.63,0.038,212,36,0.14,0.07,-2.659,0.074,-5.554,0.131,14.2,4.25,9.5,26.81,23.97,4,1
"CWNU 3936",296.2318,0.015,23.5804,0.015,59.8472,0.02,-0.3589,0.011,138,59,0.14,0.072,-3.334,0.085,-6.144,0.135,14.5,8.45,6.2,-11.29,1.86,5,1
"FSR 0239",306.2336,0.042,42.7962,0.02,80.5225,0.023,2.9092,0.034,119,65,0.213,0.13,-3.527,0.133,-6.127,0.149,13.7,4.8,9.4,-24.77,2.65,2,1
"CWNU 3937",251.9666,0.21,-48.8389,0.135,337.3315,0.139,-2.4382,0.037,110,31,0.296,0.033,-1.793,0.106,-3.35,0.11,13.5,4.1,8.4,-12.13,57.11,3,1
"CWNU 3938",131.1087,0.093,-44.8629,0.054,264.2803,0.076,-1.3151,0.028,188,38,0.179,0.044,-2.916,0.118,3.375,0.118,14.3,4.5,7.6,91.4,13.13,5,1
"CWNU 3939",31.2637,0.133,62.5886,0.03,131.2886,0.052,0.9195,0.046,103,32,0.238,0.046,-0.833,0.167,-0.213,0.123,12.45,1.85,8.7,-62.44,2.16,1,1
"CWNU 3940",278.6093,0.014,-10.7338,0.018,21.4524,0.017,-1.152,0.021,93,47,0.171,0.076,-1.542,0.148,-4.035,0.166,14.8,5.95,8.9,63.92,1.22,2,1
"vdBergh Hagen 63,VDBH 63",140.1669,0.024,-49.221,0.011,271.6317,0.014,0.4041,0.012,89,53,0.172,0.091,-4.408,0.15,3.57,0.144,13.85,4.45,9.5,"nan","nan",0,1
"CWNU 3941",117.4193,0.044,-30.6496,0.043,246.4991,0.044,-2.2922,0.045,158,52,0.094,0.045,-1.293,0.134,2.215,0.158,14.3,2.05,8.8,90.97,4.0,1,1
"CWNU 3942",309.832,0.054,40.0114,0.052,79.8761,0.056,-0.9152,0.039,191,70,0.622,0.052,-2.921,0.196,-4.501,0.098,11.1,9.05,8.7,12.19,2.55,4,1
"CWNU 3943",209.6565,0.024,-61.6754,0.007,310.8135,0.013,0.1638,0.007,101,62,0.217,0.109,-6.101,0.087,-2.414,0.104,14.65,6.1,8.9,-40.24,1.98,4,1
"CWNU 3944",213.7833,0.079,-61.8619,0.037,312.6274,0.043,-0.5761,0.035,211,92,0.274,0.075,-3.989,0.077,-2.205,0.111,13.05,7.4,7.2,13.05,70.58,2,1
"CWNU 3945",9.4561,0.147,62.8132,0.127,121.3752,0.063,-0.016,0.131,296,104,0.153,0.074,-1.302,0.129,0.051,0.129,13.3,3.0,8.9,-56.28,6.6,2,1
"CWNU 3946",32.3741,0.14,58.7174,0.082,132.9405,0.105,-2.6346,0.065,280,64,0.252,0.064,-1.205,0.1,0.122,0.102,13.1,1.75,8.8,-81.57,22.37,3,1
"CWNU 3947",131.1735,0.034,-47.6864,0.028,266.5233,0.038,-3.0385,0.029,156,36,0.12,0.043,-3.151,0.049,3.489,0.072,14.4,2.25,7.0,75.33,4.15,1,1
"CWNU 3948",125.5661,0.047,-34.9646,0.038,253.819,0.019,1.1441,0.042,105,19,0.105,0.066,-1.713,0.051,2.187,0.064,14.5,2.45,8.3,135.74,1.46,1,1
"CWNU 3949",111.5954,0.078,-13.6022,0.09,228.9907,0.106,1.3783,0.062,225,53,0.207,0.055,-1.294,0.105,1.055,0.084,12.85,0.5,9.1,86.62,33.86,3,1
"CWNU 3950",109.7772,0.111,-25.1804,0.047,238.446,0.045,-5.5542,0.12,247,46,0.132,0.036,-0.603,0.118,1.588,0.08,14.85,1.25,8.8,"nan","nan",0,1
"CWNU 3951",98.5172,0.058,15.0328,0.062,197.6041,0.046,3.0589,0.065,189,39,0.191,0.033,0.045,0.192,-0.331,0.122,12.75,1.05,8.9,49.13,4.47,3,1
"CWNU 3952",109.4972,0.055,-20.0085,0.034,233.7033,0.044,-3.4058,0.038,81,24,0.3,0.039,-1.675,0.104,3.345,0.064,12.6,1.5,7.9,"nan","nan",0,1
"CWNU 3953",280.2837,0.007,-5.3963,0.026,26.957,0.022,-0.1769,0.009,59,12,0.137,0.024,-2.853,0.092,-5.716,0.064,14.45,9.5,6.2,"nan","nan",0,1
"CWNU 3954",274.9382,0.045,-26.2859,0.082,6.056,0.076,-5.2794,0.082,145,35,0.133,0.053,-1.397,0.08,-2.804,0.14,13.95,2.0,9.2,86.96,3.24,1,1
"CWNU 3955",157.8775,0.04,-59.5298,0.019,286.0285,0.024,-1.3344,0.016,101,27,0.079,0.051,-4.463,0.072,2.474,0.038,15.5,4.3,6.7,"nan","nan",0,1
"CWNU 3956",281.3656,0.035,-4.6354,0.072,28.1195,0.087,-0.7838,0.019,89,30,0.253,0.026,-0.776,0.063,-3.191,0.042,13.35,4.0,6.6,"nan","nan",0,1
"CWNU 3957",94.7909,0.052,12.8618,0.098,197.8312,0.09,-1.177,0.069,137,54,0.167,0.046,0.144,0.112,-0.272,0.107,12.9,2.05,8.7,"nan","nan",0,1
"CWNU 3958",87.4883,0.121,17.2999,0.071,190.5248,0.111,-5.1429,0.091,133,41,0.155,0.024,0.492,0.14,-0.364,0.133,13.95,0.8,8.9,38.9,43.31,2,1
"CWNU 3959",97.0543,0.061,11.7609,0.04,199.8512,0.03,0.2735,0.069,138,38,0.195,0.086,-0.095,0.155,-0.47,0.207,12.9,1.8,8.8,63.26,4.83,1,1
"CWNU 3960",112.979,0.095,-29.502,0.046,243.6149,0.063,-5.0751,0.064,186,66,0.093,0.04,-0.79,0.095,1.745,0.142,14.6,0.8,8.8,"nan","nan",0,1
"CWNU 3961",159.4029,0.044,-54.714,0.086,284.3264,0.024,3.2528,0.079,191,58,0.138,0.058,-5.117,0.241,2.468,0.138,14.0,1.5,9.4,41.91,85.79,2,1
"CWNU 3962",99.3254,0.085,1.9287,0.112,209.5761,0.107,-2.2733,0.107,203,54,0.148,0.038,-0.059,0.062,0.459,0.142,14.4,3.3,7.5,63.17,17.58,3,1
"FSR 0338",327.927,0.048,55.3194,0.022,99.2353,0.022,0.9441,0.015,121,45,0.166,0.104,-3.548,0.13,-3.227,0.089,14.05,5.4,8.9,"nan","nan",0,1
"CWNU 3963",347.648,0.119,55.0278,0.031,108.7485,0.07,-5.0438,0.029,102,21,0.171,0.023,-2.027,0.105,-1.297,0.128,15.7,2.8,8.0,-62.74,5.05,1,1
"CWNU 3964",322.1971,0.144,60.9669,0.194,100.713,0.078,7.1672,0.169,61,26,0.135,0.021,-2.078,0.194,-1.748,0.063,13.65,1.2,9.6,"nan","nan",0,1
"CWNU 3965",121.6137,0.033,-23.7312,0.056,242.5322,0.051,4.4972,0.038,101,27,0.183,0.03,-2.259,0.069,2.377,0.085,13.4,0.55,8.9,68.45,5.99,2,1
"CWNU 3966",231.9492,0.051,-57.7562,0.042,322.5839,0.032,-0.9803,0.044,235,93,0.137,0.088,-4.471,0.157,-3.045,0.095,13.2,7.75,7.5,-61.68,0.72,2,1
"CWNU 3967",270.7238,0.03,-22.8154,0.029,7.2399,0.021,-0.2537,0.027,101,17,0.274,0.04,-0.964,0.083,-2.376,0.033,12.9,5.95,6.5,843.71,6.09,1,1
"CWNU 3968",280.2321,0.017,-5.7721,0.013,26.5976,0.015,-0.3026,0.016,98,52,0.139,0.094,-3.02,0.165,-5.867,0.132,14.1,7.2,8.0,44.0,19.11,2,1
"CWNU 3969",328.2717,0.072,56.6829,0.05,100.2224,0.055,1.8811,0.048,92,33,0.148,0.043,-2.734,0.091,-2.217,0.036,15.1,4.95,6.2,-10.74,7.84,1,1
"CWNU 3970",132.165,0.051,-45.42,0.059,265.1874,0.053,-1.0925,0.04,119,31,0.175,0.081,-3.077,0.127,3.58,0.072,13.5,3.9,8.7,37.69,5.18,1,1
"CWNU 3971",297.8202,0.023,27.5886,0.025,64.029,0.028,0.4326,0.013,182,64,0.159,0.091,-2.782,0.119,-4.91,0.121,15.8,5.55,6.1,"nan","nan",0,1
"CWNU 3972",329.4839,0.122,52.7001,0.112,98.2927,0.117,-1.6895,0.096,181,41,0.259,0.017,-3.489,0.089,-3.676,0.113,12.65,1.75,7.4,-72.39,3.48,1,1
"CWNU 3973",211.0963,0.146,-62.8889,0.069,311.1483,0.068,-1.1895,0.069,207,33,0.249,0.029,-6.435,0.051,-2.616,0.045,12.75,0.95,6.0,"nan","nan",0,1
"CWNU 3974",305.516,0.074,34.3818,0.056,73.3054,0.052,-1.4601,0.033,98,38,0.393,0.077,-0.317,0.1,-2.499,0.078,11.7,5.05,8.8,"nan","nan",0,1
"CWNU 3975",166.0898,0.026,-58.772,0.008,289.4276,0.012,1.2618,0.009,62,30,0.124,0.079,-6.831,0.198,2.598,0.037,14.65,2.1,9.2,56.07,8.42,1,1
"CWNU 3976",258.7648,0.178,-35.9945,0.076,350.5781,0.083,1.4958,0.162,470,151,0.262,0.09,-0.925,0.18,-2.213,0.148,12.25,5.85,9.2,-5.85,53.27,9,1
"CWNU 3977",263.5726,0.082,-36.283,0.042,352.493,0.054,-1.8846,0.053,165,28,0.241,0.055,-1.577,0.175,-3.21,0.063,13.65,5.3,8.4,-76.24,4.22,1,1
"CWNU 3978",245.9564,0.071,-46.5708,0.019,336.3037,0.031,2.081,0.026,42,26,0.095,0.089,-4.062,0.129,-4.221,0.12,14.25,3.95,9.4,-113.26,1.34,1,1
"CWNU 3979",289.0325,0.012,15.11,0.017,49.1567,0.012,1.5177,0.014,79,28,0.192,0.054,-2.421,0.064,-4.95,0.076,14.7,5.35,6.3,58.28,2.63,2,1
"CWNU 3980",160.5924,0.038,-58.7207,0.018,286.8428,0.02,0.0585,0.012,121,45,0.176,0.053,-5.385,0.121,2.504,0.075,12.95,2.2,8.7,"nan","nan",0,1
"CWNU 3981",130.3609,0.019,-47.6429,0.017,266.1567,0.017,-3.4455,0.011,95,25,0.08,0.125,-2.202,0.08,3.109,0.083,14.65,2.85,8.1,96.67,2.33,2,1
"CWNU 3982",136.8259,0.015,-45.2273,0.013,267.1775,0.011,1.5158,0.006,36,15,0.111,0.155,-3.187,0.137,3.552,0.106,17.3,2.15,9.2,"nan","nan",0,1
"CWNU 3983",230.8402,0.035,-58.0752,0.018,321.925,0.023,-0.9217,0.017,187,52,0.091,0.07,-4.494,0.235,-3.105,0.151,14.75,6.05,8.9,-55.62,2.41,5,1
"CWNU 3984",127.4888,0.038,-46.1912,0.038,263.8135,0.041,-4.1473,0.022,164,45,0.034,0.054,-1.625,0.067,2.234,0.095,14.7,3.05,7.5,132.54,0.21,1,1
"CWNU 3985",15.0292,0.057,64.4067,0.03,123.8685,0.025,1.5494,0.031,138,44,0.126,0.064,-1.607,0.1,-0.083,0.075,16.1,4.9,6.1,"nan","nan",0,1
"CWNU 3986",160.8535,0.049,-57.85,0.019,286.5498,0.02,0.8998,0.038,66,20,0.102,0.045,-4.849,0.151,1.965,0.064,16.5,3.45,8.7,80.26,3.07,1,1
"CWNU 3987",293.8548,0.015,16.9657,0.019,52.9959,0.018,-1.6802,0.013,165,42,0.177,0.055,-2.949,0.076,-5.839,0.122,15.4,5.0,7.7,45.58,1.37,2,1
"CWNU 3988",296.3485,0.025,28.229,0.025,63.9325,0.039,1.8827,0.027,196,39,0.102,0.043,-3.094,0.046,-5.479,0.076,13.8,2.95,8.6,-27.56,5.08,4,1
"CWNU 3989",144.159,0.056,-56.3831,0.054,278.2971,0.039,-3.1196,0.057,270,61,0.131,0.032,-3.919,0.129,3.171,0.161,14.05,2.45,9.2,19.28,40.78,2,1
"CWNU 3990",237.6446,0.057,-55.0935,0.034,326.7028,0.041,-0.7098,0.022,118,47,0.298,0.045,-2.974,0.098,-2.608,0.104,12.4,8.6,8.0,-40.17,3.13,8,1
"CWNU 3991",41.32,0.162,62.1389,0.06,135.8197,0.08,2.1439,0.072,321,57,0.166,0.053,-0.198,0.124,0.582,0.101,13.2,2.2,9.1,-36.36,13.64,5,1
"CWNU 3992",177.8111,0.248,-63.2989,0.042,296.2318,0.112,-1.2133,0.028,204,61,0.253,0.024,-5.544,0.085,0.734,0.053,12.7,2.15,7.3,"nan","nan",0,1
"CWNU 3993",106.4258,0.041,-16.1637,0.025,228.9426,0.027,-4.2294,0.02,202,41,0.131,0.058,-0.361,0.1,1.327,0.101,15.25,1.9,7.0,85.69,3.18,1,1
"CWNU 3994",289.0453,0.056,5.9569,0.036,41.0595,0.038,-2.7594,0.053,142,31,0.265,0.063,-1.522,0.073,-4.132,0.06,12.3,2.85,9.2,39.55,3.06,8,1
"CWNU 3995",156.383,0.057,-59.1822,0.043,285.201,0.051,-1.4357,0.029,158,32,0.2,0.034,-5.677,0.09,2.874,0.069,12.9,2.5,7.8,"nan","nan",0,1
"FSR 1527",151.6669,0.122,-57.4215,0.047,282.1578,0.075,-1.3646,0.042,129,61,0.393,0.039,-7.975,0.15,4.443,0.138,12.3,3.4,6.5,20.19,1.15,1,1
"CWNU 3996",154.796,0.021,-58.0402,0.006,283.8825,0.009,-0.9132,0.005,155,41,0.148,0.098,-5.199,0.138,3.26,0.093,13.35,7.65,6.0,445.53,8.12,1,1
"CWNU 3997",124.1404,0.018,-35.6521,0.008,253.716,0.013,-0.1916,0.012,80,30,0.246,0.04,-2.857,0.097,3.339,0.086,13.15,2.85,6.4,"nan","nan",0,1
"CWNU 3998",204.5941,0.067,-63.4354,0.041,308.1518,0.029,-1.0335,0.035,179,41,0.187,0.036,-7.765,0.128,-1.732,0.174,14.2,6.05,6.2,-21.75,10.78,2,1
"CWNU 3999",180.2303,0.052,-62.0639,0.024,297.0527,0.025,0.2297,0.022,226,100,0.173,0.078,-6.341,0.198,0.91,0.159,14.65,4.15,6.7,5.43,20.03,2,1
"CWNU 4000",79.5247,0.059,37.5135,0.08,169.668,0.085,-0.1258,0.073,162,37,0.188,0.062,0.204,0.118,-0.391,0.125,13.3,2.15,9.0,-9.66,14.13,2,1
"CWNU 4001",180.5079,0.029,-65.9803,0.035,297.9225,0.011,-3.5908,0.034,93,41,0.104,0.071,-5.509,0.123,0.558,0.164,14.35,2.4,9.4,"nan","nan",0,1
"CWNU 4002",121.4968,0.071,-47.3672,0.048,262.5061,0.049,-8.1999,0.047,108,31,0.127,0.082,-1.711,0.14,3.026,0.094,14.75,0.9,9.2,98.15,7.23,2,1
"CWNU 4003",297.2687,0.073,26.7307,0.034,63.0518,0.051,0.4163,0.06,214,60,0.198,0.033,-3.191,0.102,-5.933,0.066,13.6,5.0,6.7,96.65,8.19,1,1
"CWNU 4004",272.5031,0.054,-26.3764,0.06,4.9084,0.066,-3.391,0.049,145,33,0.101,0.039,-1.289,0.24,-4.363,0.157,16.05,5.05,7.5,163.91,5.54,1,1
