"ID","RAdeg","e_RAdeg","DEdeg","e_DEdeg","GLON","e_GLON","GLAT","e_GLAT","Num","NCore","plx","e_plx","pmRA","e_pmRA","pmDE","e_pmDE","m-M","A0","logA","RVel","e_Rvel","o_Rvel","Type"
"CWNU 2994",65.6751,0.103,46.5048,0.093,156.2148,0.122,-2.2628,0.06,157,47,0.313,0.033,-0.799,0.108,-1.088,0.064,12.15,2.95,8.3,-45.57,5.1,2,1
"CWNU 2995",72.8636,0.028,39.0015,0.025,165.3204,0.031,-3.3715,0.015,55,32,0.142,0.064,0.692,0.093,-0.445,0.119,13.45,2.65,8.8,-17.56,2.69,3,1
"CWNU 2996",62.6065,0.027,58.1466,0.025,146.7715,0.024,4.8109,0.019,84,32,0.194,0.071,-0.02,0.134,0.331,0.104,12.9,2.6,9.2,-25.0,0.99,3,1
"CWNU 2998",165.1163,0.03,-58.8438,0.01,288.9927,0.017,0.9925,0.015,118,49,0.091,0.066,-6.287,0.101,2.22,0.086,14.85,4.2,8.8,23.34,3.82,1,1
"CWNU 2999",84.332,0.023,27.5868,0.017,180.1792,0.021,-2.2631,0.017,77,31,0.182,0.094,0.223,0.145,-0.652,0.051,14.05,2.45,8.7,-9.0,3.6,1,1
"CWNU 3000",124.4527,0.027,-38.9015,0.026,256.5533,0.024,-1.8011,0.033,79,50,0.175,0.081,-2.213,0.112,3.129,0.149,12.85,3.65,8.9,"nan","nan",0,1
"CWNU 3001",330.3887,0.056,55.7069,0.022,100.5684,0.028,0.3939,0.029,86,48,0.211,0.04,-3.12,0.059,-2.697,0.103,12.8,3.7,8.1,"nan","nan",0,1
"CWNU 3002",316.7873,0.043,49.1138,0.027,90.0329,0.024,1.1226,0.022,178,62,0.19,0.057,-1.975,0.107,-3.024,0.086,13.05,4.6,8.7,-59.71,30.06,4,1
"CWNU 3003",104.5425,0.022,-19.0835,0.026,230.7582,0.023,-7.1456,0.026,68,32,0.11,0.069,-0.493,0.085,1.192,0.066,14.8,0.9,8.8,"nan","nan",0,1
"CWNU 3004",121.1697,0.015,-36.7879,0.01,253.3573,0.011,-2.8158,0.015,80,39,0.101,0.063,-1.532,0.104,2.5,0.096,16.5,3.35,6.5,105.0,0.58,1,1
"CWNU 3005",83.4215,0.05,30.3709,0.124,177.3879,0.103,-1.4224,0.069,42,21,0.55,0.056,0.729,0.148,-2.745,0.08,10.95,2.7,8.8,"nan","nan",0,1
"CWNU 3006",121.4963,0.036,-21.8985,0.037,240.9309,0.043,5.3758,0.043,50,16,0.207,0.035,-2.874,0.056,2.525,0.053,13.1,0.25,8.6,"nan","nan",0,1
"CWNU 3007",332.0752,0.026,57.6409,0.016,102.4557,0.021,1.4061,0.018,92,27,0.108,0.041,-1.498,0.081,-1.299,0.109,15.85,5.7,7.5,-47.03,0.96,1,1
"CWNU 3008",348.5855,0.12,65.688,0.043,113.1518,0.047,4.6824,0.037,230,76,0.095,0.063,-1.218,0.138,-0.247,0.115,14.6,3.35,9.3,-102.02,2.32,2,1
"Pfleiderer 4",357.7206,0.055,62.3188,0.024,115.9643,0.027,0.2689,0.023,272,117,0.118,0.107,-1.304,0.139,-0.503,0.12,14.25,2.95,9.2,-121.01,4.44,3,1
"CWNU 3009",15.153,0.109,57.9635,0.02,124.1532,0.058,-4.8843,0.019,120,29,0.144,0.059,-1.232,0.067,-0.052,0.094,13.8,1.15,9.4,-27.85,2.47,3,1
