"Name","RA_ICRS","DE_ICRS","GLON","GLAT","pmRA","pmDE","Plx","d_pc","RV","logt","Av","diffAV50","CST","N","r50pc","CMDCl50"
"UPK_605             ",234.5881071,-65.97631811,318.82928307,-8.4,-3.67167896,-4.29054734,1.32849979,733.06404597,0.26694719,8.06662083,0.14059129,0.82960752,13.64730458,85,2.1,1.0
"UPK_606             ",215.8908159,-46.42378799,319.0372115,13.55,-20.06022191,-16.89067761,5.89775896,166.39718115,7.44771086,6.98093247,0.34374347,0.54143175,11.97724756,80,2.6,0.999
"UPK_607             ",225.03002752,-57.15263824,319.72355054,1.463,-4.29995688,-3.23963892,1.08688463,891.68157066,-20.3325285,6.91138601,0.86383748,1.84499127,10.3723791,80,2.1,0.915
"UPK_612             ",255.09853445,-68.52356218,322.60945417,-15.82,-13.32699068,-12.20818597,4.3788809,226.69657361,2.52238575,8.07790709,0.10087378,0.62258753,23.49957341,228,6.78,0.998
"UPK_613             ",226.28856876,-49.16183157,324.27005771,8.09,-4.43857252,-3.67633363,1.11976627,854.78222902,-29.7797628,8.32925367,0.35851413,0.47586867,9.13366622,43,3.65,0.995
"UPK_614             ",231.148477,-53.9785111,324.32217628,2.408,-1.86950299,-4.46216119,1.0847637,884.05294833,-7.4966127,8.08391237,0.38856269,0.68994343,12.08393767,61,2.99,0.985
"UPK_617             ",234.83197328,-55.37285621,325.26683911,0.04425,-2.80744187,-5.27554428,1.36751518,716.69003154,-32.1542125,7.99078393,0.43869933,0.50820869,13.71909386,98,2.08,0.995
"UPK_621             ",237.20051116,-54.41533875,326.93023737,-0.02531,-2.4707775,-3.0841922,1.10195833,878.10058625,-4.38521853,7.8116405,0.90109861,1.07909185,9.4150889,65,1.63,0.999
"UPK_624             ",254.37712536,-60.51874832,329.06331605,-10.84,-1.71528423,-14.38441516,3.10927048,313.8852573,1.16397197,7.4028821,0.19816709,0.43497829,11.45437072,66,3.49,0.973
"UPK_626             ",239.79050122,-50.4183432,330.6924615,2.052,-7.46422865,-5.60440999,1.95837351,500.01424049,-18.54141902,8.08587217,0.61744112,1.32955396,10.15830362,90,4.38,0.994
"UPK_627             ",245.36991949,-53.13273403,331.38424874,-2.282,-2.48964959,-10.16705917,1.88452536,519.36609209,-6.63569456,8.17679167,0.29946227,1.0140478,14.39057935,106,10.34,0.887
"UPK_629             ",254.99088407,-56.41915513,332.57151858,-8.614,0.70847342,-3.81182699,1.04826907,906.4504258,3.86117883,8.37777758,0.33625498,0.56676266,7.21434068,57,7.4,0.996
"UPK_630             ",249.1743574,-51.26514819,334.34671947,-2.684,-1.81804918,-2.31065643,1.0692139,897.22476342,-2.22989596,7.98381472,0.55124366,0.76576981,11.41365388,66,1.95,0.993
"UPK_639             ",261.0390579,-46.63192349,342.79697352,-5.988,0.95556259,-9.24109185,1.40176666,690.62081433,-22.76984992,8.67804766,0.39235711,0.69389963,8.26139909,145,9.93,0.987
"UPK_640             ",249.69239022,-39.50714301,343.3396173,4.909,-11.88245389,-21.39053744,5.70600973,173.86257978,1.83143264,6.98316407,0.24365179,0.76157314,22.70173807,764,3.01,0.994
"UPK_642             ",263.02644494,-44.3206738,345.50824725,-5.886,2.26758244,-4.39322272,1.02459155,931.02694682,13.09187639,8.00017786,0.39300883,0.78488368,8.80777001,54,5.12,0.996
"UPK_644             ",249.13397822,-31.33767814,349.22128762,10.66,-3.91957717,-3.34567343,1.3437045,726.58393363,-22.49208264,8.51388311,0.40949744,0.699182,15.83120076,129,8.22,0.988
"UPK_645             ",270.13971988,-42.83973747,349.43163946,-9.576,2.75969995,-2.89255907,1.40992956,687.89678227,-0.24522587,8.20481586,0.18847728,0.62956595,13.54147409,95,2.98,0.97
"Waterloo_1          ",64.65289084,52.86356299,151.26664543,1.787,0.49220814,-0.78151875,0.23341843,3710.61106756,-9.12554192,7.29266405,2.60862732,2.06974423,16.26316819,122,18.84,0.93
"Waterloo_3          ",118.77799487,-25.35807022,242.5574787,1.449,-2.40845117,2.67069032,0.19679685,4365.35328926,116.96187562,8.45019865,0.42946139,1.34570765,10.60218633,55,6.09,0.995
"Waterloo_7          ",111.53725806,-15.09189468,230.27946446,0.6259,-1.52050719,1.72840394,0.26430304,3260.00573552,59.3977137,8.28404856,1.0984624,0.95201817,9.84846559,79,3.16,0.997
"Westerlund_2        ",156.00347679,-57.75556637,284.26772322,-0.3279,-5.35226559,2.8794118,0.1919313,4532.72397694,"nan",7.87976956,4.51839232,3.02586794,8.19806369,101,0.9,0.019
"Wit_2               ",105.35180067,-3.09825337,216.82580811,0.8022,-1.21478036,0.54243059,0.41519119,2073.06514747,52.62785653,7.90782285,0.65813482,1.98028719,5.82426082,102,3.83,0.43
"XDOCC_1             ",20.05315441,58.33538794,126.71180123,-4.325,-1.70254249,-0.47358093,1.24739117,787.88051396,-25.50052334,8.35274458,0.78181863,0.80777755,11.8216595,70,5.05,0.998
"XDOCC_2             ",84.03295583,34.29120538,174.38834316,1.124,0.26434528,-2.35619471,0.75598418,1247.30995518,4.08579314,7.54194427,0.51432544,0.4324723,8.75043046,40,2.23,0.999
"XDOCC_6             ",130.92264504,-48.15534765,266.79221494,-3.461,-6.29875839,3.64173281,0.73014494,1271.80156743,"nan",7.73829556,0.8481288,1.65151477,9.80898051,76,2.22,0.95
"XDOCC_9             ",293.61539302,24.77284997,59.71134143,2.307,-0.46604404,-8.79796708,1.78938411,549.2727941,-23.38035496,8.15871477,0.54223379,0.92989513,9.08729775,46,5.72,0.991
"ZHBJZ_1             ",103.94660748,-5.79122298,218.58198685,-1.674,-7.31801704,-2.44478687,3.49082552,283.65559797,18.35688795,7.13020039,0.18000412,0.61787111,23.27090623,490,5.68,0.989
"Zanin_6             ",342.92764836,41.30839697,99.96294019,-16.16,5.64156391,-6.64429665,2.69674849,367.86225183,-1.73763946,8.09592819,0.21977159,0.41270967,3.95062455,20,2.15,1.0
"VDB_1,vdBergh_1     ",99.27296821,3.07917934,208.55447557,-1.782,0.38811418,-0.71053974,0.55448502,1704.95976067,9.35065363,8.24230623,2.36707604,2.09795535,13.07653606,86,1.26,0.711
