"Name","q_Name","GLON","GLAT","Rad","Age","Rgc","pmRA","e_pmRA","pmDE","e_pmDE","HRV","e_HRV","Fe/H","e_Fe/H","N*","SimbadName","RA","DEC"
"King 7       ",2,149.7993,-1.0215,11.1,"0.71",10.36,0.97,0.12,-1.35,0.1,-9.7,1.4,-0.13,0.05,6,"Cl King 7                      ",59.778,51.782
"NGC 2158     ",2,186.6394,1.7807,8.4,"2.14",12.75,-0.24,0.05,-2.0,0.04,27.7,1.5,-0.21,0.02,18,"NGC 2158                       ",91.857,24.092
"Teutsch 10   ",0,179.959,-0.2798,4.5,"0.06",10.6,0.84,0.05,-1.9,0.04,5.6,7.5,-0.27,0.01,1,"Teutsch 10                     ",86.108,28.8251
"Teutsch 51   ",2,182.7401,0.476,2.7,"0.53",11.78,0.62,0.1,-0.29,0.09,17.7,0.4,-0.33,0.02,4,"Teutsch 51                     ",88.46,26.83
"NGC 2420     ",2,198.1134,19.6318,7.5,"2.32",10.61,-1.14,0.06,-2.11,0.04,74.4,0.6,-0.19,0.03,15,"NGC 2420                       ",114.596,21.567
"NGC 2318     ",0,226.0191,-4.4369,4.5,"0.56",9.27,-1.94,0.04,-2.3,0.04,8.6,0.0,-0.03,0.01,1,"NGC 2318                       ",104.87,-13.662
"Teutsch 84   ",1,344.4404,-0.4504,5.1,"0.99",4.8,-1.94,0.11,-1.08,0.12,-58.4,2.1,0.2,0.01,2,"Teutsch 84                     ",256.0801,-42.07
"ASCC 16      ",0,201.0701,-18.521,18.6,"0.01",8.35,1.44,0.09,-0.19,0.08,21.0,0.9,-0.05,0.05,17,"[KPR2005] 16                   ",81.037,1.64
"NGC 752      ",1,137.0013,-23.2815,39.0,"1.35",8.31,9.83,0.05,-11.9,0.06,5.6,0.3,-0.04,0.01,1,"NGC 752                        ",29.273,37.79
"NGC 7789     ",2,115.5392,-5.3644,14.4,"1.84",8.92,-0.95,0.04,-1.91,0.04,-54.6,1.3,-0.01,0.02,17,"NGC 7789                       ",359.355,56.73
"Chupina 4    ",0,215.1593,32.2925,5.0,"0",8.63,-10.99,0.06,-2.86,0.04,33.8,0.1,0.0,0.01,1,"Cl Chupina 4                   ",133.0,12.3783
