"ID","n_ID","GLON","e_GLON","GLAT","e_GLAT","rmax","plx","e_plx","pmRA","e_pmRA","pmDE","e_pmDE","nTot","Age","e_Age","Z","Class","K13","CG18","B19","G","_RA.icrs","_DE.icrs"
"FoF_2148,Gulliver_44","nan",257.146,0.111,0.441,0.082,0.331,0.789,0.034,-0.699,0.193,2.289,0.219,84,0.562,0.0337,0.5,1,"nan",496.0,"nan",0,127.2395,-38.1045
"FoF_2149","n",267.524,0.133,2.424,0.053,0.394,0.496,0.043,-5.115,0.384,3.937,1.091,76,0.933,0.056,-0.25,1,"nan","nan","nan",0,138.0995,-44.8658
"FoF_2151,ASCC_67","nan",294.53,0.064,0.71,0.058,0.177,0.489,0.028,-6.594,0.383,0.904,0.28,104,0.11,0.0066,0.25,1,1554.0,27.0,8136.0,0,175.3132,-61.0117
"FoF_2152,Gulliver_12","nan",297.33,0.047,1.057,0.045,0.123,0.557,0.029,-5.957,0.265,-0.265,0.361,68,0.339,0.0203,0.25,1,"nan",461.0,"nan",0,181.1318,-61.3035
"FoF_2153,Ruprecht_105","nan",300.951,0.038,1.228,0.058,0.13,0.466,0.022,-5.914,0.47,-0.066,0.332,74,0.955,0.0573,-0.25,1,"nan",1018.0,8383.0,1,188.6955,-61.5797
"FoF_2178","n",74.341,0.138,1.158,0.083,0.334,0.48,0.021,-2.881,0.261,-5.695,0.268,117,0.013,0.0008,0.5,1,"nan","nan","nan",1,303.5734,36.7097
"FoF_2179","n",76.759,0.126,0.919,0.057,0.328,0.55,0.026,-3.285,0.311,-5.808,0.319,92,0.008,0.0005,0.5,1,"nan","nan","nan",1,305.5394,38.5749
"FoF_2183,Berkeley_86","nan",76.657,0.084,1.306,0.053,0.229,0.563,0.027,-3.468,0.229,-5.507,0.285,72,0.005,0.0003,0.5,1,2640.0,196.0,2524.0,1,305.0575,38.7109
"FoF_2187,NGC_1027","nan",135.745,0.174,1.539,0.128,0.638,0.887,0.042,-1.735,0.25,2.111,0.259,345,0.065,0.0039,0.5,1,181.0,656.0,4061.0,1,40.6543,61.6134
"FoF_2190,NGC_3330","nan",284.181,0.056,3.829,0.039,0.171,0.566,0.035,-7.733,0.252,3.004,0.175,84,0.085,0.0051,0.25,1,1452.0,805.0,7730.0,0,159.6656,-54.137
"FoF_2193,NGC_6709","nan",42.14,0.13,4.719,0.104,0.469,0.916,0.048,1.424,0.229,-3.516,0.285,243,0.204,0.0122,-0.25,1,2400.0,908.0,1570.0,0,282.8304,10.3375
"FoF_2195,NGC_7762","nan",117.194,0.162,5.869,0.137,0.62,0.995,0.041,1.478,0.274,4.002,0.248,453,2.63,0.1578,-0.25,1,3005.0,964.0,3554.0,0,357.4289,68.0505
"FoF_2198","n",210.902,0.145,6.256,0.063,0.586,0.808,0.051,0.724,0.218,-1.036,0.262,101,1.59,0.0954,-0.25,1,"nan","nan","nan",0,107.5167,4.6475
"FoF_2199,FSR_0278","nan",87.836,0.059,6.818,0.036,0.15,0.574,0.028,-4.64,0.246,-9.747,0.226,60,1.1,0.066,0.5,1,2667.0,337.0,2838.0,0,307.7424,51.0015
"FoF_2200,NGC_1502","nan",143.645,0.122,7.667,0.08,0.59,0.914,0.059,-0.587,0.248,-0.829,0.257,174,0.011,0.0007,0.0,1,252.0,670.0,4228.0,0,61.9292,62.357
"FoF_2201,NGC_6811","nan",79.199,0.167,11.999,0.12,0.603,0.881,0.041,-3.376,0.215,-8.78,0.22,269,0.933,0.056,0.0,1,2500.0,918.0,"nan",0,294.3338,46.3712
"FoF_2204,NGC_2215","nan",215.991,0.15,-10.125,0.111,0.432,1.014,0.049,0.383,0.292,-3.649,0.274,114,1.18,0.0708,-0.5,1,593.0,709.0,5896.0,0,95.1829,-7.2914
"FoF_2205,ASCC_11","nan",150.525,0.191,-9.242,0.13,0.509,1.138,0.054,0.965,0.228,-3.013,0.226,191,0.1,0.006,0.5,1,217.0,5.0,4352.0,0,53.017,44.8528
"FoF_2208,COIN-Gaia_2","nan",124.204,0.086,-7.445,0.059,0.233,0.772,0.04,-4.454,0.22,-1.901,0.241,64,0.537,0.0322,-0.75,1,"nan",1230.0,3758.0,0,15.0814,55.4048
"FoF_2210","n",330.827,0.069,-4.307,0.042,0.194,0.686,0.029,0.011,0.235,-1.287,0.238,66,0.063,0.0038,0.5,1,"nan","nan","nan",0,247.1768,-54.9449
"FoF_2211,Trumpler_29","nan",349.966,0.066,-5.108,0.076,0.232,0.665,0.018,0.471,0.276,-2.288,0.207,64,0.062,0.0037,0.5,1,2142.0,1207.0,10295.0,0,265.3236,-40.1486
"FoF_2212,Trumpler_33","nan",12.387,0.073,-3.208,0.057,0.211,0.688,0.03,0.509,0.272,0.526,0.216,77,0.029,0.0017,0.25,1,2322.0,1211.0,646.0,0,276.1511,-19.7162
"FoF_2214,NGC_7243","nan",98.822,0.18,-5.582,0.129,0.507,1.115,0.055,0.438,0.226,-2.846,0.213,250,0.093,0.0056,0.25,1,2864.0,951.0,3074.0,0,333.7897,49.8308
"FoF_2215,NGC_2301","nan",212.567,0.16,0.305,0.157,0.714,1.132,0.072,-1.364,0.272,-2.18,0.269,508,0.098,0.0059,0.25,1,723.0,726.0,5788.0,0,102.9645,0.4638
"FoF_2217,NGC_2546","nan",254.971,0.224,-1.997,0.156,0.758,1.037,0.051,-3.781,0.196,3.891,0.245,235,0.098,0.0059,0.25,1,1120.0,773.0,6926.0,0,123.1312,-37.6978
