fname,N_clust,N_clust_max
cwnu4658,nan,186
cwnu4535,nan,190
cwnu1675,nan,28
cwnu477,nan,48
ryu212,nan,50
cwnu4274,nan,113
ryu213,nan,50
cwnu3264,nan,77
hsc178,nan,52
cwwdl1713,nan,46
ryu713,nan,50
cwnu4585,nan,56
hsc179,nan,444
ryu714,nan,50
oc0026,nan,25
ryu717,nan,50
upk7,nan,62
cwwdl14677,nan,468
hxhwl66,nan,52
cwwdl13990,nan,43
cwwdl970,nan,131
ubc341,nan,150
ubc1013,nan,80
ryu214,nan,50
theia1666,nan,757
ryu719,nan,50
cwnu3875,nan,342
cwnu3840,nan,458
cwnu1185,nan,30
hsc180,nan,25
cwnu4674,nan,166
ryu215,nan,50
ryu724,nan,50
cwnu230,nan,56
ryu725,nan,50
hsc181,nan,48
cwwdl14165,nan,105
ubc97,nan,98
upk12,nan,109
cwnu2553,nan,54
ryu216,nan,50
oc0027,nan,51
ryu726,nan,50
hsc183,nan,25
hsc184,nan,25
ryu217,nan,50
cwnu4134,nan,291
ryu218,nan,50
hsc186,nan,246
ryu727,nan,50
ubc342,nan,105
cwwdl13679,nan,48
hsc187,nan,36
oc0028,nan,65
cwnu1995,nan,28
cwnu4502,nan,140
ryu219,nan,50
ryu728,nan,50
hsc188,nan,25
ryu729,nan,50
theia1694,nan,43
ryu730,nan,50
ryu731,nan,50
ryu732,nan,50
ryu733,nan,50
cwwdl14497,nan,36
cwnu3595,nan,48
hsc190,nan,25
ryu220,nan,50
upk13,nan,126
ryu734,nan,50
ryu735,nan,50
hsc192,nan,25
cwnu1884,nan,25
hsc193,nan,25
hsc194,nan,25
hsc191,nan,25
ryu13,nan,50
hsc195,nan,31
hsc196,nan,25
ubc1014,nan,44
cwwdl14359,nan,48
hxhwl57,nan,64
theia2510,nan,60
cwnu132,nan,112
cwnu1853,nan,32
ryu738,nan,50
ryu739,nan,50
ryu740,nan,50
hsc189,nan,40
cwnu1811,nan,27
ryu741,nan,50
cwnu1877,nan,32
cwnu1642,nan,41
cwnu2518,nan,25
cwwdl13478,nan,62
hsc197,nan,47
cwnu2698,nan,72
hsc198,nan,44
cwnu3172,nan,165
ryu744,nan,50
ocsn216,nan,203
ryu223,nan,50
ryu224,nan,50
cwnu2051,nan,27
ryu747,nan,50
ryu748,nan,50
ubc343,nan,236
cwwdl5701,nan,139
cwnu4012,nan,109
oc0029,nan,193
cwnu2696,nan,44
ryu750,nan,50
ryu226,nan,50
cwnu3098,nan,79
cwnu1308,nan,83
cwwdl14696,nan,35
ryu751,nan,50
ryu752,nan,50
ryu753,nan,50
cwnu4642,nan,322
ryu754,nan,50
cwnu1612,nan,30
cwnu4874,nan,191
cwnu4089,nan,46
cwnu2388,nan,25
cwnu448,nan,64
ubc1015,nan,904
hsc200,nan,25
cwnu493,nan,52
