"Seq","Cluster","Nstars","RA_ICRS","DE_ICRS","pmRA","pmDE","Plx","logAge","Z","AV","MOD","_RA.icrs","_DE.icrs"
38,"Alessi_37",393,-18.10667737929,46.38975583672,0.3334322532619223,-1.7052519968081887,1.3543868825589471,8.259432,0.061428,0.466809,9.2117,341.89332047222,46.38976341561
39,"Alessi_43",292,132.63072622837,-41.74013318736,-5.547538611598062,3.911955141285182,1.021144261693128,6.9814935,-0.049892,0.984427,9.717513,132.63075927134,-41.74015057382
40,"Alessi_44",362,294.95758816965,1.34920263522,0.4859666588506844,-2.4376429147847176,1.4654805201248269,8.338916,0.030063,0.70934,9.159026,294.9575860092,1.34921346919
41,"Alessi_5",340,160.90392356428,-61.08558004813,-15.37600257576097,2.542053361124956,2.483738514611834,7.689649,0.063241,0.6172415,8.140634,160.90406490333,-61.08559134608
42,"Alessi_6",237,220.12416479256,-66.12600588183,-10.52438169093362,-5.516126131247672,1.0890853662569386,8.7138345,0.1473555,0.698283,9.740611,220.12428036438,-66.12598136567
43,"Alessi_62",217,284.02659771922,21.59166921562,0.2718413018455093,-1.1472062745234473,1.587470889066977,8.848455999999999,0.10355,0.778231,9.070372,284.02659641986,21.59167431432
44,"Alessi_8",129,232.41976311932,-51.17997703077,-5.866455918828672,-5.6332480302522585,1.4344440709051092,8.120835,0.070339,0.190709,9.119573,232.41980471147,-51.1799519941
45,"Alessi_9",267,265.62811121496,-47.18077015562,9.753019897982398,-9.065870888491668,4.6979956106393,8.480562,-0.001264,0.001592,6.659047,265.62804744047,-47.18072986284
46,"Alessi_Teutsch_11",177,304.146064056,52.07344182042,-0.133308906026802,-1.2635987953895091,1.5039441564461296,7.9932435,0.070502,0.367587,9.011456,304.14606501993,52.07344743641
47,"Alessi_Teutsch_12",69,255.40944405613,-59.04763100752,-2.270064643387723,-8.959680441360067,1.624063914602443,7.8572425,-0.055894,0.350089,9.029837,255.40946367244,-59.04759118671
48,"Alessi_Teutsch_3",153,118.16720756081,-52.97176583676,-5.309304011202797,8.906011208965165,1.3816454371219962,8.028331,0.010798,0.469507,9.200164,118.16724674479,-52.97180541902
49,"Alessi_Teutsch_5",341,333.45183558517,61.2393631176,-1.3907196427056188,-3.1141268393036903,1.0908785805790857,7.148915,-0.049889,1.018113,9.664436,333.45184843139,61.23937695816
50,"Aveni_Hunter_1",147,-5.47975968228,47.43211942485,0.0898301261735228,-2.58988741643397,2.319665121589684,7.196475,-0.143027,0.747092,8.0204545,354.52023972752,47.43213093546
