"Cluster","RA_ICRS","DE_ICRS","MA22","e_MA22","NA22","MA23f","e_MA23f","NA23f","MA23g","e_MA23g","NA23g","MZ23","e_MZ23","NZ23","MK24","e_MK24","NK24","MF24","e_MF24","NF24"
"Pismis_2",124.4831,-41.6727,-0.18,0.22,146.0,-0.22,0.08,123,-0.18,0.08,29.0,-0.23,0.12,41.0,-0.23,0.08,137.0,-0.11,0.1,125.0
"Pismis_3",127.8353,-38.6323,-0.05,0.15,1117.0,-0.2,0.08,735,-0.13,0.06,82.0,-0.12,0.11,318.0,-0.19,0.05,966.0,-0.12,0.09,865.0
"Pismis_7",130.2947,-38.6981,-0.15,0.11,90.0,-0.41,0.13,101,-0.23,0.05,13.0,-0.36,0.13,6.0,-0.28,0.05,26.0,-0.3,0.12,102.0
"Pismis_12",140.0139,-45.1392,-0.11,0.12,243.0,-0.22,0.09,223,-0.1,0.09,11.0,-0.02,0.14,44.0,-0.22,0.05,173.0,-0.11,0.07,235.0
"Pismis_15",143.656,-48.0317,0.08,0.15,152.0,-0.34,0.12,153,-0.14,0.04,11.0,-0.47,0.09,42.0,-0.27,0.05,112.0,-0.21,0.1,164.0
"Pismis_18",204.2133,-62.0954,-0.25,0.17,43.0,-0.25,0.15,40,0.14,0.04,10.0,-0.37,0.05,8.0,-0.18,0.08,98.0,-0.29,0.3,43.0
"Ruprecht_1",99.0583,-14.169,-0.23,0.1,100.0,-0.33,0.14,131,"nan","nan","nan",-0.19,0.13,75.0,-0.19,0.07,97.0,-0.14,0.08,114.0
"Ruprecht_4",102.2349,-10.5204,-0.25,0.12,73.0,-0.43,0.13,99,-0.24,0.03,8.0,-0.43,0.07,7.0,-0.31,0.06,24.0,-0.27,0.13,79.0
"Ruprecht_8",105.4707,-13.5516,-0.26,0.1,60.0,-0.34,0.12,47,"nan","nan","nan",-0.36,0.07,18.0,-0.17,0.05,23.0,-0.18,0.11,48.0
"Ruprecht_10",106.6383,-20.1421,-0.18,0.18,43.0,-0.41,0.09,39,"nan","nan","nan",-0.37,0.13,24.0,-0.25,0.06,32.0,-0.24,0.12,38.0
"Ruprecht_25",114.1984,-23.3676,-0.21,0.11,10.0,-0.58,0.12,25,-0.49,0.11,6.0,"nan","nan","nan",-0.52,0.06,9.0,-0.55,0.11,18.0
"Ruprecht_28",114.8913,-30.9167,-0.17,0.11,150.0,-0.42,0.16,117,-0.16,0.06,12.0,-0.21,0.04,23.0,-0.33,0.07,100.0,-0.2,0.1,101.0
"Ruprecht_33",116.4415,-21.9105,-0.15,0.13,59.0,-0.34,0.17,79,"nan","nan","nan",-0.2,0.11,19.0,-0.24,0.06,41.0,-0.17,0.09,52.0
"Ruprecht_37",117.4503,-17.2497,-0.27,0.11,105.0,-0.44,0.14,39,-0.37,0.13,5.0,-0.52,0.1,20.0,-0.38,0.07,82.0,-0.37,0.16,38.0
"Ruprecht_41",118.4234,-27.0097,-0.2,0.12,37.0,-0.44,0.1,66,-0.38,0.16,5.0,-0.57,0.09,8.0,-0.34,0.06,25.0,-0.38,0.14,32.0
"Ruprecht_42",119.4001,-25.9196,-0.25,0.08,64.0,-0.51,0.19,55,-0.33,0.09,8.0,-0.53,0.08,11.0,-0.36,0.03,18.0,-0.47,0.09,30.0
"Ruprecht_45",119.8917,-16.2949,-0.25,0.13,195.0,-0.47,0.13,154,-0.42,0.04,16.0,-0.46,0.13,30.0,-0.39,0.06,156.0,-0.35,0.11,111.0
"Ruprecht_54",122.8511,-31.9406,-0.26,0.12,33.0,-0.51,0.16,71,"nan","nan","nan",-0.42,0.07,4.0,-0.36,0.04,17.0,-0.33,0.17,31.0
"Ruprecht_58",123.7141,-31.9375,-0.24,0.14,95.0,-0.42,0.17,125,-0.27,0.1,3.0,-0.38,0.07,23.0,-0.31,0.06,66.0,-0.24,0.13,75.0
"Ruprecht_60",126.1062,-47.2054,-0.21,0.11,101.0,-0.38,0.11,111,-0.29,0.14,13.0,-0.64,0.07,7.0,-0.32,0.05,44.0,-0.32,0.12,88.0
"Ruprecht_61",126.3283,-34.1435,-0.22,0.12,57.0,-0.44,0.12,68,-0.28,0.04,4.0,-0.41,0.04,13.0,-0.33,0.06,36.0,-0.31,0.1,63.0
"Ruprecht_63",128.1778,-48.3057,-0.23,0.16,67.0,-0.42,0.11,110,-0.23,0.12,4.0,"nan","nan","nan",-0.32,0.07,43.0,-0.31,0.14,94.0
"Ruprecht_66",130.1431,-38.0726,-0.16,0.08,193.0,-0.35,0.12,144,-0.22,0.06,25.0,-0.34,0.05,22.0,-0.26,0.07,82.0,-0.21,0.11,139.0
"Ruprecht_67",130.4756,-43.3526,-0.21,0.21,32.0,-0.22,0.12,54,"nan","nan","nan",-0.11,0.12,16.0,-0.16,0.03,29.0,-0.18,0.11,54.0
"Ruprecht_68",131.1516,-35.8983,-0.14,0.1,364.0,-0.34,0.12,286,-0.22,0.04,23.0,-0.31,0.09,90.0,-0.29,0.06,216.0,-0.23,0.11,287.0
"Ruprecht_75",140.4777,-56.3249,-0.24,0.11,115.0,-0.32,0.14,112,-0.18,0.03,17.0,-0.28,0.08,24.0,-0.35,0.08,77.0,-0.19,0.1,107.0
"Ruprecht_82",146.4127,-54.0045,-0.2,0.14,51.0,-0.28,0.13,105,"nan","nan","nan",-0.18,0.13,57.0,-0.25,0.05,87.0,-0.16,0.08,70.0
"Ruprecht_84",147.239,-65.272,-0.18,0.15,131.0,-0.21,0.1,121,"nan","nan","nan",-0.1,0.13,88.0,-0.18,0.07,110.0,-0.09,0.08,113.0
