"Cluster","RA_ICRS","DE_ICRS","MA22","e_MA22","NA22","MA23f","e_MA23f","NA23f","MA23g","e_MA23g","NA23g","MZ23","e_MZ23","NZ23","MK24","e_MK24","NK24","MF24","e_MF24","NF24"
"UBC_495",144.959,-57.2957,-0.19,0.12,23.0,-0.39,0.17,42,-0.25,0.02,7.0,-0.41,0.02,3.0,-0.31,0.05,15.0,-0.37,0.17,33.0
"UBC_498",155.09,-59.6733,-0.23,0.1,15.0,-0.4,0.16,18,"nan","nan","nan",-0.43,0.18,5.0,-0.21,0.04,13.0,-0.2,0.08,8.0
"UBC_503",156.3002,-62.324,-0.29,0.14,41.0,-0.09,0.11,43,0.1,0.01,3.0,-0.05,0.14,40.0,-0.14,0.05,49.0,-0.07,0.08,46.0
"UBC_504",159.7369,-61.1141,-0.19,0.16,5.0,-0.52,0.22,17,0.08,0.06,3.0,"nan","nan","nan",-0.28,0.13,12.0,-0.2,0.19,8.0
"UBC_506",159.2037,-62.0457,-0.28,0.17,8.0,-0.28,0.12,21,"nan","nan","nan",-0.35,0.08,8.0,-0.33,0.08,20.0,-0.28,0.15,11.0
"UBC_511",151.9024,-70.695,-0.11,0.14,37.0,-0.12,0.07,40,"nan","nan","nan",-0.08,0.07,29.0,-0.09,0.07,37.0,-0.05,0.06,39.0
"UBC_513",171.3355,-61.439,-0.14,0.06,3.0,-0.44,0.12,9,"nan","nan","nan",-0.17,0.09,4.0,-0.23,0.06,7.0,-0.25,0.12,3.0
"UBC_514",158.5028,-73.2606,-0.26,0.07,25.0,-0.18,0.08,22,"nan","nan","nan",-0.16,0.09,24.0,-0.18,0.05,20.0,-0.1,0.06,26.0
"UBC_516",182.5444,-62.3331,-0.51,0.0,3.0,-0.46,0.17,16,"nan","nan","nan","nan","nan","nan",-0.23,0.07,11.0,-0.46,0.17,11.0
"UBC_520",186.0762,-66.6739,-0.16,0.16,30.0,-0.26,0.13,30,"nan","nan","nan",-0.18,0.13,20.0,-0.22,0.05,26.0,-0.16,0.08,26.0
"UBC_521",187.5598,-64.16,-0.13,0.1,22.0,-0.22,0.1,32,0.14,0.03,7.0,-0.2,0.11,7.0,-0.16,0.08,30.0,-0.23,0.11,39.0
"UBC_523",191.6438,-66.2026,-0.16,0.13,44.0,-0.34,0.1,29,"nan","nan","nan",-0.09,0.13,3.0,-0.24,0.05,16.0,-0.33,0.16,31.0
"UBC_524",192.6146,-60.9939,0.0,0.17,10.0,-0.27,0.16,37,0.13,0.02,6.0,0.06,0.16,5.0,-0.19,0.09,39.0,-0.25,0.2,28.0
"UBC_527",204.5184,-66.6658,-0.25,0.1,29.0,-0.24,0.14,37,"nan","nan","nan",-0.14,0.1,22.0,-0.16,0.05,32.0,-0.1,0.06,24.0
"UBC_528",204.6118,-61.6087,-0.41,0.05,8.0,-0.17,0.18,18,0.19,0.03,3.0,"nan","nan","nan",-0.09,0.09,16.0,-0.21,0.16,14.0
"UBC_533",230.326,-53.1873,-0.26,0.11,45.0,-0.2,0.11,35,"nan","nan","nan",-0.14,0.08,29.0,-0.14,0.06,42.0,-0.11,0.09,26.0
"UBC_537",242.9024,-53.0472,-0.08,0.11,34.0,-0.23,0.19,24,0.21,0.06,10.0,0.29,0.02,5.0,-0.07,0.09,39.0,-0.15,0.13,23.0
"UBC_538",242.6036,-52.3363,-0.48,0.19,12.0,-0.29,0.18,28,0.2,0.03,9.0,0.13,0.15,4.0,-0.09,0.13,24.0,-0.53,0.46,17.0
"UBC_556",259.2847,-41.5303,-0.2,0.13,49.0,-0.18,0.1,27,"nan","nan","nan",-0.19,0.09,17.0,-0.09,0.04,42.0,-0.23,0.13,32.0
"UBC_572",280.4308,-21.9813,-0.1,0.17,33.0,-0.36,0.17,25,-0.1,0.09,4.0,-0.03,0.07,6.0,-0.22,0.08,26.0,-0.33,0.12,25.0
"UBC_586",301.0907,46.7825,-0.03,0.13,36.0,-0.25,0.1,34,-0.07,0.06,5.0,-0.22,0.13,15.0,-0.17,0.05,20.0,-0.19,0.07,35.0
"UBC_593",346.3787,55.0808,-0.07,0.15,25.0,-0.28,0.08,30,"nan","nan","nan",-0.14,0.1,17.0,-0.18,0.05,19.0,-0.13,0.06,26.0
"UBC_607",47.7268,50.294,0.02,0.14,87.0,-0.42,0.1,54,-0.4,0.06,22.0,-0.25,0.08,14.0,-0.37,0.05,55.0,-0.34,0.11,55.0
"UBC_614",80.105,30.2124,-0.18,0.1,28.0,-0.25,0.07,38,-0.08,0.04,4.0,-0.22,0.12,21.0,-0.23,0.06,22.0,-0.11,0.08,42.0
"UBC_616",106.9766,19.9115,-0.26,0.05,12.0,-0.49,0.13,15,"nan","nan","nan",-0.34,0.06,4.0,-0.37,0.07,5.0,-0.33,0.08,9.0
"UBC_617",94.8036,10.0889,-0.16,0.08,30.0,-0.3,0.1,37,-0.17,0.05,7.0,-0.29,0.07,15.0,-0.24,0.04,14.0,-0.21,0.11,39.0
"UBC_626",106.4747,-2.3256,-0.24,0.1,35.0,-0.6,0.18,57,"nan","nan","nan",-0.34,0.13,5.0,-0.37,0.03,20.0,-0.4,0.11,35.0
"UBC_628",107.1427,-6.2029,-0.25,0.11,38.0,-0.55,0.15,47,-0.33,0.09,5.0,-0.47,0.01,3.0,-0.38,0.04,17.0,-0.61,0.18,28.0
"UBC_632",121.6015,-9.6138,-0.18,0.09,7.0,-0.59,0.08,12,"nan","nan","nan","nan","nan","nan",-0.27,0.11,7.0,-0.7,0.29,7.0
"UBC_637",123.758,-22.192,-0.27,0.14,78.0,-0.39,0.17,65,-0.26,0.05,8.0,-0.29,0.09,12.0,-0.36,0.08,48.0,-0.25,0.11,50.0
"UBC_647",116.4849,-48.2132,-0.35,0.07,18.0,-0.34,0.1,24,"nan","nan","nan",-0.4,0.08,15.0,-0.22,0.04,18.0,-0.2,0.06,17.0
"UBC_648",142.5625,-34.1418,-0.26,0.13,59.0,-0.49,0.13,49,-0.49,0.04,6.0,-0.49,0.1,12.0,-0.46,0.06,52.0,-0.41,0.17,40.0
"UBC_660",168.483,-59.7185,-0.25,0.08,35.0,-0.3,0.11,39,-0.19,0.11,3.0,-0.36,0.1,26.0,-0.27,0.05,36.0,-0.22,0.11,45.0
"UBC_1031",280.2278,-9.6929,0.0,0.1,67.0,-0.07,0.23,28,0.19,0.05,11.0,-0.04,0.17,24.0,-0.11,0.07,54.0,0.07,0.11,22.0
"UBC_1052",280.0477,7.6699,-0.04,0.1,46.0,-0.14,0.17,20,0.07,0.04,7.0,0.05,0.09,22.0,-0.09,0.1,28.0,-0.03,0.13,20.0
"UBC_1055",285.4104,11.7345,0.04,0.14,41.0,-0.16,0.21,24,0.05,0.16,14.0,0.22,0.14,15.0,-0.08,0.16,24.0,-0.01,0.12,25.0
"UBC_1061",295.6732,15.711,0.01,0.09,60.0,-0.18,0.15,44,0.13,0.08,8.0,0.2,0.08,49.0,-0.09,0.07,61.0,0.0,0.09,41.0
"UBC_1073",298.2584,30.8312,-0.08,0.15,50.0,-0.23,0.14,64,-0.05,0.06,18.0,0.11,0.07,9.0,-0.13,0.06,37.0,-0.15,0.09,71.0
"UBC_1108",298.0783,44.8051,-0.18,0.19,80.0,-0.42,0.2,53,-0.17,0.07,15.0,-0.23,0.11,39.0,-0.26,0.08,55.0,-0.21,0.1,53.0
"UBC_1121",313.6565,47.0155,-0.07,0.13,16.0,-0.32,0.1,22,-0.22,0.02,6.0,0.02,0.12,6.0,-0.17,0.04,12.0,-0.21,0.1,21.0
"UBC_1133",314.5804,49.8763,0.0,0.13,32.0,-0.26,0.08,49,-0.14,0.1,5.0,-0.09,0.08,11.0,-0.16,0.04,33.0,-0.16,0.13,49.0
"UBC_1142",332.9307,45.1827,-0.07,0.17,52.0,-0.21,0.09,49,-0.01,0.03,4.0,-0.04,0.11,32.0,-0.15,0.06,47.0,-0.05,0.07,50.0
"UBC_1146",324.4351,55.582,-0.16,0.11,29.0,-0.29,0.09,50,-0.2,0.06,11.0,-0.24,0.1,11.0,-0.19,0.08,19.0,-0.25,0.15,52.0
"UBC_1156",332.8665,55.62,-0.27,0.12,5.0,-0.27,0.06,17,"nan","nan","nan","nan","nan","nan",-0.08,0.03,5.0,-0.34,0.12,15.0
"UBC_1157",335.6349,53.7234,-0.21,0.09,23.0,-0.41,0.16,26,"nan","nan","nan",-0.18,0.07,8.0,-0.2,0.11,13.0,-0.08,0.04,17.0
"UBC_1161",330.5403,59.4744,-0.09,0.02,10.0,-0.56,0.23,19,-0.29,0.09,5.0,-0.22,0.16,4.0,-0.28,0.09,7.0,-0.38,0.19,17.0
"UBC_1162",329.5171,60.1695,-0.1,0.2,15.0,-0.37,0.05,22,-0.36,0.04,9.0,-0.47,0.06,6.0,-0.25,0.03,14.0,-0.29,0.08,26.0
"UBC_1173",343.3457,57.0133,-0.2,0.11,12.0,-0.36,0.15,27,"nan","nan","nan","nan","nan","nan",-0.26,0.02,6.0,-0.26,0.11,28.0
"UBC_1174",350.0224,51.483,-0.07,0.11,12.0,-0.23,0.15,11,"nan","nan","nan",-0.31,0.02,3.0,-0.25,0.01,5.0,-0.16,0.05,10.0
"UBC_1181",348.028,64.7932,-0.49,0.18,11.0,-0.39,0.06,15,"nan","nan","nan","nan","nan","nan",-0.37,0.05,13.0,-0.41,0.16,13.0
"UBC_1184",352.5234,62.3556,-0.17,0.13,50.0,-0.21,0.11,58,-0.04,0.05,7.0,-0.39,0.05,12.0,-0.09,0.05,28.0,-0.39,0.21,72.0
"UBC_1206",10.5441,67.566,0.1,0.26,11.0,-0.26,0.15,15,-0.23,0.0,3.0,"nan","nan","nan",-0.25,0.02,6.0,-0.18,0.11,17.0
"UBC_1211",13.8044,59.1026,-0.23,0.09,34.0,-0.45,0.14,41,-0.32,0.06,9.0,-0.48,0.16,6.0,-0.29,0.08,18.0,-0.34,0.11,41.0
"UBC_1212",15.0154,58.2886,-0.18,0.11,32.0,-0.37,0.11,35,-0.05,0.04,3.0,-0.41,0.19,7.0,-0.27,0.07,14.0,-0.24,0.09,38.0
"UBC_1215",17.6356,61.6789,-0.27,0.12,13.0,-0.51,0.1,22,"nan","nan","nan","nan","nan","nan",-0.27,0.02,5.0,-0.58,0.2,17.0
"UBC_1219",22.6825,58.0334,-0.1,0.1,27.0,-0.3,0.07,29,-0.24,0.03,5.0,-0.32,0.07,6.0,-0.32,0.03,15.0,-0.31,0.09,33.0
"UBC_1225",28.9083,63.789,-0.07,0.12,22.0,-0.26,0.13,33,-0.07,0.04,6.0,-0.26,0.13,6.0,-0.18,0.05,14.0,-0.26,0.12,44.0
"UBC_1226",29.9576,63.836,-0.16,0.12,30.0,-0.43,0.11,43,-0.39,0.05,5.0,-0.56,0.12,9.0,-0.36,0.02,18.0,-0.3,0.11,41.0
"UBC_1246",45.4641,47.9575,-0.11,0.16,69.0,-0.33,0.13,59,-0.15,0.07,4.0,0.01,0.09,15.0,-0.25,0.06,36.0,-0.1,0.08,59.0
"UBC_1248",50.65,52.0515,-0.08,0.15,38.0,-0.31,0.06,40,-0.3,0.06,6.0,-0.1,0.23,3.0,-0.26,0.04,14.0,-0.31,0.15,42.0
"UBC_1258",62.4451,50.3624,0.07,0.12,19.0,-0.18,0.05,26,-0.13,0.05,3.0,"nan","nan","nan",-0.2,0.04,12.0,-0.2,0.12,30.0
"UBC_1269",77.7391,45.2247,-0.19,0.12,11.0,-0.49,0.15,18,"nan","nan","nan",-0.33,0.14,3.0,-0.36,0.07,6.0,-0.42,0.17,17.0
"UBC_1279",83.6233,39.0049,-0.14,0.12,31.0,-0.35,0.1,32,-0.24,0.05,3.0,-0.45,0.09,13.0,-0.24,0.05,16.0,-0.33,0.1,32.0
"UBC_1282",79.3565,33.2063,-0.27,0.13,6.0,-0.39,0.12,12,"nan","nan","nan","nan","nan","nan",-0.15,0.17,3.0,-0.2,0.1,8.0
"UBC_1284",88.0736,33.7605,-0.25,0.11,15.0,-0.56,0.17,23,"nan","nan","nan","nan","nan","nan","nan","nan","nan",-0.33,0.12,15.0
"UBC_1285",86.7281,32.1257,-0.25,0.05,29.0,-0.37,0.14,35,"nan","nan","nan",-0.25,0.12,6.0,-0.2,0.05,16.0,-0.21,0.07,31.0
"UBC_1286",89.2493,32.4074,-0.23,0.14,24.0,-0.47,0.14,31,"nan","nan","nan",-0.46,0.04,4.0,-0.31,0.03,9.0,-0.27,0.14,13.0
"UBC_1298",90.5551,28.2509,-0.26,0.09,21.0,-0.46,0.12,22,"nan","nan","nan",-0.37,0.06,5.0,-0.38,0.07,11.0,-0.4,0.13,14.0
"UBC_1313",96.9006,17.1771,-0.25,0.16,25.0,-0.56,0.16,27,-0.37,0.04,3.0,-0.5,0.1,6.0,-0.34,0.02,7.0,-0.43,0.1,18.0
"UBC_1316",94.6904,14.6388,-0.16,0.2,24.0,-0.4,0.11,47,"nan","nan","nan",-0.25,0.12,8.0,-0.22,0.07,12.0,-0.27,0.15,41.0
"UBC_1317",89.544,9.5916,-0.33,0.13,30.0,-0.54,0.13,33,-0.5,0.07,5.0,-0.52,0.06,5.0,-0.38,0.06,11.0,-0.46,0.22,29.0
"UBC_1318",91.0839,9.1873,-0.36,0.08,14.0,-0.6,0.13,28,"nan","nan","nan",-0.39,0.19,3.0,-0.31,0.04,3.0,-0.56,0.1,18.0
"UBC_1321",100.6212,12.8632,-0.06,0.11,16.0,-0.35,0.12,17,"nan","nan","nan",-0.23,0.12,5.0,-0.2,0.08,6.0,-0.07,0.05,11.0
"UBC_1324",96.8179,8.5223,-0.26,0.08,7.0,-0.55,0.15,11,"nan","nan","nan","nan","nan","nan","nan","nan","nan",-0.54,0.13,8.0
"UBC_1326",96.7875,7.8084,-0.26,0.09,8.0,-0.67,0.07,10,"nan","nan","nan","nan","nan","nan","nan","nan","nan",-0.45,0.16,5.0
"UBC_1329",101.4549,7.6744,-0.23,0.11,14.0,-0.53,0.12,20,-0.48,0.15,5.0,-0.7,0.02,4.0,-0.44,0.01,5.0,-0.55,0.09,17.0
"UBC_1332",96.6472,1.202,-0.17,0.1,37.0,-0.42,0.1,27,-0.42,0.06,5.0,-0.39,0.06,8.0,-0.29,0.04,16.0,-0.31,0.12,28.0
"UBC_1335",105.3428,5.2882,-0.14,0.15,47.0,-0.42,0.13,34,-0.24,0.07,8.0,-0.21,0.09,11.0,-0.27,0.08,18.0,-0.14,0.09,33.0
"UBC_1336",107.0011,4.9171,-0.1,0.13,29.0,-0.53,0.17,39,-0.35,0.04,7.0,-0.32,0.07,10.0,-0.36,0.03,18.0,-0.33,0.14,28.0
"UBC_1342",105.9466,0.2717,-0.18,0.12,28.0,-0.46,0.08,26,"nan","nan","nan",-0.38,0.16,19.0,-0.36,0.06,22.0,-0.29,0.11,21.0
"UBC_1345",101.1658,-2.7664,-0.25,0.14,24.0,-0.44,0.11,24,"nan","nan","nan",-0.33,0.12,9.0,-0.27,0.05,13.0,-0.27,0.13,18.0
"UBC_1350",101.243,-5.7058,-0.31,0.14,10.0,-0.49,0.2,24,"nan","nan","nan",-0.38,0.04,3.0,-0.32,0.05,6.0,-0.41,0.17,9.0
"UBC_1351",107.7415,-3.4153,-0.27,0.11,21.0,-0.57,0.09,26,"nan","nan","nan",-0.53,0.02,4.0,-0.44,0.04,6.0,-0.38,0.07,18.0
"UBC_1352",110.4494,-5.4225,-0.26,0.07,34.0,-0.55,0.16,35,-0.28,0.09,9.0,-0.48,0.21,10.0,-0.36,0.12,19.0,-0.35,0.18,24.0
"UBC_1353",104.8846,-8.815,-0.35,0.11,31.0,-0.34,0.07,25,-0.31,0.03,3.0,"nan","nan","nan",-0.29,0.02,6.0,-0.35,0.06,23.0
"UBC_1361",106.1428,-11.2649,-0.51,0.09,25.0,-0.5,0.13,31,-0.37,0.08,4.0,"nan","nan","nan",-0.39,0.05,14.0,-0.5,0.19,28.0
"UBC_1362",106.4309,-12.2952,-0.31,0.13,17.0,-0.37,0.12,22,"nan","nan","nan","nan","nan","nan",-0.2,0.08,12.0,-0.21,0.1,14.0
"UBC_1365",104.2409,-15.612,-0.23,0.13,40.0,-0.31,0.09,35,"nan","nan","nan",-0.44,0.09,15.0,-0.27,0.05,31.0,-0.23,0.12,44.0
"UBC_1367",112.5751,-12.7149,-0.3,0.12,36.0,-0.49,0.14,39,-0.43,0.14,4.0,-0.44,0.16,6.0,-0.38,0.04,13.0,-0.36,0.24,21.0
"UBC_1371",111.1352,-17.1998,-0.25,0.14,56.0,-0.35,0.16,74,-0.27,0.04,4.0,-0.4,0.15,16.0,-0.27,0.06,28.0,-0.33,0.17,77.0
"UBC_1377",111.3815,-19.7105,-0.23,0.09,10.0,-0.42,0.19,16,"nan","nan","nan","nan","nan","nan",-0.23,0.04,4.0,-0.24,0.1,9.0
"UBC_1383",114.237,-21.8673,-0.15,0.08,23.0,-0.39,0.17,31,"nan","nan","nan",-0.35,0.12,7.0,-0.29,0.06,19.0,-0.19,0.11,26.0
"UBC_1397",116.7826,-28.6625,-0.15,0.13,13.0,-0.37,0.1,25,"nan","nan","nan","nan","nan","nan",-0.22,0.06,4.0,-0.36,0.15,25.0
"UBC_1405",117.0348,-29.4702,-0.2,0.09,22.0,-0.37,0.12,48,-0.27,0.05,3.0,"nan","nan","nan",-0.24,0.04,7.0,-0.37,0.18,44.0
"UBC_1407",117.8471,-29.508,-0.18,0.12,65.0,-0.39,0.11,50,-0.27,0.03,4.0,-0.38,0.08,14.0,-0.31,0.04,45.0,-0.25,0.12,56.0
"UBC_1411",118.7318,-29.7992,-0.19,0.1,34.0,-0.44,0.1,47,-0.17,0.04,3.0,-0.32,0.1,6.0,-0.3,0.07,14.0,-0.33,0.12,36.0
"UBC_1412",120.0551,-29.068,-0.16,0.2,18.0,-0.3,0.1,24,-0.17,0.03,5.0,-0.35,0.1,8.0,-0.28,0.06,15.0,-0.31,0.09,27.0
"UBC_1427",122.9254,-33.7866,-0.25,0.11,17.0,-0.37,0.15,31,"nan","nan","nan","nan","nan","nan",-0.31,0.05,9.0,-0.27,0.1,20.0
"UBC_1433",124.3748,-36.3556,0.14,0.18,5.0,-0.41,0.11,28,"nan","nan","nan","nan","nan","nan",-0.31,0.08,10.0,-0.29,0.14,20.0
"UBC_1436",130.8467,-36.9676,-0.18,0.11,59.0,-0.29,0.09,60,-0.25,0.07,12.0,-0.24,0.09,14.0,-0.27,0.04,37.0,-0.16,0.08,68.0
"UBC_1439",126.282,-43.6241,-0.29,0.24,24.0,-0.27,0.09,39,-0.2,0.05,11.0,"nan","nan","nan",-0.19,0.03,15.0,-0.32,0.19,39.0
"UBC_1440",123.1872,-45.2638,-0.15,0.13,61.0,-0.35,0.1,60,-0.28,0.02,8.0,-0.57,0.1,3.0,-0.26,0.05,49.0,-0.29,0.13,55.0
"UBC_1443",136.7507,-40.8735,-0.16,0.13,36.0,-0.3,0.08,28,-0.26,0.06,3.0,-0.27,0.22,8.0,-0.32,0.05,18.0,-0.16,0.07,34.0
"UBC_1455",131.6939,-54.6382,-0.12,0.11,126.0,-0.2,0.09,127,-0.02,0.02,3.0,-0.15,0.11,96.0,-0.16,0.05,115.0,-0.11,0.08,144.0
"UBC_1457",137.1636,-52.2237,-0.26,0.2,18.0,-0.37,0.14,59,-0.17,0.07,14.0,-0.23,0.09,13.0,-0.2,0.07,20.0,-0.27,0.17,55.0
"UBC_1461",139.5618,-53.2793,-0.24,0.15,14.0,-0.24,0.12,27,-0.19,0.05,13.0,-0.28,0.05,13.0,-0.25,0.09,25.0,-0.14,0.06,21.0
"UBC_1463",136.9801,-56.4135,-0.22,0.09,22.0,-0.34,0.15,27,-0.11,0.01,4.0,"nan","nan","nan",-0.36,0.08,18.0,-0.16,0.09,25.0
"UBC_1475",152.8763,-59.0886,-0.3,0.2,5.0,-0.42,0.14,17,"nan","nan","nan","nan","nan","nan",-0.19,0.03,4.0,-0.54,0.23,14.0
"UBC_1481",158.9139,-60.0644,-0.38,0.07,7.0,-0.41,0.25,17,"nan","nan","nan",-0.27,0.1,12.0,-0.25,0.04,13.0,"nan","nan","nan"
"UBC_1482",161.6063,-57.6812,-0.15,0.1,15.0,-0.39,0.28,21,-0.02,0.05,6.0,"nan","nan","nan",-0.13,0.09,12.0,-0.43,0.25,22.0
"UBC_1484",162.2548,-59.0434,-0.4,0.19,64.0,-0.06,0.12,47,0.06,0.06,17.0,-0.41,0.08,8.0,-0.13,0.14,73.0,-0.03,0.05,35.0
"UBC_1486",164.8806,-58.2004,-0.12,0.12,21.0,-0.38,0.12,18,-0.26,0.09,5.0,-0.5,0.12,19.0,-0.36,0.05,39.0,-0.34,0.14,22.0
"UBC_1488",163.4705,-60.6741,-0.1,0.1,15.0,-0.28,0.12,23,-0.09,0.07,8.0,-0.19,0.14,7.0,-0.28,0.09,27.0,-0.24,0.15,22.0
"UBC_1499",173.8664,-55.6383,-0.25,0.1,75.0,-0.39,0.11,40,-0.27,0.04,7.0,-0.4,0.11,37.0,-0.38,0.07,63.0,-0.36,0.19,44.0
"UBC_1505",175.9786,-60.5385,-0.28,0.17,13.0,-0.32,0.2,28,-0.05,0.06,8.0,-0.19,0.21,6.0,-0.1,0.09,14.0,-0.29,0.2,25.0
"UBC_1506",177.5196,-60.7421,-0.18,0.09,19.0,-0.28,0.15,40,0.02,0.06,10.0,-0.14,0.02,3.0,-0.12,0.11,32.0,-0.23,0.2,32.0
"UBC_1511",180.4014,-62.7706,-0.44,0.09,6.0,-0.41,0.1,15,"nan","nan","nan","nan","nan","nan",-0.16,0.13,16.0,-0.31,0.28,14.0
"UBC_1516",190.7638,-61.8388,-0.64,0.25,4.0,-0.4,0.2,17,0.06,0.07,5.0,"nan","nan","nan",-0.08,0.11,9.0,-0.39,0.24,14.0
"UBC_1518",194.1797,-63.8207,-0.24,0.12,9.0,-0.15,0.19,14,0.12,0.02,4.0,-0.52,0.17,6.0,-0.18,0.08,21.0,-0.42,0.11,13.0
"UBC_1519",194.3944,-65.2522,-0.21,0.1,27.0,-0.25,0.13,21,-0.18,0.04,9.0,-0.38,0.07,5.0,-0.22,0.06,22.0,-0.28,0.14,16.0
"UBC_1522",198.2039,-64.259,-0.12,0.12,38.0,-0.24,0.08,30,-0.2,0.05,6.0,-0.54,0.14,20.0,-0.25,0.05,38.0,-0.31,0.14,31.0
"UBC_1524",214.4675,-62.5514,-0.42,0.16,25.0,0.12,0.1,23,0.19,0.03,9.0,"nan","nan","nan",0.08,0.13,30.0,0.07,0.08,17.0
"UBC_1528",217.6343,-59.1162,-0.13,0.16,21.0,-0.21,0.07,27,0.16,0.02,3.0,-0.06,0.14,14.0,-0.12,0.03,31.0,-0.12,0.09,20.0
"UBC_1530",213.6679,-50.0566,-0.34,0.15,19.0,-0.23,0.08,25,-0.15,0.06,3.0,-0.35,0.09,20.0,-0.18,0.05,24.0,-0.21,0.07,24.0
"UBC_1532",222.5691,-61.7687,-0.16,0.07,45.0,-0.13,0.21,44,0.15,0.06,10.0,-0.03,0.02,3.0,-0.1,0.12,44.0,-0.21,0.19,44.0
"UBC_1548",244.9569,-49.9716,-0.16,0.12,10.0,-0.02,0.23,11,0.11,0.06,5.0,-0.14,0.11,10.0,-0.1,0.08,47.0,-0.14,0.25,11.0
"UBC_1550",249.2318,-48.4331,-0.66,0.13,13.0,-0.28,0.18,23,0.16,0.04,6.0,"nan","nan","nan",-0.08,0.12,20.0,-0.66,0.18,15.0
"UBC_1553",248.8824,-45.6501,-0.09,0.11,13.0,-0.04,0.19,11,0.16,0.06,6.0,"nan","nan","nan",-0.09,0.14,15.0,0.03,0.13,10.0
"UBC_1591",204.0571,-64.6413,-0.27,0.11,13.0,-0.32,0.07,16,"nan","nan","nan","nan","nan","nan",-0.11,0.06,11.0,-0.3,0.14,22.0
"UBC_1594",276.4926,-13.7434,-0.2,0.11,14.0,-0.08,0.2,6,"nan","nan","nan",-0.14,0.16,8.0,-0.07,0.07,14.0,"nan","nan","nan"
"UBC_1600",329.7274,46.0305,-0.18,0.14,39.0,-0.37,0.09,36,"nan","nan","nan",-0.31,0.1,22.0,-0.25,0.08,27.0,-0.15,0.13,32.0
"UBC_1610",91.3822,28.6994,-0.22,0.11,22.0,-0.52,0.12,28,"nan","nan","nan",-0.36,0.08,10.0,-0.26,0.08,11.0,-0.28,0.1,20.0
"UBC_1612",96.9476,17.5376,-0.31,0.07,10.0,-0.49,0.22,13,"nan","nan","nan",-0.34,0.06,4.0,-0.33,0.02,6.0,-0.32,0.15,8.0
"UBC_1614",101.9637,-7.1247,-0.28,0.08,17.0,-0.33,0.08,8,"nan","nan","nan",-0.38,0.11,3.0,-0.28,0.06,5.0,-0.14,0.06,7.0
"UBC_1622",147.5898,-48.2119,-0.26,0.07,11.0,-0.34,0.15,15,"nan","nan","nan",-0.28,0.11,6.0,-0.29,0.02,9.0,-0.13,0.07,11.0
"UFMG_2",237.5873,-55.9631,-0.11,0.16,241.0,-0.15,0.17,132,0.17,0.06,48.0,0.1,0.1,25.0,-0.06,0.08,247.0,-0.15,0.21,150.0
"UFMG_34",233.843,-57.6673,-0.12,0.18,55.0,-0.23,0.12,49,0.13,0.08,13.0,0.26,0.21,5.0,-0.07,0.06,57.0,-0.24,0.15,48.0
"UFMG_37",230.1976,-57.765,-0.06,0.14,17.0,-0.15,0.17,14,0.22,0.03,4.0,-0.24,0.09,10.0,-0.05,0.09,27.0,-0.32,0.1,17.0
"UFMG_39",218.97,-57.891,-0.22,0.09,26.0,-0.23,0.14,18,"nan","nan","nan",-0.21,0.26,11.0,-0.13,0.07,19.0,-0.17,0.1,21.0
"UFMG_80",270.2047,-22.1872,-0.31,0.16,20.0,-0.14,0.06,4,"nan","nan","nan",-0.04,0.05,7.0,-0.12,0.05,23.0,"nan","nan","nan"
"UFMG_91",264.8659,-35.0845,-0.17,0.1,35.0,0.16,0.06,9,0.16,0.06,9.0,0.29,0.11,15.0,-0.07,0.15,42.0,0.13,0.05,9.0
"UPK_7",276.7888,-17.3272,-0.2,0.08,27.0,-0.15,0.06,21,"nan","nan","nan",-0.02,0.08,12.0,-0.1,0.07,25.0,-0.19,0.09,15.0
"UPK_16",287.2976,-19.0701,-0.13,0.09,31.0,-0.16,0.11,28,"nan","nan","nan",-0.1,0.08,16.0,-0.13,0.12,22.0,-0.08,0.07,24.0
"UPK_27",275.0335,-5.194,0.25,0.15,40.0,-0.13,0.06,84,0.1,0.07,7.0,"nan","nan","nan",-0.07,0.06,78.0,-0.04,0.04,83.0
"UPK_65",286.534,23.3398,-0.09,0.09,36.0,-0.14,0.1,43,"nan","nan","nan",0.02,0.12,31.0,-0.07,0.07,40.0,-0.1,0.06,41.0
"UPK_99",312.4761,25.7128,-0.21,0.08,19.0,0.0,0.08,25,"nan","nan","nan",0.04,0.06,15.0,-0.02,0.11,21.0,0.05,0.06,22.0
"UPK_119",308.588,43.3358,-0.11,0.15,28.0,-0.06,0.09,24,"nan","nan","nan",0.05,0.07,15.0,-0.06,0.08,30.0,-0.1,0.1,27.0
"UPK_542",134.1413,-54.3957,0.0,0.12,24.0,-0.13,0.04,31,"nan","nan","nan",-0.08,0.1,17.0,-0.14,0.11,34.0,-0.05,0.07,32.0
"UPK_549",146.4828,-52.4773,-0.01,0.15,145.0,-0.15,0.07,131,-0.1,0.01,6.0,-0.07,0.12,98.0,-0.13,0.07,146.0,-0.16,0.08,168.0
"UPK_567",160.9345,-67.4072,-0.12,0.1,71.0,-0.12,0.07,81,"nan","nan","nan",-0.19,0.08,48.0,-0.18,0.09,84.0,-0.09,0.06,94.0
"UPK_578",192.9016,-57.3959,-0.16,0.11,49.0,-0.08,0.08,57,"nan","nan","nan",-0.1,0.11,34.0,-0.08,0.05,48.0,-0.12,0.08,64.0
