"Name","RAJ2000","DEJ2000","Diam","E(B-V)","e_E(B-V)","Eratio","Dm","e_Dm","Dist","e_Dist","Age","e_Age"
"SAI 45,FSR 727",79.1458,45.5822,6.0,0.25,0.02,0.5,10.55,0.17,1290.0,100.0,9.2,0.05
"SAI 46",79.9042,36.5089,3.0,0.78,0.01,0.62,13.16,0.12,4290.0,240.0,9.45,0.05
"SAI 47",80.9917,42.3144,3.0,0.6,0.01,0.54,12.93,0.05,3860.0,90.0,8.5,0.05
"Berkeley 19",81.0117,29.5711,5.0,0.61,0.05,0.72,12.38,0.4,3000.0,600.0,9.25,0.05
"SAI 48",81.07,33.5006,4.0,0.31,0.07,0.45,11.3,0.2,1800.0,180.0,9.35,0.05
"SAI 49",81.6038,50.7842,6.0,0.47,0.01,0.54,12.17,0.17,2720.0,220.0,9.05,0.05
"Czernik 21",81.6708,36.0136,6.0,0.72,0.02,0.56,11.82,0.2,2300.0,200.0,9.55,0.05
"Stock 8",82.0367,34.4314,8.0,1.21,0.04,0.57,9.84,0.2,900.0,110.0,7.5,"nan"
"Kronberger 1",82.0917,34.7733,5.0,0.43,0.1,0.72,9.6,0.3,800.0,100.0,8.1,0.05
"SAI 50",82.1621,35.0219,3.0,0.6,0.3,0.42,16.7,0.5,21900.0,5700.0,9.7,0.2
"SAI 51",82.5079,33.4253,3.0,0.62,0.18,0.42,9.54,0.2,810.0,80.0,9.3,"nan"
"NGC 1931",82.8579,34.2139,6.0,1.97,0.2,0.84,10.06,0.2,1000.0,120.0,7.0,"nan"
"Koposov 36",84.2108,31.2108,9.0,0.83,0.11,0.63,11.16,0.16,1700.0,150.0,8.35,"nan"
"SAI 52,FSR 812",84.5379,31.7378,3.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan"
"Koposov 27,Teutsch 1",84.875,33.35,3.0,0.45,0.1,0.69,12.8,0.5,3700.0,900.0,8.65,"nan"
"Koposov 7,FSR 784",85.1838,35.9236,6.0,3.75,0.37,0.7,13.39,0.35,4760.0,830.0,8.2,0.05
"Berkeley 71",85.2362,32.2758,3.0,0.91,0.05,0.58,11.94,0.18,2450.0,110.0,8.8,0.05
"SAI 53,FSR 874",85.2429,20.355,3.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan"
"SAI 54,FSR 855",85.5933,22.8344,3.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan"
"SAI 55,FSR 826",85.7133,28.9453,3.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan"
"Koposov 77",85.9679,21.7103,5.0,0.57,0.01,0.55,11.23,0.02,1750.0,50.0,9.65,0.1
"Koposov 49,Teutsch 10",86.0925,28.8203,6.0,0.42,0.05,0.94,11.46,0.22,2000.0,200.0,9.15,"nan"
"Koposov 10,FSR 795",86.8692,35.4322,4.0,0.81,0.25,0.79,11.54,0.3,2000.0,300.0,8.6,"nan"
"King 8",87.3292,33.6272,4.0,0.44,0.04,0.5,12.47,0.13,3100.0,200.0,9.05,0.05
"Czernik 23",87.515,28.8947,5.0,0.38,0.02,0.53,12.0,0.04,2500.0,70.0,8.45,0.05
"Berkeley 72",87.5733,22.2497,8.0,0.43,0.01,0.57,12.72,0.2,3500.0,300.0,8.65,0.05
"Koposov 58,FSR 849",87.7958,25.7781,2.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan"
"Koposov 43,FSR 848",88.0608,29.9192,8.0,0.38,0.1,0.44,12.21,0.09,2800.0,120.0,9.3,0.1
"SAI 56,FSR 852",88.3775,25.1781,8.0,0.43,0.07,0.47,11.82,0.04,2310.0,50.0,8.9,0.05
"Koposov 52,Teutsch 5",88.4537,26.8406,5.0,1.03,0.04,0.58,12.32,0.11,2900.0,140.0,8.95,0.1
