"Name","RA","DEC","GLON","GLAT","HDis","E(B-V)","Age","[Fe/H]","RVel","pmRA","pmDE"
"Pismis 4",128.6571,-44.40875,262.86,-2.43,593.0,0.013,0.03,"-0.2","nan","nan","nan"
"Roslund 3",299.68576,20.46492,58.8,-4.7,1467.0,"nan",0.1,"nan",-4.7,-1.61,-5.28
"Ruprecht 18",111.15981,-26.209,239.92,-4.94,1056.0,0.7,0.04,"-0.01","nan","nan","nan"
"Ruprecht 46",120.5328,-19.46585,238.36,5.9,752.0,0.07,3.98,"-0.04","nan","nan","nan"
"Stock 14",175.94868,-62.45195,295.2,-0.6,2146.0,"nan",0.01,"nan",-4.0,-5.93,0.82
"Stock 7",37.22462,60.64476,134.6,0.0,449.0,"nan",0.01,"nan",-8.0,-3.33,0.24
"Tombaugh 2",105.77008,-20.81471,232.83,-6.88,6300.0,0.4,4.0,"-0.45","nan","nan","nan"
"Trumpler 10",131.90492,-42.5038,262.8,0.6,424.0,"nan",0.03,"nan",21.5,-13.4,7.04
"Trumpler 2",39.30962,55.971,137.4,-3.9,651.0,"nan",0.14,"-0.45",2.4,1.36,-5.13
"Trumpler 24",253.7914,-40.77342,344.4,1.7,1138.0,"nan",0.0,"nan",-4.0,0.3,-0.17
"Trumpler 37",324.80072,57.46674,99.3,3.7,835.0,"nan",0.01,"nan",22.3,-2.95,-4.57
"vdB 1",99.23209,3.11939,208.5,-1.8,1687.0,"nan",0.1,"nan",18.9,-4.78,-3.63
