"Name","OCFlag","GLON","GLAT","RA_ICRS","DE_ICRS","pmRA","e_pmRA","pmDE","e_pmDE","plx","e_plx","RV","e_RV","f_RV","NRV","N","m-M","logt","E(B-V)","rh","rc","e_rc","rt","e_rt","ro","e_ro","re","e_re","RefName","r_RefName"
"OCSN 114,CWNU_1034",2,240.39,-2.61,113.68,-25.51,-7.76,0.44,5.72,0.31,2.14,0.11,32.18,3.48,1,40,127,8.49,7.45,0.09,1.39,1.52,0.06,4.58,0.27,"nan","nan","nan","nan","CWNU_1034","He22b"
"OCSN 115,CWNU_1069",2,258.33,-7.57,119.24,-43.49,-9.58,0.42,9.09,0.54,2.55,0.07,25.57,4.11,1,26,91,8.07,7.35,0.06,1.69,3.24,2.5,3.81,1.64,1.36,0.04,1.71,0.17,"CWNU_1069","He22b"
"OCSN 116,CWNU_1072",2,210.59,-16.33,87.23,-5.35,-2.39,0.23,0.26,0.26,2.21,0.06,27.25,12.55,1,13,51,10.79,7.6,0.89,0.92,1.33,0.06,3.07,0.15,"nan","nan","nan","nan","CWNU_1072","He22b"
"OCSN 117,CWNU_1084",2,71.23,-0.07,302.74,33.43,5.01,0.44,-0.5,0.42,3.03,0.17,-18.79,3.12,1,75,178,7.74,7.8,0.06,1.3,1.91,0.1,4.37,0.24,"nan","nan","nan","nan","CWNU_1084","He22b"
"OCSN 118",2,172.46,-22.24,61.92,21.23,3.87,1.31,-13.92,0.92,8.27,0.2,15.22,3.19,1,28,49,5.37,7.45,0.04,2.49,"nan","nan","nan","nan","nan","nan","nan","nan","CWNU_1094, CWNU_1108, Taurua_Group12","He22b, Liu21"
"OCSN 119,CWNU_1099",2,220.8,-5.54,101.48,-9.51,-0.68,0.41,-4.46,0.76,3.48,0.27,28.26,3.84,1,19,83,7.31,7.45,0.05,1.24,2.38,0.11,4.7,0.18,"nan","nan","nan","nan","CWNU_1099","He22b"
"OCSN 120,CWNU_1111",2,191.42,-9.26,84.3,14.4,-1.69,0.79,-6.4,0.63,3.62,0.21,21.21,3.31,1,45,131,7.53,7.35,0.13,2.35,3.91,0.64,4.87,0.53,3.86,0.06,9.39,0.52,"CWNU_1111","He22b"
"OCSN 121,CWNU_1129",2,175.63,-16.47,68.72,22.82,10.81,1.33,-17.11,1.25,6.23,0.2,20.15,10.73,2,10,40,6.95,6.6,0.33,2.3,"nan","nan","nan","nan","nan","nan","nan","nan","CWNU_1129","He22b"
"OCSN 122,CWNU_1144",2,261.16,-19.78,104.57,-51.16,-13.63,1.13,11.71,1.28,5.38,0.25,10.77,5.46,1,71,195,6.54,7.45,0.06,9.65,"nan","nan","nan","nan","nan","nan","nan","nan","CWNU_1144","He22b"
"OCSN 123,CWNU_1196",2,295.21,-9.42,169.02,-70.85,-21.99,0.94,-1.01,2.2,3.52,0.1,3.7,5.32,1,32,101,7.98,7.75,0.28,2.18,4.69,0.46,5.62,0.33,2.07,4.09,2.27,10.75,"CWNU_1196","He22b"
"OCSN 124,CWNU_1198",2,299.94,-7.96,183.89,-70.62,-13.23,0.6,-1.77,0.34,2.19,0.14,7.31,5.33,1,30,65,8.98,7.55,0.26,1.41,1.12,0.01,4.56,0.25,1.34,0.03,2.65,0.17,"CWNU_1198","He22b"
"OCSN 125,CWNU_1267",2,340.33,21.11,233.57,-29.7,-6.84,1.45,-5.02,0.44,2.6,0.09,-26.38,3.53,1,59,143,8.29,7.95,0.17,3.93,"nan","nan","nan","nan","nan","nan","nan","nan","CWNU_1267","He22b"
"OCSN 126,UPK_64",2,56.43,10.34,284.07,25.53,-0.6,0.43,-4.88,0.73,2.32,0.29,-15.91,3.22,1,60,127,8.82,7.6,0.26,1.61,2.42,0.79,6.36,3.9,1.48,0.02,1.81,0.14,"UPK_64","Sim19"
"OCSN 127,ASCC_16",3,201.05,-18.44,81.1,1.7,1.4,0.24,-0.02,0.2,2.88,0.07,18.49,5.76,1,80,275,7.75,6.95,0.03,0.48,0.41,0.01,3.91,0.48,"nan","nan","nan","nan","ASCC_16","CG20"
"OCSN 128,ASCC_19",3,204.84,-19.44,81.95,-1.92,1.2,0.25,-1.24,0.19,2.79,0.07,20.41,4.9,1,66,264,8.03,7.0,0.09,0.66,0.82,0.07,2.9,0.47,"nan","nan","nan","nan","ASCC_19","CG20"
"OCSN 129,ASCC_21",3,199.87,-16.6,82.15,3.58,1.48,0.23,-0.6,0.19,2.91,0.05,16.95,6.06,1,61,216,7.97,6.95,0.11,0.58,1.09,0.26,1.1,0.13,0.87,0.01,2.19,0.09,"ASCC_21","CG20"
"OCSN 130,ASCC_41",3,219.18,12.36,116.68,0.17,0.65,0.26,-3.97,0.25,3.38,0.13,-11.19,2.89,1,55,130,7.58,7.9,0.09,0.67,0.98,0.03,2.47,0.08,"nan","nan","nan","nan","ASCC_41","CG20"
"OCSN 131,ASCC_58",3,281.69,1.26,153.68,-55.01,-13.35,0.31,2.71,0.36,2.1,0.06,10.54,4.68,1,122,250,8.8,7.7,0.15,1.06,1.1,0.01,2.66,0.06,1.93,0.02,5.23,0.17,"ASCC_58","CG20"
"OCSN 132,ASCC_99",3,15.86,-7.81,282.15,-18.71,5.22,0.42,-1.43,0.55,3.37,0.08,-29.39,3.36,1,45,103,8.04,8.0,0.28,0.82,0.97,0.01,4.28,0.11,"nan","nan","nan","nan","ASCC_99","CG20"
"OCSN 133,ASCC_101",3,67.99,11.63,288.35,36.34,0.92,0.32,1.23,0.27,2.52,0.04,-18.46,3.25,1,41,72,8.11,8.05,0.08,0.34,0.5,0.01,1.25,0.05,0.95,0.01,1.89,0.06,"ASCC_101","CG20"
"OCSN 134,ASCC_123",3,104.56,-4.24,340.56,53.96,11.95,0.86,-1.25,0.7,4.24,0.2,-4.13,2.78,1,53,125,7.39,7.85,0.2,2.01,2.06,0.19,7.73,2.64,2.85,0.04,7.09,0.33,"ASCC_123","CG20"
"OCSN 135,ASCC_127",3,112.45,4.38,347.29,65.14,7.42,0.26,-1.72,0.32,2.65,0.07,-14.01,3.57,1,50,185,8.3,7.25,0.19,0.93,0.94,0.06,2.15,0.21,1.37,0.01,2.94,0.12,"ASCC_127","CG20"
"OCSN 136,Alcaeus",3,162.2,-16.66,58.48,31.96,6.34,0.48,-9.81,0.54,3.54,0.14,14.21,5.46,1,54,207,7.72,7.25,0.25,1.51,1.68,0.07,6.16,0.5,"nan","nan","nan","nan","Alcaeus","P21"
"OCSN 137,Alessi_3",3,257.57,-15.19,109.18,-46.3,-9.72,0.38,11.92,0.54,3.59,0.16,0.58,1.6,1,66,138,7.18,8.95,0.02,1.21,1.84,0.04,4.46,0.11,2.16,"nan",2.16,"nan","Alessi_3","CG20"
"OCSN 138,Alessi_5",3,288.09,-1.97,160.87,-61.09,-15.36,0.36,2.52,0.35,2.5,0.08,9.65,3.46,1,114,299,8.42,7.75,0.19,0.43,0.66,0.01,1.46,0.03,1.33,0.03,3.79,0.27,"Alessi_5","CG20"
"OCSN 139,Alessi_9",3,344.42,-8.92,265.9,-46.83,9.77,1.16,-9.12,0.76,4.76,0.35,-5.94,2.47,1,96,239,6.72,8.45,0.07,2.32,1.77,0.09,7.88,1.68,3.13,0.03,8.37,0.28,"Alessi_9","CG20"
"OCSN 140,Alessi_10",3,31.65,-21.04,301.24,-10.5,1.45,0.25,-7.94,0.3,2.27,0.08,-16.23,4.05,1,31,92,8.9,7.9,0.24,0.37,0.62,0.01,1.23,0.02,1.21,0.01,2.8,0.1,"Alessi_10","CG20"
"OCSN 141,Alessi_20",3,117.64,-3.68,2.64,58.77,8.12,0.28,-2.42,0.27,2.33,0.05,-10.04,5.41,1,51,180,9.05,6.95,0.32,0.45,0.4,0.01,0.98,0.05,0.63,0.01,1.7,0.12,"Alessi_20","CG20"
"OCSN 142,Alessi_24",3,329.03,-14.59,260.85,-62.66,-0.48,0.2,-8.96,0.18,2.07,0.06,9.67,3.47,1,63,159,8.86,8.15,0.18,0.42,0.83,0.05,2.01,0.14,"nan","nan","nan","nan","Alessi_24","CG20"
"OCSN 143,Aveni_Hunter_1",3,110.26,-12.86,354.16,48.16,0.01,0.43,-2.72,0.77,2.36,0.05,-16.85,5.08,1,31,136,8.48,7.25,0.14,1.35,2.01,0.31,4.22,0.62,"nan","nan","nan","nan","Aveni_Hunter_1","CG20"
"OCSN 144",3,237.47,-10.68,104.21,-26.6,-5.85,0.42,6.07,0.29,2.52,0.12,21.13,4.53,1,81,291,8.07,7.65,0.03,1.9,2.69,0.37,7.46,1.31,"nan","nan","nan","nan","BBJ_2, CWNU_1024","B20, He22b"
"OCSN 145",3,260.54,-8.4,119.8,-45.8,-11.41,0.42,4.65,0.35,3.06,0.11,11.77,4.77,1,107,383,7.89,7.45,0.09,1.92,"nan","nan","nan","nan","nan","nan","nan","nan","BBJ_3, CWNU_1082","B20, He22b"
"OCSN 146,BH_23",3,253.83,-0.97,123.42,-36.18,-7.14,0.25,7.18,0.42,2.26,0.11,23.97,6.37,1,70,292,8.43,7.25,0.07,1.72,2.39,0.28,4.9,0.55,"nan","nan","nan","nan","BH_23","CG20"
"OCSN 147,BH_99",3,286.57,-0.57,159.54,-59.14,-14.48,0.3,1.0,0.37,2.23,0.06,9.82,3.78,1,169,445,8.37,7.75,0.07,0.51,0.68,0.02,1.52,0.06,1.33,0.03,3.72,0.4,"BH_99","CG20"
"OCSN 148,BH_164",3,314.3,-6.17,222.19,-66.41,-7.44,0.43,-10.75,0.31,2.39,0.09,-0.66,4.74,1,62,233,8.4,7.5,0.13,0.51,0.55,0.01,5.21,0.61,"nan","nan","nan","nan","BH_164","CG20"
"OCSN 149,COIN-Gaia_13",3,167.6,4.72,83.22,41.94,-3.88,0.16,-1.7,0.14,1.96,0.07,-13.12,4.54,1,72,168,8.86,8.35,0.13,1.06,"nan","nan","nan","nan","nan","nan","nan","nan","COIN-Gaia_13","CG20"
"OCSN 150,CWNU_216",3,195.21,-17.12,79.42,7.16,2.34,0.29,-3.71,0.29,2.54,0.1,0.45,11.56,1,8,37,9.13,6.7,0.37,0.19,0.3,0.01,0.79,0.07,0.4,0.01,0.86,0.04,"CWNU_216","He22a"
"OCSN 151,CWNU_287",3,282.92,0.97,155.21,-55.94,-14.49,0.25,2.47,0.25,2.28,0.05,8.92,3.27,1,22,53,8.77,7.5,0.17,0.44,0.86,0.06,1.17,0.08,0.93,0.01,2.33,0.18,"CWNU_287","He22a"
"OCSN 152,CWNU_347",3,66.1,5.88,293.54,32.08,2.15,0.56,-1.5,0.38,2.3,0.16,-19.48,2.57,1,41,94,8.64,7.7,0.13,1.05,1.84,0.18,3.33,0.25,"nan","nan","nan","nan","CWNU_347","He22a"
"OCSN 153,CWNU_410",3,222.45,-11.24,96.99,-13.49,-4.39,0.27,3.78,0.29,2.31,0.14,38.33,5.42,1,26,54,8.59,7.6,0.13,0.98,"nan","nan","nan","nan","nan","nan","nan","nan","CWNU_410","He22a"
"OCSN 154,CWNU_450",3,303.76,7.1,194.32,-55.76,-13.54,0.31,-3.69,0.32,2.05,0.05,2.77,7.72,1,16,36,8.79,8.45,0.14,0.68,1.16,0.32,1.94,0.57,1.4,0.01,3.24,0.13,"CWNU_450","He22a"
"OCSN 155,CWNU_462",3,111.34,19.72,315.3,77.05,5.36,0.55,3.81,0.75,2.79,0.23,-16.37,10.32,1,27,69,8.99,7.05,0.45,1.51,1.78,0.02,4.26,0.09,3.25,0.02,7.15,0.16,"CWNU_462","He22a"
"OCSN 156,CWNU_513",3,320.49,-18.36,258.06,-71.62,-3.86,1.02,-14.44,1.26,3.0,0.19,-2.39,2.68,1,24,47,8.11,7.95,0.15,1.29,1.37,0.13,6.45,1.57,"nan","nan","nan","nan","CWNU_513","He22a"
"OCSN 157,CWNU_515",3,279.33,-12.39,131.9,-63.43,-26.77,0.83,15.43,0.94,4.87,0.12,11.13,2.86,1,16,47,6.82,7.45,0.1,0.99,1.49,0.15,2.9,0.32,2.18,0.03,4.82,0.24,"CWNU_515","He22a"
"OCSN 158,CWNU_523",3,113.14,-6.92,355.89,54.66,7.95,0.19,-3.47,0.21,2.52,0.07,-12.07,7.11,2,5,30,7.87,7.2,0.01,0.53,0.61,0.01,1.21,0.04,0.78,0.01,1.92,0.1,"CWNU_523","He22a"
"OCSN 159,CWNU_536",3,256.21,-17.08,105.94,-45.82,-3.17,0.56,3.14,0.68,3.92,0.15,31.7,1.6,1,12,36,7.23,8.0,0.1,1.33,2.51,0.08,5.75,0.2,"nan","nan","nan","nan","CWNU_536","He22a"
"OCSN 160,CWNU_537",3,48.19,15.55,275.33,20.36,-0.78,0.64,-7.72,0.54,3.15,0.19,-17.25,3.17,1,35,92,7.86,7.6,0.13,1.49,2.41,1.16,7.48,10.05,1.35,0.84,1.45,7.54,"CWNU_537","He22a"
"OCSN 161,CWNU_539",3,247.67,-15.44,103.83,-37.6,-8.61,0.53,10.32,0.55,2.18,0.05,28.63,4.64,1,12,29,8.74,8.4,0.17,1.44,1.66,0.06,6.06,0.39,"nan","nan","nan","nan","CWNU_539","He22a"
"OCSN 162,CWNU_1008",3,292.03,0.26,170.16,-60.67,-14.16,0.65,-2.78,0.39,2.16,0.11,6.22,1.77,1,23,72,8.65,7.5,0.13,0.88,1.02,0.03,3.86,0.2,"nan","nan","nan","nan","CWNU_1008","He22b"
"OCSN 163,CWNU_1013",3,245.87,-13.71,104.96,-35.32,-12.14,1.16,8.29,1.0,4.4,0.27,14.63,5.83,1,77,250,6.95,7.55,0.06,4.48,4.95,0.33,18.53,2.4,"nan","nan","nan","nan","CWNU_1013","He22b"
"OCSN 164,CWNU_1015",3,202.85,-25.32,75.89,-3.1,11.64,2.64,-14.6,1.56,5.93,0.38,23.8,7.3,1,68,167,6.24,7.9,0.04,4.41,"nan","nan","nan","nan","nan","nan","nan","nan","CWNU_1015","He22b"
"OCSN 165,CWNU_1020",3,274.06,-5.9,135.33,-55.3,-10.64,0.44,7.61,0.62,2.26,0.09,15.87,4.59,1,43,132,8.52,7.6,0.11,1.21,2.19,0.19,3.88,0.35,2.52,0.03,5.7,0.33,"CWNU_1020","He22b"
"OCSN 166,CWNU_1031",3,257.12,-9.35,116.3,-43.33,-10.16,0.6,-3.11,0.93,3.75,0.32,30.1,3.9,1,39,86,7.63,8.0,0.18,1.87,"nan","nan","nan","nan","nan","nan","nan","nan","CWNU_1031","He22b"
"OCSN 167",3,265.68,-6.51,126.22,-49.07,-10.95,0.65,9.81,0.51,2.66,0.14,22.03,3.59,1,50,142,8.11,7.55,0.08,1.57,3.35,1.44,3.76,0.69,1.95,"nan",1.95,"nan","CWNU_1044","He22b"
"OCSN 168",3,268.99,-6.24,129.58,-51.58,-12.95,0.49,9.91,0.38,2.87,0.09,19.06,4.32,1,56,192,7.88,7.6,0.09,1.18,1.63,0.19,7.02,1.92,2.08,"nan",2.12,"nan","CWNU_1044","He22b"
"OCSN 169,CWNU_1053",3,287.02,2.71,163.16,-56.45,-17.99,0.57,6.31,0.67,1.99,0.09,-2.1,4.26,1,44,98,8.92,7.95,0.13,0.95,1.71,0.03,3.13,0.05,2.46,0.02,4.23,0.12,"CWNU_1053","He22b"
"OCSN 170,CWNU_1054",3,206.11,-11.27,89.73,0.83,-2.18,0.26,-1.94,0.42,2.39,0.1,19.1,5.26,1,24,56,8.97,8.6,0.33,0.87,1.83,0.07,2.61,0.05,"nan","nan","nan","nan","CWNU_1054","He22b"
"OCSN 171,CWNU_1055",3,105.82,8.78,328.25,65.54,5.62,0.42,-0.22,0.48,2.21,0.1,-15.92,12.61,1,25,72,8.78,7.25,0.19,1.09,1.12,0.02,2.33,0.05,1.79,0.01,4.28,0.1,"CWNU_1055","He22b"
"OCSN 172,CWNU_1057",3,209.45,-23.01,80.74,-7.38,-1.08,1.13,-2.68,1.63,6.86,0.51,17.76,2.59,1,32,73,5.9,7.7,0.05,3.9,"nan","nan","nan","nan","nan","nan","nan","nan","CWNU_1057","He22b"
"OCSN 173,CWNU_1076",3,137.93,-2.89,40.93,56.68,8.71,0.24,-3.98,0.6,2.8,0.06,-3.17,1.33,1,36,63,8.02,8.0,0.17,1.68,1.71,0.03,5.59,0.18,1.71,"nan",1.77,"nan","CWNU_1076","He22b"
"OCSN 174,CWNU_1090",3,122.07,16.77,8.28,79.61,23.02,1.18,-2.33,2.73,6.34,0.34,-8.41,6.8,1,20,50,6.13,7.2,0.05,1.33,2.22,0.26,3.24,0.28,2.23,0.03,3.98,0.24,"CWNU_1090","He22b"
"OCSN 175,CWNU_1101",3,265.23,-2.69,130.41,-46.45,-10.61,0.62,1.95,0.36,2.43,0.14,11.72,3.58,1,44,127,8.27,7.55,0.09,1.82,"nan","nan","nan","nan","nan","nan","nan","nan","CWNU_1101","He22b"
"OCSN 176",3,296.42,11.13,182.63,-51.22,-32.88,3.16,-11.74,1.87,8.36,0.8,13.49,4.38,1,168,316,5.35,7.35,0.08,3.18,"nan","nan","nan","nan","nan","nan","nan","nan","CWNU_1136","He22b"
"OCSN 177",3,299.81,-0.67,185.87,-63.37,-37.35,1.36,-11.89,2.43,9.34,0.25,12.36,3.56,1,102,201,5.14,7.15,0.07,2.47,3.4,0.16,4.47,0.14,3.35,0.03,7.22,0.27,"CWNU_1136","He22b"
"OCSN 178",3,302.34,5.19,191.75,-57.67,-34.7,1.86,-14.52,2.26,9.03,0.36,12.22,4.34,1,123,253,5.33,7.3,0.1,2.58,"nan","nan","nan","nan","nan","nan","nan","nan","CWNU_1136","He22b"
"OCSN 179,CWNU_1138",3,309.89,2.66,206.64,-59.47,-13.76,0.28,-6.11,0.31,2.01,0.04,-21.65,4.27,1,31,63,9.19,8.25,0.26,0.58,1.0,0.01,1.98,0.03,1.71,0.02,3.74,0.19,"CWNU_1138","He22b"
"OCSN 180,CWNU_1139",3,291.2,1.56,169.49,-59.16,-23.72,0.4,6.1,0.43,3.78,0.09,13.59,3.43,1,17,39,6.99,8.45,0.01,0.49,0.76,0.01,1.42,0.03,1.14,0.01,2.64,0.09,"CWNU_1139","He22b"
"OCSN 181,CWNU_1142",3,199.16,-23.04,76.23,0.95,-0.07,0.9,-5.38,0.74,3.28,0.25,14.1,3.34,1,91,244,7.53,7.9,0.04,3.12,7.85,0.52,7.36,0.12,"nan","nan","nan","nan","CWNU_1142","He22b"
"OCSN 182,CWNU_1143",3,347.26,20.72,239.37,-25.73,-20.55,2.06,-32.66,1.4,9.19,0.23,-4.36,4.01,1,36,73,5.26,7.4,0.07,2.76,4.26,0.61,8.39,1.65,3.94,0.09,6.13,0.52,"CWNU_1143","He22b"
"OCSN 183,CWNU_1150",3,266.76,-1.77,132.85,-47.07,-12.48,0.61,10.31,0.67,2.0,0.11,14.8,5.1,1,87,204,8.64,7.95,0.06,2.01,"nan","nan","nan","nan","nan","nan","nan","nan","CWNU_1150","He22b"
"OCSN 184,CWNU_1173",3,298.47,-7.91,179.64,-70.33,-13.27,0.57,-0.51,0.44,2.25,0.14,4.38,7.55,1,39,78,8.92,7.55,0.25,1.12,1.26,0.03,4.31,0.24,1.64,0.05,2.35,0.19,"CWNU_1173","He22b"
"OCSN 185,CWNU_1181",3,226.11,-7.31,102.26,-15.03,-0.81,1.22,-5.93,0.59,5.97,0.18,20.72,5.65,1,11,30,6.11,7.45,0.07,0.8,1.48,0.03,3.09,0.08,2.08,0.06,4.33,0.42,"CWNU_1181","He22b"
"OCSN 186,CWNU_1191",3,154.83,4.9,72.39,52.35,9.34,0.76,-16.99,0.73,3.33,0.14,13.92,2.69,1,39,72,7.87,8.0,0.19,1.52,1.71,0.68,3.14,1.82,2.03,0.01,5.89,0.14,"CWNU_1191","He22b"
"OCSN 187,ChaI_north",3,297.04,-14.88,167.55,-76.58,-21.71,0.41,-0.55,0.52,5.19,0.06,10.23,1.78,1,12,33,7.44,6.6,0.37,0.21,0.44,0.03,0.56,0.02,0.46,0.01,0.99,0.08,"ChaI(north)","R18"
"OCSN 188,ChaI_south",3,297.35,-15.91,166.93,-77.64,-22.95,0.57,0.86,0.95,5.3,0.12,14.43,4.47,1,12,61,7.69,6.6,0.54,0.29,0.23,0.01,1.19,0.21,0.36,0.01,1.11,0.12,"ChaI(south)","R18"
"OCSN 189,Collinder_69",3,195.2,-11.98,83.87,9.82,1.25,0.6,-2.02,0.53,2.5,0.09,26.11,5.13,1,208,882,8.27,6.9,0.1,1.21,0.77,0.11,4.13,3.88,1.38,0.01,3.28,0.13,"Collinder_69","CG20"
"OCSN 190,Collinder_135",3,248.89,-11.01,109.52,-36.88,-10.07,0.37,6.24,0.28,3.35,0.11,15.0,3.41,1,91,271,7.64,7.65,0.1,0.94,1.01,0.02,6.15,0.44,"nan","nan","nan","nan","Collinder_135","CG20"
"OCSN 191,Collinder_140",3,244.98,-7.81,110.91,-31.99,-8.06,0.23,4.73,0.23,2.57,0.12,17.78,2.89,1,64,230,8.18,7.5,0.07,1.21,1.39,0.18,3.27,0.6,2.44,0.04,5.33,0.28,"Collinder_140","CG20"
"OCSN 192,Collinder_350",3,26.91,14.74,267.03,1.47,-5.03,0.5,-0.09,0.28,2.74,0.15,-15.0,3.95,1,99,196,9.12,7.85,0.47,0.98,1.23,0.03,3.13,0.12,2.34,0.05,6.48,0.48,"Collinder_350","CG20"
"OCSN 193,epsCha",3,300.35,-15.85,180.34,-78.47,-40.74,1.43,-6.64,2.15,9.78,0.27,-15.0,3.95,1,15,33,5.31,6.9,0.1,0.95,1.45,0.08,3.86,0.4,2.18,0.04,4.21,0.25,"epsCha","DV21"
"OCSN 194",3,205.27,-18.26,83.18,-1.73,-0.06,0.47,-0.26,0.36,2.44,0.09,27.75,6.97,1,110,446,8.42,7.05,0.13,0.69,0.52,0.02,7.96,2.89,"nan","nan","nan","nan","Gulliver_6, UBC_17b","CG20"
"OCSN 195,Gulliver_9",3,265.07,-5.35,127.12,-47.91,-6.05,0.31,6.99,0.34,2.0,0.09,21.91,2.86,1,65,310,9.09,7.25,0.23,1.02,0.97,0.3,2.5,1.85,1.49,0.02,5.61,0.34,"Gulliver_9","CG20"
"OCSN 196,Gulliver_20",3,39.2,13.13,273.84,11.44,1.03,0.19,-6.55,0.22,2.38,0.06,-13.57,3.32,1,23,68,8.53,7.95,0.16,0.75,1.12,0.12,2.55,0.29,"nan","nan","nan","nan","Gulliver_20","CG20"
"OCSN 197,Huluwa_2",3,263.03,-7.86,122.34,-47.62,-5.71,0.12,8.09,0.17,2.58,0.05,21.8,6.42,1,15,56,8.24,7.0,0.1,0.53,0.54,0.01,2.23,0.14,0.58,0.01,1.19,0.04,"Huluwa_2","Pang21"
"OCSN 198",3,265.59,-7.35,125.08,-49.47,-5.9,0.18,7.84,0.14,2.55,0.06,19.94,2.71,1,8,30,10.61,7.4,0.91,0.46,0.5,0.02,2.05,0.22,"nan","nan","nan","nan","Huluwa_2","Pang21"
"OCSN 199",3,263.48,-10.19,119.68,-49.21,-5.39,0.2,8.26,0.2,2.48,0.09,20.49,6.83,1,69,285,8.37,7.1,0.12,1.02,1.23,0.12,2.86,0.44,1.71,0.02,4.36,0.26,"Huluwa_2","Pang21"
"OCSN 200,Huluwa_3",3,260.22,-10.13,117.41,-46.39,-4.64,0.27,8.97,0.41,2.54,0.08,19.44,4.96,1,121,558,8.29,7.05,0.13,1.13,1.07,0.06,3.33,0.63,1.67,0.02,5.66,0.26,"Huluwa_3","Pang21"
"OCSN 201",3,259.04,-2.08,126.0,-41.1,-7.1,0.25,10.02,0.31,2.93,0.1,17.53,5.59,1,49,288,7.69,7.0,0.03,1.71,"nan","nan","nan","nan","nan","nan","nan","nan","Huluwa_4, CWNU_1083","Pang21, He22b"
"OCSN 202,Huluwa_5",3,254.3,2.17,126.93,-34.79,-6.98,0.22,10.84,0.29,2.81,0.04,22.37,3.87,1,26,98,7.93,6.9,0.07,0.47,1.02,0.02,1.31,0.01,1.28,0.01,2.4,0.05,"Huluwa_5","Pang21"
"OCSN 203,IC_348",3,160.49,-17.81,56.14,32.15,4.47,0.55,-6.3,0.57,3.17,0.13,11.18,15.97,1,36,194,7.79,6.25,0.11,0.11,0.14,0.0,0.32,0.0,0.28,0.0,0.63,0.02,"IC_348","CG20"
"OCSN 204,IC_2391",3,270.45,-6.88,130.17,-53.13,-24.77,0.91,23.41,0.98,6.63,0.15,14.78,3.31,1,78,227,6.03,7.6,0.06,0.78,0.99,0.01,2.41,0.05,1.89,0.02,4.81,0.18,"IC_2391","CG20"
"OCSN 205,IC_2602",3,289.6,-4.87,160.77,-64.37,-17.76,1.32,10.61,1.25,6.59,0.19,16.96,4.11,1,140,415,6.07,7.45,0.06,1.54,1.47,0.02,6.93,0.28,"nan","nan","nan","nan","IC_2602","CG20"
"OCSN 206,IC_4665",3,30.55,17.17,266.47,5.7,-0.89,0.25,-8.54,0.24,2.88,0.11,-14.74,3.96,1,56,157,8.33,7.45,0.23,0.46,0.78,0.02,1.75,0.04,"nan","nan","nan","nan","IC_4665","CG20"
"OCSN 207,IC_4756",3,36.33,5.31,279.67,5.43,1.27,0.22,-4.97,0.28,2.1,0.09,-24.96,3.91,1,266,483,8.89,8.95,0.19,0.56,0.58,0.01,2.4,0.1,"nan","nan","nan","nan","IC_4756","CG20"
"OCSN 208,LISC_3534",3,122.35,-12.57,11.97,50.3,7.39,0.18,-3.1,0.24,2.18,0.06,-5.02,5.85,1,75,177,8.72,7.9,0.14,0.93,1.61,0.06,2.44,0.08,1.74,0.03,3.21,0.23,"LISC_3534","Li22"
"OCSN 209,FoF_2383",3,224.19,-13.78,95.35,-16.1,-5.44,0.53,5.13,0.43,2.81,0.19,23.37,3.29,1,157,539,8.02,7.6,0.1,1.92,1.31,0.05,4.32,0.53,2.37,0.06,10.44,1.11,"LP_2383","LP19"
"OCSN 210",3,248.6,-13.47,106.57,-37.65,-9.7,0.32,7.04,0.34,3.59,0.1,16.4,2.86,1,66,241,7.64,7.7,0.17,0.79,0.92,0.07,2.72,0.38,1.87,0.05,5.88,0.62,"LP_2385, UBC_7","LP19, CG20"
"OCSN 211",3,218.62,-1.92,103.75,-5.94,-7.19,0.51,-2.4,0.38,3.49,0.21,22.18,5.93,1,119,447,7.4,7.35,0.07,1.52,1.85,0.18,4.0,0.6,2.47,0.04,7.25,0.49,"LP_2439, Tian_2","LP19, Wang22"
"OCSN 212",3,343.48,4.81,249.9,-39.47,-11.94,0.84,-21.4,0.7,5.69,0.19,1.23,3.24,1,200,589,6.36,7.2,0.1,1.34,1.37,0.04,4.29,0.28,2.19,0.03,4.79,0.26,"LP_2442, UPK_640","LP19, Sim19"
"OCSN 213,L_1641S",3,212.46,-18.98,85.64,-8.13,0.1,0.27,-0.33,0.32,2.35,0.07,15.67,12.32,1,30,160,9.46,6.7,0.48,0.24,0.29,0.04,0.74,0.17,0.49,0.01,1.25,0.09,"L_1641S","CG20"
"OCSN 214",3,339.53,9.4,242.13,-39.09,-9.87,0.8,-23.49,0.7,6.27,0.11,-1.26,4.59,1,16,57,6.41,6.65,0.19,0.27,0.28,0.0,0.9,0.02,0.64,0.01,1.62,0.07,"Lupus_3, CWNU_1014","G20b, He22b"
"OCSN 215,Mamajek_1",3,292.45,-21.61,130.64,-78.98,-29.31,1.99,27.48,1.32,10.16,0.15,16.0,2.63,2,9,15,5.02,6.9,0.04,0.11,0.86,0.18,0.93,0.09,0.86,0.01,1.83,0.1,"Mamajek_1","CG20"
"OCSN 216",3,17.05,12.55,264.3,-7.97,-10.48,1.38,-20.12,1.68,4.98,0.31,-18.8,3.33,1,54,127,7.17,8.1,0.27,2.0,2.14,0.24,6.66,2.19,2.92,0.06,7.26,0.57,"Mamajek_2, UPK_15","Sim19"
