"Name","OCFlag","GLON","GLAT","RA_ICRS","DE_ICRS","pmRA","e_pmRA","pmDE","e_pmDE","plx","e_plx","RV","e_RV","f_RV","NRV","N","m-M","logt","E(B-V)","rh","rc","e_rc","rt","e_rt","ro","e_ro","re","e_re","RefName","r_RefName"
"OCSN 257,RSG_7",3,108.87,0.19,343.92,59.87,4.79,0.13,-2.19,0.19,2.37,0.05,-9.82,5.78,1,26,63,8.83,7.9,0.25,0.51,0.85,0.05,1.84,0.11,"nan","nan","nan","nan","RSG_7","CG20"
"OCSN 258,RSG_8",3,109.04,-0.57,344.85,59.25,5.67,0.45,-1.54,0.38,2.15,0.15,-7.96,7.39,1,110,462,9.11,7.3,0.28,1.56,2.86,0.28,4.24,0.23,"nan","nan","nan","nan","RSG_8","CG20"
"OCSN 259,Roslund_6",3,78.75,0.57,307.4,40.0,5.95,0.3,2.15,0.24,2.83,0.06,-8.19,3.15,1,110,218,7.97,7.9,0.08,0.97,1.49,0.08,2.81,0.19,1.93,0.07,4.73,0.8,"Roslund_6","CG20"
"OCSN 260,Ruprecht_98",3,297.35,-2.3,179.77,-64.6,-4.0,0.51,-8.66,0.33,2.11,0.05,-5.75,3.82,1,56,99,8.79,8.85,0.17,0.66,0.7,0.02,5.38,0.56,"nan","nan","nan","nan","Ruprecht_98","CG20"
"OCSN 261,Ruprecht_147",3,20.84,-12.79,289.07,-16.42,-0.91,0.33,-26.7,0.59,3.27,0.09,41.77,2.35,1,97,143,7.54,9.45,0.08,0.63,0.9,0.02,1.76,0.08,1.3,0.05,4.41,0.7,"Ruprecht_147","CG20"
"OCSN 262",3,206.82,-17.33,84.69,-2.6,1.61,0.52,-0.56,0.47,2.48,0.08,28.56,9.83,1,48,187,8.14,6.7,0.07,0.23,0.18,0.03,1.14,1.2,0.23,0.0,0.46,0.01,"Sigma_Ori, UBC_205","CG20"
"OCSN 263,Stephenson_1",3,66.89,15.33,283.6,36.87,1.15,0.2,-3.07,0.23,2.8,0.05,-18.46,2.84,1,53,148,7.61,7.65,0.05,0.36,0.42,0.01,1.16,0.06,0.66,0.01,1.48,0.12,"Stephenson_1","CG20"
"OCSN 264,Stock_1",3,60.24,2.09,294.11,25.13,6.0,0.35,0.16,0.48,2.45,0.08,-19.23,2.79,1,97,172,8.0,8.8,0.08,0.74,0.96,0.02,3.08,0.15,2.2,0.05,4.87,0.52,"Stock_1","CG20"
"OCSN 265,Stock_2",3,133.42,-1.63,33.88,59.52,15.82,0.89,-13.78,0.78,2.68,0.09,8.57,3.66,1,686,1328,8.48,8.55,0.25,0.98,0.94,0.06,3.23,0.48,2.12,0.13,8.69,1.89,"Stock_2","CG20"
"OCSN 266,Stock_10",3,171.8,3.56,84.88,37.78,-3.16,0.23,-0.43,0.21,2.8,0.09,-13.58,4.13,1,62,168,8.11,7.95,0.16,0.67,0.84,0.01,2.63,0.06,1.84,0.03,3.27,0.16,"Stock_10","CG20"
"OCSN 267,Stock_12",3,111.49,-8.52,353.99,52.66,8.53,0.22,-1.93,0.18,2.29,0.05,-4.63,3.06,1,65,119,8.55,8.0,0.13,0.5,0.7,0.04,1.7,0.14,1.32,0.04,2.84,0.31,"Stock_12","CG20"
"OCSN 268,Taurua_Group1",3,168.72,-15.78,64.39,28.25,8.83,0.94,-25.5,1.16,7.63,0.21,15.91,3.02,1,14,47,6.42,6.65,0.25,0.73,"nan","nan","nan","nan","nan","nan","nan","nan","Taurua_Group1","Liu21"
"OCSN 269,Taurua_Group10",3,180.67,-5.69,81.42,25.31,3.78,0.93,-25.57,1.17,6.1,0.4,12.75,20.62,2,18,44,6.36,7.25,0.14,1.17,1.54,0.02,4.33,0.14,2.36,0.03,5.48,0.31,"Taurua_Group10","Liu21"
"OCSN 270,Taurua_Group11",3,183.5,-4.62,84.09,23.53,6.22,1.67,-37.69,1.59,9.27,0.26,12.58,2.89,1,16,36,5.22,7.0,0.03,1.73,3.05,0.06,6.87,0.14,"nan","nan","nan","nan","Taurua_Group11","Liu21"
"OCSN 271,Taurua_Group14",3,176.69,-15.75,70.02,22.5,-0.95,1.12,-14.63,0.98,8.08,0.2,14.24,2.9,1,19,40,5.36,7.55,0.04,2.99,"nan","nan","nan","nan","nan","nan","nan","nan","Taurua_Group14","Liu21"
"OCSN 272,Taurua_Group18",3,162.97,-13.68,61.52,33.66,19.33,1.04,-23.68,1.07,5.65,0.17,13.87,9.78,1,12,41,7.73,7.8,0.52,3.31,"nan","nan","nan","nan","nan","nan","nan","nan","Taurua_Group18","Liu21"
"OCSN 273",3,173.08,-7.98,74.35,30.1,4.27,0.62,-25.44,0.96,6.34,0.27,12.36,3.52,1,21,56,6.7,7.0,0.31,2.76,4.48,1.33,8.62,3.03,4.68,0.25,8.18,1.41,"Taurua_Group7, Taurua_Group8","Liu21"
