"Cluster","RA_ICRS","DE_ICRS","GLON","GLAT","r50","nbstars07","pmRA*","pmDE","plx","Flag","AgeNN","AVNN","DMNN","DistPc"
"NGC_2437         ",115.445,-14.844,231.889,4.051,0.211,1733,-3.838,0.365,0.603,"NN            ",8.48,0.73,10.9,1511
"NGC_2439         ",115.194,-31.694,246.446,-4.462,0.071,489,-2.283,3.159,0.232,"NN            ",7.07,1.33,12.85,3707
"NGC_2447         ",116.141,-23.853,240.043,0.149,0.202,731,-3.551,5.068,0.968,"NN            ",8.76,0.05,10.04,1018
"NGC_2448         ",116.034,-24.837,240.846,-0.427,0.267,121,-3.432,2.941,0.878,"NN            ",7.98,0.12,10.26,1128
"NGC_2451A        ",115.736,-38.264,252.431,-7.276,1.146,331,-21.116,15.328,5.165,"NN            ",7.55,0,6.46,195
"NGC_2451B        ",116.128,-37.954,252.309,-6.856,0.625,283,-9.671,4.702,2.719,"NN            ",7.61,0.18,7.79,361
"NGC_2453         ",116.894,-27.194,243.273,-0.941,0.033,108,-2.336,3.414,0.205,"NN            ",7.4,1.26,13.26,4486
"NGC_2455         ",117.284,-21.298,238.364,2.346,0.093,106,-2.76,2.712,0.294,"NN            ",8.51,0.62,12.45,3090
"NGC_2477         ",118.046,-38.537,253.571,-5.838,0.15,1713,-2.449,0.87,0.665,"NN            ",9.05,0.68,10.8,1442
"NGC_2479         ",118.762,-17.732,235.998,5.359,0.075,126,-4.318,1.053,0.626,"NN            ",8.99,0.15,10.97,1562
"NGC_2482         ",118.787,-24.263,241.624,2.022,0.149,115,-4.722,2.189,0.72,"NN            ",8.54,0.32,10.54,1285
"NGC_2489         ",119.064,-30.06,246.71,-0.77,0.066,250,-2.529,2.102,0.465,"NN            ",8.39,1.19,11.79,2276
"NGC_2506         ",120.01,-10.773,230.57,9.938,0.088,1468,-2.571,3.912,0.292,"NN            ",9.22,0.09,12.52,3191
"NGC_2509         ",120.201,-19.056,237.844,5.847,0.06,222,-2.708,0.764,0.363,"NN            ",9.18,0.23,11.99,2495
"NGC_2516         ",119.527,-60.8,273.861,-15.873,0.496,652,-4.748,11.221,2.417,"NN            ",8.38,0.11,8.14,423
"NGC_2527         ",121.246,-28.122,246.069,1.872,0.408,340,-5.549,7.275,1.536,"NN            ",8.84,0.36,9.11,664
"NGC_2533         ",121.773,-29.872,247.792,1.32,0.055,86,-3.189,5.041,0.329,"NN            ",9.02,0.9,12.1,2631
"NGC_2539         ",122.658,-12.834,233.721,11.106,0.187,485,-2.331,-0.584,0.754,"NN            ",8.84,0.11,10.45,1228
"NGC_2546         ",123.082,-37.661,254.919,-2.009,0.229,122,-3.757,3.862,1.034,"NN            ",8.15,0.43,9.85,934
"NGC_2547         ",122.525,-49.198,264.446,-8.595,0.283,215,-8.609,4.262,2.553,"NN            ",7.51,0.14,7.99,396
"NGC_2548         ",123.412,-5.726,227.842,15.39,0.369,454,-1.313,1.029,1.289,"NN            ",8.59,0.15,9.44,772
"NGC_2567         ",124.645,-30.631,249.793,2.975,0.064,67,-2.955,2.58,0.542,"NN            ",8.5,0.49,11.19,1726
"NGC_2571         ",124.723,-29.775,249.121,3.511,0.127,150,-4.902,4.246,0.732,"NN            ",7.43,0.29,10.62,1329
"NGC_2580         ",125.371,-30.306,249.878,3.674,0.036,27,-2.307,1.91,0.194,"NN            ",8.73,0.32,13.09,4154
"NGC_2587         ",125.861,-29.503,249.457,4.48,0.116,122,-4.248,3.586,0.295,"NN            ",8.5,0.45,12.53,3206
"NGC_2588         ",125.797,-32.972,252.279,2.454,0.019,34,-1.884,2.521,0.199,"NN            ",8.74,0.8,13.35,4673
"NGC_2627         ",129.309,-29.952,251.579,6.65,0.087,313,-2.381,2.879,0.521,"NN            ",9.27,0.15,11.32,1837
"NGC_2632         ",130.054,19.621,205.952,32.428,0.985,685,-36.09,-12.919,5.361,"NN            ",8.83,0,6.31,183
"NGC_2635         ",129.619,-34.777,255.61,3.96,0.057,136,-2.503,2.185,0.142,"manual        ",8.6,0.9,13.5,5011
"NGC_2645         ",129.774,-46.235,264.793,-2.903,0.043,36,-5.887,5.071,0.523,"NN            ",7.41,1,11.23,1763
