"Cl","RA_ICRS","e_RA_ICRS","DE_ICRS","e_DE_ICRS","plx","e_plx","pmRA","e_pmRA","pmDE","e_pmDE","r50","N85","dmode","Rgc","logAge","e_logAge","Dist","e_Dist","Avmag","e_Avmag"
"NGC 2383        ",111.178,0.017,-20.946,0.02,0.311,0.032,-1.622,0.043,1.905,0.054,0.038,269,3.209,10.464,"nan","nan","nan","nan","nan","nan"
"NGC 2384        ",111.316,0.102,-20.987,0.114,0.364,0.037,-2.292,0.043,3.131,0.058,0.153,183,2.781,10.141,"nan","nan","nan","nan","nan","nan"
"NGC 2414        ",113.293,0.03,-15.449,0.023,0.189,0.033,-1.422,0.068,1.422,0.057,0.067,265,5.204,12.238,"nan","nan","nan","nan","nan","nan"
"NGC 2420        ",114.603,0.036,21.576,0.033,0.391,0.056,-1.192,0.109,-2.118,0.083,0.08,634,2.57,10.625,"nan","nan","nan","nan","nan","nan"
"NGC 2421        ",114.05,0.046,-20.628,0.056,0.374,0.057,-3.134,0.06,3.096,0.092,0.087,441,2.712,10.062,"nan","nan","nan","nan","nan","nan"
"NGC 2422        ",114.156,0.168,-14.495,0.16,2.098,0.063,-7.042,0.195,1.003,0.156,0.279,518,0.475,8.606,"nan","nan","nan","nan","nan","nan"
"NGC 2437        ",115.446,0.118,-14.845,0.109,0.635,0.049,-3.832,0.106,0.365,0.11,0.22,1796,1.566,9.345,"nan","nan","nan","nan","nan","nan"
"NGC 2439        ",115.19,0.041,-31.694,0.036,0.265,0.032,-2.283,0.044,3.17,0.055,0.104,766,3.814,10.421,"nan","nan","nan","nan","nan","nan"
"NGC 2447        ",116.136,0.109,-23.853,0.093,1.0,0.05,-3.561,0.12,5.08,0.11,0.187,731,1.004,8.844,"nan","nan","nan","nan","nan","nan"
"NGC 2451B       ",116.134,0.398,-37.939,0.158,2.759,0.088,-9.609,0.227,4.824,0.225,0.32,105,0.362,8.417,"nan","nan","nan","nan","nan","nan"
"NGC 2453        ",116.899,0.012,-27.195,0.012,0.233,0.042,-2.355,0.073,3.42,0.054,0.035,163,4.27,10.908,"nan","nan","nan","nan","nan","nan"
"NGC 2467        ",118.18,0.022,-26.374,0.063,0.191,0.019,-2.554,0.08,2.578,0.079,0.088,318,5.169,11.592,"nan","nan","nan","nan","nan","nan"
"NGC 2477        ",118.042,0.149,-38.539,0.115,0.694,0.048,-2.457,0.119,0.874,0.133,0.184,2434,1.444,8.815,"nan","nan","nan","nan","nan","nan"
"NGC 2482        ",118.769,0.07,-24.262,0.097,0.751,0.041,-4.685,0.056,2.222,0.091,0.132,124,1.332,9.009,"nan","nan","nan","nan","nan","nan"
"NGC 2489        ",119.064,0.05,-30.062,0.028,0.493,0.038,-2.527,0.061,2.109,0.08,0.071,370,2.029,9.291,"nan","nan","nan","nan","nan","nan"
"NGC 2506        ",120.008,0.044,-10.773,0.04,0.317,0.064,-2.568,0.108,3.917,0.078,0.09,1427,3.169,10.56,"nan","nan","nan","nan","nan","nan"
"NGC 2516        ",119.509,0.212,-60.801,0.336,2.446,0.057,-4.707,0.352,11.17,0.328,0.478,1169,0.409,8.283,"nan","nan","nan","nan","nan","nan"
"NGC 2527        ",121.283,0.136,-28.139,0.169,1.571,0.047,-5.604,0.069,7.293,0.13,0.238,213,0.636,8.577,"nan","nan","nan","nan","nan","nan"
"NGC 2533        ",121.772,0.061,-29.869,0.023,0.352,0.033,-3.188,0.082,5.055,0.043,0.078,161,2.822,9.724,"nan","nan","nan","nan","nan","nan"
"NGC 2539        ",122.649,0.082,-12.827,0.091,0.784,0.063,-2.338,0.098,-0.572,0.078,0.202,558,1.272,9.093,"nan","nan","nan","nan","nan","nan"
"NGC 2546        ",123.122,0.205,-37.669,0.216,1.062,0.037,-3.754,0.102,3.902,0.098,0.326,370,0.941,8.593,"nan","nan","nan","nan","nan","nan"
"NGC 2547        ",122.538,0.119,-49.217,0.073,2.588,0.105,-8.559,0.268,4.314,0.214,0.2,205,0.387,8.346,"nan","nan","nan","nan","nan","nan"
"NGC 2548        ",123.384,0.194,-5.732,0.161,1.321,0.075,-1.294,0.137,0.999,0.086,0.349,436,0.756,8.805,"nan","nan","nan","nan","nan","nan"
"NGC 2567        ",124.639,0.069,-30.625,0.051,0.576,0.036,-2.993,0.063,2.586,0.081,0.104,268,1.732,9.044,"nan","nan","nan","nan","nan","nan"
"NGC 2571        ",124.725,0.067,-29.799,0.053,0.756,0.041,-4.936,0.088,4.25,0.096,0.099,126,1.316,8.853,"nan","nan","nan","nan","nan","nan"
"NGC 2627        ",129.31,0.049,-29.948,0.045,0.553,0.035,-2.378,0.079,2.875,0.077,0.088,376,1.796,9.023,"nan","nan","nan","nan","nan","nan"
"NGC 2632        ",130.056,0.551,19.623,0.531,5.385,0.098,-35.964,0.629,-12.918,0.61,1.011,702,0.186,8.441,"nan","nan","nan","nan","nan","nan"
