"Cl","RA_ICRS","e_RA_ICRS","DE_ICRS","e_DE_ICRS","plx","e_plx","pmRA","e_pmRA","pmDE","e_pmDE","r50","N85","dmode","Rgc","logAge","e_logAge","Dist","e_Dist","Avmag","e_Avmag"
"VDBH 99",159.494,0.268,-59.107,0.101,2.254,0.08,-14.491,0.246,1.008,0.196,0.238,214,0.444,8.185,"nan","nan","nan","nan","nan","nan"
"XDOCC-1        ",19.898,0.41,58.353,0.049,1.26,0.064,-1.683,0.109,-0.343,0.062,0.17,22,0.797,8.801,"8.527","0.079","813.436","23.838","0.695",0.088
"XDOCC-2        ",84.049,0.154,34.298,0.068,0.801,0.052,0.285,0.109,-2.295,0.073,0.142,26,1.261,9.567,"7.54","0.092","1330.616","53.24","0.571",0.053
"XDOCC-3        ",107.01,0.181,-13.05,0.156,0.876,0.044,-3.319,0.363,0.546,0.126,0.205,25,1.14,8.945,"7.28","0.093","1175.83","56.035","0.712",0.073
"XDOCC-4        ",118.827,0.192,-24.17,0.19,0.333,0.043,-2.71,0.079,3.063,0.086,0.214,60,3.023,10.065,"7.785","0.12","2891.227","107.557","0.525",0.118
"XDOCC-5        ",121.754,0.095,-29.901,0.092,0.598,0.018,-3.656,0.045,3.562,0.034,0.115,19,1.637,9.056,"8.182","0.116","1575.753","59.732","0.244",0.055
"XDOCC-6        ",130.932,0.066,-48.151,0.018,0.768,0.035,-6.375,0.115,3.607,0.095,0.057,33,1.299,8.474,"7.928","0.182","1399.138","63.959","1.017",0.116
"XDOCC-7        ",159.481,0.23,-58.723,0.102,2.281,0.038,-14.316,0.229,0.925,0.229,0.151,21,0.436,8.01,"7.859","0.076","460.094","10.037","0.579",0.049
"XDOCC-8        ",270.759,0.103,-22.727,0.108,0.735,0.047,0.67,0.112,-2.575,0.084,0.122,51,1.349,6.787,"7.519","0.192","1511.888","137.946","2.499",0.23
"XDOCC-9        ",293.596,0.15,24.998,0.409,1.828,0.043,-0.458,0.096,-8.74,0.374,0.66,47,0.55,8.04,"7.997","0.091","552.704","15.625","0.659",0.078
"XDOCC-10        ",305.421,0.18,37.292,0.129,0.508,0.055,-2.387,0.11,-5.234,0.116,0.157,40,1.919,7.869,"7.364","0.328","1994.895","144.716","3.973",0.175
"XDOCC-11        ",317.734,0.039,47.722,0.068,0.474,0.039,-1.006,0.053,-1.736,0.052,0.103,21,2.064,8.538,"8.135","0.11","1761.905","89.269","1.372",0.099
