"Cluster","RA","DEC","GLON","GLAT","Class","Diam","Dist","E(B-V)","n_E(B-V)","Age","pmRA","e_pmRA","pmDE","e_pmDE","pmGLON","pmGLAT","Nc","r_pmRA","RV","e_RV","o_RV","r_RV","[Fe/H]","e_[Fe/H]","o_[Fe/H]","RAJ2000","DEJ2000"
"NGC 1931","05 31 25","+34 14 42",173.8977,0.2813,"nan",5.0,3086.0,0.738,"nan",7.002,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",82.85421,34.24499
"NGC 1963","05 32 17","-36 23 30",240.9922,-30.8693," p",13.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",83.07087,-36.39163
"Berkeley 20","05 33 00","+00 13 00",203.5053,-17.2751,"nan",2.0,8400.0,0.12,"nan",9.78,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",-0.75,"nan",3.0,83.25001,0.21668
"Dol-Dzim 3","05 33 42","+26 29 00",180.6765,-3.538,"nan",10.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",83.42497,26.48334
"Collinder 69","05 35 06","+09 56 00",195.0477,-12.0035,"nan",70.0,441.0,0.103,"nan",7.05,0.45,2.8,-2.4,2.8,2.29,-0.84,40.0," TYC","nan","nan","nan","nan","nan","nan","nan",83.77499,9.93338
"NGC 1981","05 35 09","-04 25 54",208.0924,-18.9761,"nan",28.0,"nan","nan","nan","nan",-0.58,1.83,0.8,1.83,-0.98,-0.15,8.0," TYC","nan","nan","nan","nan","nan","nan","nan",83.78747,-4.43168
"NGC 1976","05 35 16","-05 23 24",209.0101,-19.3859,"nan",47.0,399.0,0.05,"nan",7.11,1.67,2.24,-0.3,2.24,1.02,1.35,22.0," TYC","nan","nan","nan","nan","nan","nan","nan",83.81667,-5.38999
"NGC 1977","05 35 16","-04 49 12",208.472,-19.1273,"nan",20.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",83.81663,-4.81996
"NGC 1980","05 35 24","-05 54 54",209.523,-19.5931,"nan",20.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",83.84998,-5.91498
"Collinder 70","05 35 30","-01 06 00",205.0299,-17.351," o",140.0,387.0,0.042,"nan",6.98,0.15,2.47,-0.7,2.47,0.69,-0.2,130.0," TYC","nan","nan","nan","nan","nan","nan","nan",83.87499,-1.10004
"Dol-Dzim 4","05 35 54","+25 57 00",181.393,-3.4099," nf",25.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",83.97501,25.95004
"NGC 1960","05 36 18","+34 08 24",174.5345,1.072,"nan",10.0,1318.0,0.222,"nan",7.468,0.15,1.63,-4.05,1.63,3.49,-2.05,30.0," TYC",-4.0,13.0,"nan"," RGDZ","nan","nan","nan",84.07499,34.14
"NGC 1996","05 38 10","+25 49 00",181.779,-3.0506," n",15.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",84.54158,25.81669
"Sigma Orionis","05 38 42","-02 36 00",206.8107,-17.3462,"nan",10.0,"nan","nan","nan","nan",1.68,0.48,1.73,0.4,-0.75,2.29,7.0," BDW","nan","nan","nan","nan","nan","nan","nan",84.67499,-2.60004
"Stock 10","05 39 00","+37 56 00",171.6183,3.5616,"nan",25.0,380.0,0.065,"nan",8.35,-2.78,2.46,-2.6,2.46,0.73,-3.74,30.0," TYC","nan","nan","nan","nan","nan","nan","nan",84.75001,37.93334
"NGC 2017","05 39 17","-17 50 48",221.6228,-23.7081," p",6.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",84.8208,-17.84672
"Berkeley 71","05 41 18","+32 23 00",176.5782,1.0188,"nan",5.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",85.325,32.38334
"NGC 2061","05 42 41","-34 00 12",238.9164,-28.2318," n",16.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",85.67085,-34.00335
"NGC 2026","05 43 12","+20 08 00",187.2342,-5.0592," n",11.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",85.79997,20.13328
