"Cluster","RA","DEC","GLON","GLAT","Class","Diam","Dist","E(B-V)","n_E(B-V)","Age","pmRA","e_pmRA","pmDE","e_pmDE","pmGLON","pmGLAT","Nc","r_pmRA","RV","e_RV","o_RV","r_RV","[Fe/H]","e_[Fe/H]","o_[Fe/H]","RAJ2000","DEJ2000"
"NGC 3036","09 49 16","-62 40 18",283.6614,-6.8303,"nan",4.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",147.31661,-62.67162
"Pismis 16","09 51 16","-53 10 00",277.8287,0.689,"nan",2.0,1824.0,0.557,"nan",7.839,"nan","nan","nan","nan","nan","nan","nan","nan",11.0,4.4,"nan"," RGDZ","nan","nan","nan",147.81666,-53.16666
"Hogg 2","09 51 32","-56 19 00",279.8417,-1.7343," nf",6.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",147.88332,-56.3166
"Collinder 213","09 54 43","-50 55 00",276.8351,2.7765,"nan",17.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",148.67914,-50.91662
"ESO 435-09","09 55 33","-28 59 12",262.7188,19.8342,"nan",14.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",148.8875,-28.98663
"Ruprecht 160","09 56 22","-47 02 00",274.6338,5.9916,"nan",2.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",149.09162,-47.03335
"Hogg 3","09 57 39","-54 41 00",279.507,0.0838," nf",2.0,"nan",0.15,"nan",7.88,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",149.41248,-54.68329
"Hogg 4","09 57 45","-54 36 00",279.4675,0.1585," nf",4.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",149.43748,-54.60004
"ESO 435-17","09 58 45","-30 54 36",264.6021,18.8234," d",4.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",149.68751,-30.91001
"NGC 3105","10 00 39","-54 47 18",279.9147,0.2636,"nan",2.0,4884.0,0.989,"nan",7.236,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",150.16252,-54.78831
"BH 84","10 01 19","-58 13 00",282.055,-2.4166,"nan",4.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",150.32916,-58.21664
"Ruprecht 85","10 01 26","-55 07 00",280.2023,0.0692,"nan",3.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",150.35834,-55.11673
"Ruprecht 86","10 01 36","-59 28 00",282.8378,-3.3927," nf",12.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",150.40001,-59.46669
"BH 85","10 01 52","-49 34 00",276.9144,4.5436,"nan",3.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",150.46665,-49.56667
"NGC 3114","10 02 36","-60 07 12",283.3317,-3.8395,"nan",35.0,911.0,0.069,"nan",8.093,-7.54,2.26,3.5,2.26,-8.13,-1.72,120.0," TYC",1.0,2.0,"nan"," RGDZ",0.022,0.07,5.0,150.65003,-60.11997
"Loden 28","10 03 12","-58 09 00",282.2139,-2.2145," d","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",150.8,-58.15004
"ESO 092-05","10 03 14","-64 45 12",286.185,-7.502," d",5.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",150.80833,-64.75328
"ESO 435-33","10 03 54","-32 03 12",266.2644,18.6379,"nan",3.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",150.97501,-32.05334
"BH 87","10 04 18","-55 26 00",280.7188,0.059,"nan",3.0,"nan",0.1,"nan",8.18,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",151.07495,-55.43335
"Schuster 1","10 04 36","-55 50 00",280.9899,-0.2381," nf",1.2,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",151.1499,-55.83331
"Trumpler 11","10 04 54","-61 36 00",284.4422,-4.8606,"nan",5.0,3100.0,0.21,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",151.22493,-61.59997
"Loden 1","10 05 03","-55 48 00",281.0212,-0.1738," d","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",151.26252,-55.79998
"Hogg 5","10 06 21","-60 23 00",283.8635,-3.7752," nf",3.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",151.58743,-60.38334
"Trumpler 12","10 06 29","-60 18 00",283.8278,-3.6981,"nan",4.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",151.62084,-60.30003
"BH 88","10 06 30","-51 34 00",278.6997,3.3735," d",4.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",151.62502,-51.56668
"Hogg 6","10 06 37","-60 30 00",283.9589,-3.8502," nf",3.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",151.65411,-60.49997
"Ruprecht 161","10 08 46","-61 15 00",284.6113,-4.3057," d",32.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",152.19172,-61.24997
"ESO 435-48","10 09 35","-28 21 30",264.8199,22.2888," d",4.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",152.39581,-28.35833
"Loden 27","10 11 06","-56 36 00",282.171,-0.3346," d",14.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",152.77506,-56.59999
"BH 90","10 11 54","-58 04 00",283.0985,-1.476,"nan",4.0,2572.0,0.526,"nan",7.943,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",152.97488,-58.06668
"ESO 436-02","10 14 03","-29 11 24",266.2067,22.2382,"nan",5.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",153.51254,-29.18996
"ESO 092-18","10 14 58","-64 36 42",287.1283,-6.6552,"nan",5.0,10607.0,0.5,"nan",9.024,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",153.74174,-64.61167
"Ruprecht 87","10 15 32","-50 43 00",279.3723,4.8834,"nan",4.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",153.88342,-50.71666
"Alessi 4","10 16 13","-34 21 00",269.8936,18.3796,"nan",40.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",154.05411,-34.35
"BH 91","10 17 18","-58 42 00",284.0403,-1.6011,"nan",5.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",154.32505,-58.69998
"Ruprecht 88","10 18 55","-63 08 00",286.6608,-5.1861,"nan",5.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",154.72925,-63.13332
"BH 92","10 19 07","-56 25 00",282.9835,0.4376,"nan",2.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",154.77909,-56.41664
"NGC 3228","10 21 22","-51 43 42",280.6971,4.5453,"nan",5.0,544.0,0.028,"nan",7.932,-15.64,0.43,-0.05,0.38,-13.1,-8.55,4.0," BDW","nan","nan","nan","nan","nan","nan","nan",155.34173,-51.72834
"ESO 062-08","10 21 39","-69 20 06",290.3386,-10.2121,"nan",5.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",155.41239,-69.33497
"Loden 46","10 23 00","-54 48 00",282.5659,2.0928," nf","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",155.75002,-54.80005
"Trumpler 13","10 23 48","-60 08 00",285.5153,-2.3525,"nan",5.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",155.94998,-60.13332
"Westerlund 2","10 24 02","-57 46 00",284.2758,-0.3359,"nan",2.0,1874.0,0.785,"nan",7.215,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",156.00827,-57.76665
"NGC 3247","10 25 51","-57 55 24",284.5638,-0.3403,"nan",4.0,1547.0,0.221,"nan",8.083,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",156.46244,-57.92329
"NGC 3255","10 26 31","-60 40 36",286.0885,-2.635,"nan",2.0,1445.0,0.25,"nan",8.3,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",156.62912,-60.67669
"NGC 3231","10 26 58","+66 48 42",141.9583,44.6064," n",2.5,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",156.74169,66.8117
"IC 2581","10 27 29","-57 37 00",284.588,0.035,"nan",5.0,2446.0,0.415,"nan",7.142,-8.66,2.93,2.0,2.93,-8.43,-2.82,10.0," TYC",-6.0,7.0,"nan"," RGDZ",-0.34,0.06,"nan",156.87087,-57.61671
"Ruprecht 89","10 28 26","-58 11 00",284.9912,-0.3827," nf",4.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",157.10837,-58.18338
"Loden 172","10 28 27","-60 40 00",286.2852,-2.5025," nf","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",157.11255,-60.66667
"Loden 143","10 28 54","-58 47 00",285.3549,-0.8638," d",25.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",157.22501,-58.78338
"Hogg 7","10 29 05","-60 45 00",286.3948,-2.5335," nf",4.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",157.27087,-60.75004
"Hogg 8","10 29 10","-60 59 00",286.5245,-2.7278," nf",3.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",157.29158,-60.98335
"Loden 89","10 29 12","-56 47 00",284.3529,0.8676," nf","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",157.29996,-56.78336
"Loden 59","10 30 18","-54 08 00",283.1176,3.2178," nf","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",157.57495,-54.13327
"Collinder 223","10 30 30","-59 49 00",286.0633,-1.6434,"nan",9.0,1686.0,0.263,"nan",7.014,"nan","nan","nan","nan","nan","nan","nan","nan",2.0,1.0,"nan"," RGDZ","nan","nan","nan",157.62506,-59.81665
"Ruprecht 90","10 30 50","-58 14 00",285.2877,-0.2623," nf",5.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",157.70835,-58.23331
"ESO 168-04","10 30 53","-53 52 00",283.054,3.4906," nf",3.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",157.72087,-53.86664
"Loden 112","10 32 24","-56 42 00",284.6869,1.1641," d","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",158.09994,-56.69995
"Loden 165","10 34 42","-58 39 00",285.9349,-0.3655," nf","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",158.67496,-58.64996
"Loden 153","10 34 42","-58 08 00",285.6766,0.0819," d","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",158.67503,-58.13335
"Bochum 9","10 35 46","-60 07 00",286.7838,-1.5693,"nan",15.0,4600.0,0.63,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",158.94168,-60.11662
"NGC 3293","10 35 51","-58 13 48",285.8562,0.0736,"nan",6.0,2327.0,0.263,"nan",7.014,-7.53,0.4,3.1,0.32,-8.08,-1.05,3.0," BDW",-13.0,8.0,"nan"," RGDZ","nan","nan","nan",158.96255,-58.23003
"Loden 213","10 36 14","-61 51 00",287.6939,-3.0461," nf","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",159.05826,-61.85001
"Carraro 1","10 37 00","-58 44 00",286.2357,-0.2896,"nan",4.0,1900.0,0.25,"nan",9.48,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",159.24997,-58.73337
"NGC 3324","10 37 20","-58 38 30",286.2283,-0.1884,"nan",12.0,2317.0,0.438,"nan",6.754,-7.46,0.53,3.11,0.44,-8.03,-0.96,1.0," BDW","nan","nan","nan","nan","nan","nan","nan",159.3334,-58.64163
"BH 99","10 37 54","-59 11 00",286.5578,-0.6245,"nan",20.0,507.0,0.055,"nan",7.605,-13.74,2.36,1.4,2.36,-12.67,-5.51,15.0," TYC","nan","nan","nan","nan","nan","nan","nan",159.47503,-59.1833
"NGC 3330","10 38 46","-54 07 24",284.1877,3.8484,"nan",4.0,894.0,0.05,"nan",8.229,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",159.69166,-54.12338
"ESO 062-11","10 38 55","-69 02 00",291.5066,-9.1549," d",6.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",159.72924,-69.0333
"Saurer 3","10 41 25","-55 18 18",285.0956,2.9991,"nan",2.4,8830.0,0.62,"nan",9.45,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",160.35421,-55.30498
"Collinder 228","10 42 04","-59 55 00",287.3743,-1.0117," v",14.0,2201.0,0.342,"nan",6.83,-6.55,0.6,2.03,0.46,-6.73,-1.33,1.0," BDW",-12.0,6.0,"nan"," RGDZ","nan","nan","nan",160.51663,-59.91668
"Bochum 10","10 42 12","-59 08 00",287.0163,-0.3147,"nan",20.0,2027.0,0.306,"nan",6.857,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",160.54996,-59.13331
"Melotte 101","10 42 12","-65 06 00",289.8641,-5.5605,"nan",15.0,1995.0,0.48,"nan",7.89,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",160.54999,-65.1
"IC 2602","10 42 58","-64 24 00",289.6014,-4.9061,"nan",100.0,161.0,0.024,"nan",7.507,-17.49,0.99,10.1,0.99,-20.19,0.58,22.0," TYC","nan","nan","nan","nan",-0.09,0.06,"nan",160.74167,-64.40001
"Alessi 5","10 43 08","-61 10 00",288.0832,-2.0497,"nan",33.0,398.0,0.15,"nan",7.6,-14.33,2.24,4.4,2.24,-14.71,-2.9,13.0," ADM","nan","nan","nan","nan","nan","nan","nan",160.78336,-61.16665
"Trumpler 14","10 43 56","-59 33 00",287.4081,-0.5774," v",5.0,2733.0,0.516,"nan",6.828,-7.25,0.64,2.69,0.52,-7.66,-1.03,1.0," BDW","nan","nan","nan","nan","nan","nan","nan",160.98337,-59.55005
"Trumpler 15","10 44 43","-59 22 00",287.41,-0.3688," v",14.0,1853.0,0.434,"nan",6.926,-7.71,1.03,3.26,0.78,-8.34,-0.72,1.0," BDW","nan","nan","nan","nan","nan","nan","nan",161.17907,-59.36668
"Trumpler 16","10 44 58","-59 43 00",287.6015,-0.6635," v",10.0,2673.0,0.493,"nan",6.788,"nan","nan","nan","nan","nan","nan","nan","nan",-20.0,5.0,"nan"," RGDZ","nan","nan","nan",161.24161,-59.71669
"Collinder 232","10 44 59","-59 33 00",287.5256,-0.5151,"nan",4.0,2996.0,0.57,"nan",6.67,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",161.24578,-59.55002
"Collinder 234","10 45 21","-59 45 00",287.6598,-0.6704,"nan",4.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",161.33757,-59.74996
"Bochum 11","10 47 15","-60 05 00",288.025,-0.856,"nan",21.0,2412.0,0.576,"nan",6.764,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",161.81245,-60.08333
"Ruprecht 91","10 47 30","-57 28 00",286.8536,1.4841,"nan",2.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",161.87491,-57.46666
"ESO 437-61","10 48 03","-29 23 24",273.0614,26.2301," p",5.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",162.01249,-29.38995
"Loden 189","10 50 00","-56 24 00",286.6727,2.5893," nf","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",162.49997,-56.39995
"NGC 3446","10 52 12","-45 08 54",281.861,12.7895,"nan",15.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",163.05005,-45.1483
"BH 106","10 52 42","-54 14 00",286.0484,4.6996,"nan",3.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",163.17501,-54.23337
"Ruprecht 162","10 52 54","-62 19 00",289.6379,-2.5445,"nan",5.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",163.22493,-62.31663
"ESO 128-16","10 53 41","-58 14 24",287.9357,1.1612," nf",10.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",163.42086,-58.24
"Ruprecht 92","10 53 47","-61 45 00",289.4821,-1.9899,"nan",7.0,2362.0,0.461,"nan",7.798,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",163.44573,-61.74998
"Graham 1","10 56 12","-63 01 00",290.2843,-3.01,"nan",5.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",164.05005,-63.01664
"Trumpler 17","10 56 24","-59 12 00",288.6692,0.4485,"nan",5.0,2189.0,0.605,"nan",7.706,-2.59,1.97,2.88,1.61,-3.57,1.49,1.0," BDW","nan","nan","nan","nan","nan","nan","nan",164.10005,-59.19996
"Collinder 236","10 56 51","-61 07 00",289.5391,-1.2603,"nan",10.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",164.21244,-61.1166
"Bochum 12","10 57 24","-61 43 00",289.8543,-1.7752,"nan",10.0,2218.0,0.24,"nan",7.61,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",164.34996,-61.71666
"Hogg 9","10 58 22","-59 03 00",288.8339,0.6914,"nan",1.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",164.59169,-59.05004
"Turner 6","10 59 26","-59 29 09",289.1405,0.353,"nan",1.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",164.85833,-59.48587
"NGC 3496","10 59 36","-60 20 12",289.5147,-0.4114,"nan",8.0,990.0,0.469,"nan",8.471,-4.35,3.64,3.1,3.64,-5.25,1.0,8.0," TYC","nan","nan","nan","nan","nan","nan","nan",164.89988,-60.33669
"ESO 265-01","11 00 58","-45 21 00",283.3749,13.2854," d",4.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",165.24163,-45.35004
"Sher 1","11 01 04","-60 14 00",289.6373,-0.2419,"nan",1.0,5875.0,1.374,"nan",6.713,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",165.26676,-60.23331
"Pismis 17","11 01 06","-59 49 00",289.4693,0.1394,"nan",6.0,3504.0,0.471,"nan",7.023,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",165.27496,-59.81666
"Ruprecht 93","11 04 24","-61 22 06",290.4701,-1.1136,"nan",7.0,1437.0,0.229,"nan",8.193,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",166.09996,-61.36827
"Ruprecht 163","11 04 51","-67 57 00",293.1627,-7.1232,"nan",2.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",166.21257,-67.94999
"NGC 3532","11 05 39","-58 45 12",289.5708,1.3468,"nan",50.0,486.0,0.037,"nan",8.492,-10.95,2.92,4.8,2.92,-11.96,0.07,110.0," TYC",7.0,1.6,"nan"," RGDZ",-0.022,0.08,5.0,166.41245,-58.75333
"Shorlin 1","11 05 46","-61 13 48",290.5655,-0.9214,"nan","nan",12600.0,1.6,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",166.44159,-61.22998
"Shorlin 2","11 05 49","-61 15 12",290.5803,-0.9404," nf","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",166.4542,-61.25329
"Feinstein 1","11 05 56","-59 49 00",290.0251,0.3847,"nan",25.0,1159.0,0.4,"nan",7.0,-5.19,2.93,3.27,2.93,-6.06,0.95,33.0," TYC","nan","nan","nan","nan","nan","nan","nan",166.48332,-59.81666
"Loden 306","11 06 08","-61 06 00",290.5547,-0.7845," nf","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",166.53325,-61.09997
"NGC 3520","11 07 08","-18 01 24",270.7736,38.2495," n",0.6,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",166.78332,-18.02336
"BH 110","11 07 18","-61 27 00",290.8211,-1.0513,"nan",2.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",166.82495,-61.44994
"ESO 502-19","11 08 07","-26 43 48",276.0266,30.6883," p",3.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",167.0292,-26.73
"BH 111","11 09 08","-63 50 00",291.9401,-3.1666,"nan",2.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",167.28325,-63.83333
"Loden 309","11 09 30","-60 31 00",290.7061,-0.0875,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",167.37491,-60.51667
"Loden 280","11 09 42","-59 06 00",290.1873,1.231," nf","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",167.42498,-59.10002
"NGC 3572","11 10 23","-60 14 54",290.7047,0.2022,"nan",5.0,1995.0,0.389,"nan",6.891,"nan","nan","nan","nan","nan","nan","nan","nan",-4.1,1.7,"nan"," RGDZ","nan","nan","nan",167.59586,-60.24834
"Basel 17","11 10 34","-59 02 00",290.2649,1.3351,"nan",10.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",167.64165,-59.0333
"Hogg 10","11 10 42","-60 24 00",290.7985,0.0767,"nan",3.0,1776.0,0.46,"nan",6.784,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",167.67502,-60.40004
"Trumpler 18","11 11 28","-60 40 00",290.9864,-0.1346,"nan",5.0,1358.0,0.315,"nan",7.194,-8.17,2.46,1.37,2.46,-8.09,-1.8,19.0," TYC","nan","nan","nan","nan","nan","nan","nan",167.86665,-60.66662
"Hogg 11","11 11 37","-60 24 00",290.9033,0.1194,"nan",2.0,2270.0,0.32,"nan",7.08,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",167.90412,-60.40001
"Collinder 240","11 11 40","-60 19 00",290.8778,0.199,"nan",20.0,1577.0,0.31,"nan",7.16,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",167.91676,-60.31666
"ESO 570-12","11 12 12","-21 19 18",274.0692,35.9273," p",13.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",168.04998,-21.32162
"Hogg 12","11 12 16","-60 46 00",291.1146,-0.1907,"nan",2.0,"nan",0.04,"nan",7.93,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",168.0667,-60.76666
"NGC 3590","11 12 59","-60 47 18",291.2038,-0.1783,"nan",3.0,1651.0,0.449,"nan",7.231,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",168.24575,-60.78833
"Stock 13","11 13 05","-58 53 00",290.5095,1.5958,"nan",5.0,1577.0,0.218,"nan",7.222,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",168.27079,-58.88328
"Trumpler 19","11 15 07","-57 33 00",290.269,2.9343,"nan",10.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",168.7791,-57.54998
"NGC 3603","11 15 07","-61 15 36",291.6172,-0.5223,"nan",0.5,3634.0,1.338,"nan",6.842,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",168.77902,-61.26002
"Hogg 13","11 16 18","-60 16 00",291.3934,0.4562," nf",3.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",169.07503,-60.26672
"IC 2714","11 17 27","-62 44 00",292.4021,-1.799,"nan",14.0,1238.0,0.341,"nan",8.542,"nan","nan","nan","nan","nan","nan","nan","nan",-14.1,"nan",8.0," CMPM",-0.011,0.11,9.0,169.36254,-62.73336
