"DB","DB_i","ID","RA_ICRS","DE_ICRS","GLON","GLAT","Plx","pmRA","pmDE","fnames","UCC_ID","quad","r_50","C1","C2","C3","N_50","GLON_m","GLAT_m","RA_ICRS_m","DE_ICRS_m","Plx_m","pmRA_m","pmDE_m","Rv_m","N_Rv","dups_fnames_m","dups_probs_m"
"HE2023_1","783","CWNU 3659",341.4634,57.6461,106.7404,-1.2231,0.235,-3.251,-2.249,"cwnu3659","UCC G106.7-01.2","Q2N",5.3,0.68,0.64,"BB",34.0,106.747,-1.234,341.496,57.644,0.227,-3.245,-2.204,-134.169,1.0,"nan","nan"
"KHARCHENKO2012;CANTAT2020;DIAS2021;HUNT2023;CAVALLO2024","2536;393;335;1502;1449","FSR 0384",342.911,56.109,106.7467,-2.9517,0.468,-3.552,-1.711,"fsr0384","UCC G106.7-02.9","Q2N",3.3,0.9,0.65,"AB",80.0,106.751,-2.956,342.912,56.105,0.494,-3.486,-1.737,"nan",0.0,"oc0188","0.94"
"HAO2022","187","OC 0188",342.9141,56.1075,106.7476,-2.9538,0.519,-3.499,-1.747,"oc0188","UCC G106.7-02.9a","Q2N",3.2,0.93,0.68,"AB",78.0,106.749,-2.953,342.911,56.11,0.491,-3.488,-1.737,"nan",0.0,"fsr0384","0.94"
"CANTAT2020;CASTRO2020;DIAS2021;TARRICQ2022;HUNT2023;CAVALLO2024","1380;84;1320;306;5808;5546","UBC 175",344.451,54.401,106.7943,-4.8713,0.721,1.432,-0.726,"ubc175","UCC G106.7-04.8a","Q2N",15.4,1.0,0.76,"AA",170.0,106.766,-4.909,344.446,54.365,0.739,1.449,-0.797,-29.999,37.0,"nan","nan"
"HE2022","504","CWNU 505",336.2684,62.3231,106.815,4.123,0.56,-4.15,-3.88,"cwnu505","UCC G106.8+04.1","Q2P",7.5,0.44,0.49,"CC",37.0,106.825,4.119,336.307,62.333,0.55,-4.129,-3.874,11.962,2.0,"oc0189","0.96"
"HAO2022;HUNT2023;CAVALLO2024","188;4640;4042","OC 0189",336.2832,62.3183,106.8183,4.1153,0.554,-4.141,-3.874,"oc0189","UCC G106.8+04.1a","Q2P",8.5,0.43,0.47,"CC",39.0,106.825,4.12,336.307,62.335,0.552,-4.129,-3.863,11.962,2.0,"cwnu505","0.96"
"KHARCHENKO2012","2692","Teutsch 76",337.185,61.634,106.8189,3.3105,"nan","nan","nan","teutsch76","UCC G106.8+03.3","Q2P",8.6,0.43,0.49,"CC",30.0,106.878,3.266,337.366,61.624,0.125,-2.314,-1.184,-118.698,2.0,"nan","nan"
"HE2023_1","1391","CWNU 4246",339.7516,59.7333,106.9489,1.036,0.143,-2.448,-1.56,"cwnu4246","UCC G106.9+01.0","Q2P",5.3,0.53,0.55,"BB",22.0,106.945,1.032,339.764,59.719,0.136,-2.407,-1.519,-82.799,4.0,"nan","nan"
"HE2023_1","1361","CWNU 4219",341.8101,57.7489,106.9522,-1.2174,0.127,-1.902,-1.488,"cwnu4219","UCC G106.9-01.2","Q2N",7.4,0.31,0.52,"CB",50.0,106.943,-1.187,341.759,57.755,0.138,-1.942,-1.482,-95.721,3.0,"nan","nan"
"KHARCHENKO2012;BICA2019;CANTAT2020;DIAS2021;HUNT2023;CAVALLO2024","2585;936;394;336;1503;1450","FSR 0385;MWSC 3653",340.628,58.941,106.9602,0.1264,0.436,-5.939,-3.974,"fsr0385;mwsc3653","UCC G106.9+00.1","Q2P",10.5,1.0,0.53,"AB",355.0,106.94,0.132,340.609,58.94,0.45,-5.921,-3.958,-54.532,13.0,"nan","nan"
"HE2023_1","960","CWNU 3829",341.1574,58.4438,106.9686,-0.4418,0.246,-3.469,-1.99,"cwnu3829","UCC G106.9-00.4","Q2N",6.0,0.98,0.55,"AB",142.0,106.935,-0.429,341.1,58.451,0.248,-3.385,-2.145,-77.915,4.0,"nan","nan"
"HUNT2023;CAVALLO2024","2426;3257","HSC 833",342.5356,57.1724,107.038,-1.9082,0.304,-3.847,-2.639,"hsc833","UCC G107.0-01.9","Q2N",11.8,0.59,0.59,"BB",33.0,107.1,-1.878,342.664,57.219,0.305,-3.821,-2.66,-89.324,1.0,"nan","nan"
"KHARCHENKO2012;BICA2019;CANTAT2020;DIAS2021;HUNT2023;CAVALLO2024","2614;937;318;276;1374;1320","Czernik 42;OCL 245;MWSC 3650",339.896,59.908,107.0972,1.1535,0.182,-3.383,-2.527,"czernik42;ocl245;mwsc3650","UCC G107.0+01.1","Q2P",5.7,0.88,0.49,"AC",308.0,107.101,1.151,339.898,59.908,0.23,-3.414,-2.538,-50.932,5.0,"nan","nan"
"KHARCHENKO2012;BICA2019","2817;938","FSR 0386;MWSC 3535",324.1912,69.2674,107.1249,12.6141,"nan","nan","nan","fsr0386;mwsc3535","UCC G107.1+12.6","Q2P",3.7,0.44,0.45,"CC",0.0,107.136,12.625,324.19,69.284,0.269,-2.601,-1.73,-66.637,2.0,"nan","nan"
"DAMBIS1999;CHEN2003;LOKTIN2017;CANTAT2020;DIAS2021;JAEHNIG2021;HUNT2023;CAVALLO2024","161;196;840;1049;1073;352;4558;3924","NGC 7380",341.817,58.125,107.1282,-0.8849,0.333,-2.517,-2.144,"ngc7380","UCC G107.1-00.8","Q2N",6.1,1.0,0.73,"AB",313.0,107.132,-0.904,341.835,58.11,0.339,-2.503,-2.194,-72.435,7.0,"nan","nan"
"HE2023_1","1660","CWNU 4493",343.0169,57.1507,107.262,-2.0442,0.282,-3.169,-2.629,"cwnu4493","UCC G107.2-02.0","Q2N",6.0,0.47,0.62,"CB",24.0,107.221,-2.01,342.934,57.144,0.335,-3.159,-2.677,"nan",0.0,"nan","nan"
"KHARCHENKO2012","2755","FSR 0388",335.88,63.445,107.2668,5.1657,"nan","nan","nan","fsr0388","UCC G107.2+05.1","Q2P",9.4,0.99,0.46,"AC",331.0,107.38,5.167,336.039,63.495,0.144,-2.156,-1.249,-104.734,4.0,"nan","nan"
"HUNT2023;CAVALLO2024","2427;3258","HSC 835",337.8283,62.0007,107.2691,3.4679,1.108,-1.113,-1.931,"hsc835","UCC G107.2+03.4","Q2P",11.9,0.68,0.47,"BC",22.0,107.265,3.458,337.822,61.975,1.112,-1.085,-1.9,-19.106,2.0,"nan","nan"
"CHI2023_1","48","LISC-III 3312",348.5412,49.906,107.309,-9.992,1.828,2.677,-2.107,"lisciii3312","UCC G107.3-09.9","Q2N",16.3,0.23,0.39,"DC",0.0,107.274,-10.044,348.544,49.809,1.783,2.848,-2.011,-2.655,7.0,"nan","nan"
"CHI2023_2","382","CWWDL 4532",343.3115,57.0149,107.3458,-2.2367,0.261,-3.07,-1.031,"cwwdl4532","UCC G107.3-02.2","Q2N",2.6,0.74,0.74,"BB",42.0,107.353,-2.24,343.327,57.014,0.255,-3.013,-1.01,-50.564,2.0,"ubc1173","0.8"
"CASTRO2022;HUNT2023;CAVALLO2024","172;6249;5194","UBC 1173",343.3256,57.0138,107.3522,-2.241,0.256,-3.005,-1.001,"ubc1173","UCC G107.3-02.2a","Q2N",3.3,0.4,1.0,"CA",23.0,107.338,-2.233,343.292,57.02,0.252,-3.019,-1.009,-91.625,2.0,"cwwdl4532","0.8"
"SIM2019;HUNT2023;CAVALLO2024","92;6689;5981","UPK 189",332.9292,65.578,107.4011,7.6439,0.997,-2.637,-3.344,"upk189","UCC G107.4+07.6","Q2P",27.3,0.91,0.52,"AB",45.0,107.409,7.622,332.965,65.625,0.993,-2.629,-3.38,-20.411,11.0,"nan","nan"
"KHARCHENKO2012","2819","FSR 0389",323.887,69.82,107.4351,13.0886,"nan","nan","nan","fsr0389","UCC G107.4+13.0","Q2P",3.9,0.34,0.3,"CC",0.0,107.416,13.085,323.899,69.811,0.256,-2.431,-2.43,"nan",0.0,"nan","nan"
"BICA2019","3020","Patchick 111",347.2028,52.4176,107.49,-7.35,"nan","nan","nan","patchick111","UCC G107.4-07.3","Q2N",5.1,0.57,0.39,"BC",22.0,107.494,-7.338,347.201,52.427,0.178,-2.348,-1.702,-76.529,6.0,"nan","nan"
"HUNT2023;CAVALLO2024","2428;3259","HSC 836",341.429,59.3044,107.4938,0.2543,0.282,-2.883,-2.104,"hsc836","UCC G107.4+00.2","Q2P",7.7,0.48,0.71,"CB",36.0,107.485,0.238,341.431,59.292,0.264,-2.827,-2.123,-44.316,2.0,"nan","nan"
"HAO2022;HUNT2023;CAVALLO2024","189;4641;4043","OC 0190",343.187,57.5224,107.5087,-1.7513,0.157,-2.332,-1.327,"oc0190","UCC G107.5-01.7","Q2N",3.0,0.63,0.73,"BB",75.0,107.507,-1.755,343.194,57.519,0.156,-2.353,-1.309,-78.854,3.0,"nan","nan"
"HE2023_1","1464","CWNU 4355",342.8983,57.9316,107.5517,-1.3161,0.28,-3.274,-2.553,"cwnu4355","UCC G107.5-01.3","Q2N",5.2,0.58,0.53,"BB",19.0,107.558,-1.252,342.899,57.978,0.283,-3.264,-2.519,"nan",0.0,"hsc837","0.56"
"HE2022_1;HUNT2023;CAVALLO2024","770;610;385","CWNU 1205",322.1973,70.5673,107.5518,14.0231,4.286,10.558,6.04,"cwnu1205","UCC G107.5+14.0","Q2P",51.5,0.94,0.69,"AB",35.0,107.346,14.051,322.136,70.562,4.293,10.279,6.075,-12.97,5.0,"nan","nan"
"HE2023_1","1891","CWNU 4730",342.3374,58.634,107.603,-0.5561,0.274,-3.992,-2.829,"cwnu4730","UCC G107.6-00.5","Q2N",6.8,0.64,0.44,"BC",38.0,107.582,-0.532,342.275,58.645,0.268,-4.028,-2.832,-74.87,2.0,"nan","nan"
"HE2022_1;HUNT2023;CAVALLO2024","793;614;390","CWNU 1228",336.4624,63.6703,107.6078,5.2178,1.087,-0.594,-3.003,"cwnu1228","UCC G107.6+05.2","Q2P",14.6,1.0,0.56,"AB",231.0,107.553,5.229,336.308,63.69,1.081,-0.533,-2.999,-16.561,17.0,"nan","nan"
"HAO2022;HUNT2023;CAVALLO2024","191;4642;4044","OC 0192",343.3994,57.5306,107.6148,-1.794,1.085,-0.715,-1.572,"oc0192","UCC G107.6-01.7","Q2N",17.7,0.61,0.57,"BB",29.0,107.619,-1.815,343.459,57.517,1.059,-0.73,-1.512,-15.174,7.0,"nan","nan"
"KHARCHENKO2012;LOKTIN2017;BICA2019;CANTAT2020;DIAS2021;HUNT2023;CAVALLO2024","2547;843;939;1051;1075;4560;3926","NGC 7423;Berkeley 57;OCL 246;FSR 0391;MWSC 3674",343.789,57.096,107.615,-2.2769,0.239,-1.247,-1.25,"ngc7423;berkeley57;ocl246;fsr0391;mwsc3674","UCC G107.6-02.2","Q2N",3.2,0.86,0.65,"AB",407.0,107.616,-2.276,343.788,57.098,0.245,-1.219,-1.296,-39.271,20.0,"oc0191","0.95"
"HAO2022","190","OC 0191",343.8022,57.1,107.6232,-2.2764,0.263,-1.22,-1.283,"oc0191","UCC G107.6-02.2a","Q2N",3.2,0.92,0.77,"AA",323.0,107.616,-2.278,343.79,57.096,0.246,-1.21,-1.302,-37.845,23.0,"ngc7423","0.95"
"HUNT2023;CAVALLO2024","2429;3260","HSC 837",343.0574,58.0364,107.6738,-1.2596,0.28,-3.235,-2.501,"hsc837","UCC G107.6-01.2","Q2N",8.6,0.66,0.58,"BB",61.0,107.615,-1.272,342.967,58.009,0.277,-3.247,-2.492,-67.201,2.0,"cwnu4355","0.56"
"SIM2019;HE2022_1;HUNT2023;CAVALLO2024","93;479;6690;5982","UPK 191",337.3123,63.1939,107.6817,4.6128,1.144,-0.986,-2.015,"upk191","UCC G107.6+04.6","Q2P",7.4,1.0,0.58,"AB",173.0,107.685,4.606,337.332,63.189,1.131,-0.955,-2.043,-8.092,10.0,"nan","nan"
"HE2023","604","CWNU 1875",345.2045,55.6354,107.707,-3.932,0.395,-3.153,-3.097,"cwnu1875","UCC G107.7-03.9","Q2N",11.3,0.65,0.43,"BC",55.0,107.675,-3.921,345.122,55.666,0.372,-3.16,-3.091,-51.656,2.0,"nan","nan"
"BICA2019","3382","Teutsch J2320.7+4812",350.1921,48.2038,107.71,-11.97,"nan","nan","nan","teutschj23207p4812","UCC G107.7-11.9","Q2N",3.7,0.47,0.35,"CC",0.0,107.725,-11.958,350.204,48.211,0.214,-1.454,-1.693,-127.969,1.0,"nan","nan"
"HUNT2023;CAVALLO2024","2452;3280","HSC 865",350.15,48.3108,107.7215,-11.86,4.898,20.169,-4.633,"hsc865","UCC G107.7-11.8","Q2N",112.9,0.15,0.44,"DC",0.0,107.882,-11.86,350.416,48.049,4.788,20.281,-4.605,-18.405,7.0,"nan","nan"
"HE2023;HUNT2023;CAVALLO2024","888;985;789","CWNU 2159",340.4207,60.7939,107.7511,1.8054,0.369,-3.874,-2.609,"cwnu2159","UCC G107.7+01.8","Q2P",7.9,0.62,0.48,"BC",65.0,107.771,1.821,340.441,60.813,0.351,-3.879,-2.603,-50.732,3.0,"nan","nan"
"CASADO2021;HUNT2023;CAVALLO2024","19;1295;1244","Casado 21",341.9065,59.438,107.7713,0.2608,0.38,-2.706,-1.923,"casado21","UCC G107.7+00.2","Q2P",3.3,0.59,0.74,"BB",30.0,107.773,0.256,341.911,59.44,0.378,-2.695,-1.945,"nan",0.0,"nan","nan"
"HUNT2023;CAVALLO2024","2430;3261","HSC 838",342.5166,58.8268,107.7729,-0.4259,0.262,-3.326,-2.017,"hsc838","UCC G107.7-00.4","Q2N",8.3,0.78,0.6,"AB",30.0,107.807,-0.439,342.569,58.834,0.231,-3.246,-1.939,-69.295,1.0,"cwnu3663","0.66"
"KHARCHENKO2012;LOKTIN2017;BICA2019;CANTAT2020;DIAS2021;HUNT2023;CAVALLO2024","2571;379;940;646;544;4143;3510","King 18;OCL 247;FSR 0392;MWSC 3669",343.055,58.289,107.7844,-1.0325,0.31,-2.639,-2.068,"king18;ocl247;fsr0392;mwsc3669","UCC G107.7-01.0","Q2N",3.1,1.0,0.75,"AA",162.0,107.784,-1.032,343.053,58.287,0.316,-2.616,-2.109,-61.649,7.0,"nan","nan"
"HUNT2023;CAVALLO2024","2431;3262","HSC 839",344.3847,56.8202,107.7904,-2.6653,0.306,-3.65,-2.753,"hsc839","UCC G107.7-02.6","Q2N",9.9,0.87,0.57,"AB",37.0,107.753,-2.63,344.25,56.834,0.292,-3.616,-2.775,-61.522,1.0,"nan","nan"
"HE2023_1","787","CWNU 3663",342.6229,58.8459,107.8306,-0.4336,0.234,-3.3,-1.967,"cwnu3663","UCC G107.8-00.4","Q2N",5.9,0.84,0.55,"AB",16.0,107.779,-0.427,342.558,58.841,0.228,-3.25,-1.932,-44.272,1.0,"hsc838","0.66"
"HUNT2023;CAVALLO2024","2432;3263","HSC 841",335.954,64.5481,107.8901,6.0785,0.091,-1.983,-1.006,"hsc841","UCC G107.8+06.0","Q2P",2.9,0.71,0.4,"BC",77.0,107.889,6.065,335.97,64.542,0.133,-1.915,-1.063,-101.778,3.0,"cwnu3499","0.56"
"HE2022;HE2022_1;HUNT2023;CAVALLO2024","507;142;536;1195","CWNU 508",338.4918,62.7004,107.8909,3.9144,0.98,-2.63,-2.491,"cwnu508","UCC G107.8+03.9","Q2P",8.6,0.66,0.34,"BC",0.0,107.891,3.887,338.492,62.693,0.957,-2.626,-2.553,-44.845,2.0,"nan","nan"
"BICA2019","3021","Patchick 85",350.2649,48.6061,107.9,-11.61,"nan","nan","nan","patchick85","UCC G107.9-11.6","Q2N",6.0,0.87,0.36,"AC",70.0,107.907,-11.601,350.262,48.617,0.131,-1.759,-1.231,-69.79,2.0,"nan","nan"
"KHARCHENKO2012;LOKTIN2017;BICA2019;CANTAT2020;HUNT2023;CAVALLO2024","2609;994;941;1271;5077;4481","Teutsch 54;DSH J2247.4+5946;MWSC 3661",341.858,59.781,107.9066,0.5769,0.212,-2.878,-1.762,"teutsch54;dshj22474p5946;mwsc3661","UCC G107.9+00.5","Q2P",2.6,0.39,0.76,"CA",57.0,107.906,0.579,341.856,59.78,0.219,-2.948,-1.798,"nan",0.0,"nan","nan"
"HE2023_1","1585","CWNU 4417",334.7517,65.4134,107.9362,7.0811,0.165,-1.771,-0.825,"cwnu4417","UCC G107.9+07.0","Q2P",5.2,0.13,0.33,"DC",29.0,107.944,7.084,334.75,65.417,0.132,-1.747,-0.831,-61.778,1.0,"nan","nan"
"HE2023_1","612","CWNU 3499",336.0982,64.5368,107.9366,6.0357,0.1,-1.974,-1.008,"cwnu3499","UCC G107.9+06.0","Q2P",2.7,0.63,0.44,"BC",92.0,107.936,6.033,336.099,64.538,0.136,-1.941,-1.089,-62.277,2.0,"hsc841","0.56"
"HUNT2023;CAVALLO2024","2433;3264","HSC 842",349.0479,50.8859,107.9794,-9.1998,1.34,-0.611,-3.113,"hsc842","UCC G107.9-09.1","Q2N",32.0,0.64,0.59,"BB",40.0,107.972,-9.423,349.125,50.728,1.335,-0.526,-3.079,-7.061,15.0,"nan","nan"
"BICA2019","3383","Saloranta 21",345.1726,56.3326,107.98,-3.29,"nan","nan","nan","saloranta21","UCC G107.9-03.2","Q2N",6.4,0.16,0.46,"DC",37.0,107.954,-3.279,345.114,56.334,0.125,-1.773,-1.432,-98.889,2.0,"nan","nan"
"DIAS2021","681","FoF 1816",341.9583,59.8912,108.0018,0.6518,0.255,-2.888,-1.874,"fof1816","UCC G108.0+00.6","Q2P",8.5,0.19,0.48,"DC",23.0,108.052,0.598,342.097,59.861,0.247,-2.885,-1.866,"nan",0.0,"nan","nan"
"HE2023;HUNT2023;CAVALLO2024","933;997;801","CWNU 2204",341.2709,60.697,108.0718,1.5238,0.545,-4.164,-2.23,"cwnu2204","UCC G108.0+01.5","Q2P",7.3,0.84,0.48,"AC",25.0,108.067,1.555,341.256,60.739,0.536,-4.158,-2.231,26.403,2.0,"nan","nan"
"CANTAT2020;CASTRO2020;HUNT2023;CAVALLO2024","1763;495;6090;5846","UBC 593",346.355,55.082,108.0808,-4.7033,0.513,-2.438,-3.693,"ubc593","UCC G108.0-04.7","Q2N",14.1,0.87,0.65,"AB",41.0,108.094,-4.694,346.355,55.082,0.503,-2.413,-3.75,-65.067,1.0,"nan","nan"
"HUNT2023;CAVALLO2024","2434;3265","HSC 844",345.2216,56.684,108.1503,-2.9813,0.878,-0.177,-1.503,"hsc844","UCC G108.1-02.9","Q2N",21.1,0.97,0.45,"AC",89.0,108.118,-2.939,345.042,56.704,0.859,-0.149,-1.475,-38.141,7.0,"nan","nan"
"CANTAT2020;CASTRO2020;TARRICQ2022;HE2022_1","1565;300;333;439","UBC 392",336.125,64.926,108.156,6.3583,1.056,-0.642,-3.287,"ubc392","UCC G108.1+06.3","Q2P",14.8,0.95,0.9,"AA",88.0,108.145,6.369,336.127,64.944,1.061,-0.671,-3.373,-16.509,15.0,"upk194","0.52"
"HUNT2023;CAVALLO2024","2435;3266","HSC 845",343.1861,59.1566,108.2286,-0.2841,0.328,-3.327,-2.732,"hsc845","UCC G108.2-00.2","Q2N",9.6,0.57,0.55,"BB",30.0,108.187,-0.282,343.122,59.157,0.33,-3.331,-2.741,-69.923,4.0,"nan","nan"
"HAO2022;HUNT2023;CAVALLO2024","192;4643;4045","OC 0193",343.5075,58.9623,108.2919,-0.5312,0.586,-3.749,-2.505,"oc0193","UCC G108.2-00.5","Q2N",6.1,0.59,0.49,"BC",26.0,108.304,-0.53,343.513,58.965,0.605,-3.811,-2.55,"nan",0.0,"nan","nan"
"SIM2019;CANTAT2020;DIAS2021;TARRICQ2022;HUNT2023;CAVALLO2024","94;1893;1629;377;6691;5983","UPK 194",336.446,65.004,108.3135,6.3518,1.047,-0.642,-3.126,"upk194","UCC G108.3+06.3","Q2P",9.9,0.25,0.68,"CB",44.0,108.261,6.352,336.314,64.978,1.061,-0.648,-3.267,-17.321,8.0,"ubc392","0.52"
"HE2023","912","CWNU 2183",343.7968,58.705,108.315,-0.828,0.248,-3.706,-1.276,"cwnu2183","UCC G108.3-00.8","Q2N",3.0,1.0,0.54,"AB",221.0,108.321,-0.821,343.797,58.714,0.239,-3.717,-1.29,-69.871,7.0,"fsr0394","0.97"
"GLUSHKOVA2010;KHARCHENKO2012;BICA2019;DONOR2020;HUNT2023;CAVALLO2024","187;2578;942;38;1504;1451","FSR 0394;SAI 147;MWSC 3675",343.785,58.7191,108.3156,-0.8126,0.249,-3.732,-1.301,"fsr0394;sai147;mwsc3675","UCC G108.3-00.8a","Q2N",3.0,1.0,0.57,"AB",222.0,108.32,-0.821,343.797,58.714,0.237,-3.716,-1.289,-69.871,7.0,"cwnu2183","0.97"
"HUNT2023","2446","HSC 859",353.4314,43.6091,108.3413,-17.05,2.344,3.246,-1.636,"hsc859","UCC G108.3-17.0","Q2N",38.6,0.22,0.48,"DC",33.0,108.379,-16.99,353.623,43.658,2.295,3.283,-1.61,-8.688,9.0,"nan","nan"
"HE2023","884","CWNU 2155",344.0649,58.5378,108.369,-1.039,0.306,-3.506,-2.29,"cwnu2155","UCC G108.3-01.0","Q2N",8.8,0.13,0.58,"DB",69.0,108.391,-1.037,344.118,58.556,0.309,-3.439,-2.384,-68.409,2.0,"nan","nan"
"HE2022_1","706","CWNU 1141",336.7835,64.8911,108.3753,6.1803,0.883,-2.521,-1.843,"cwnu1141","UCC G108.3+06.1","Q2P",11.6,0.83,0.73,"AB",68.0,108.365,6.179,336.795,64.908,0.871,-2.572,-1.847,-40.374,3.0,"oc0194;theia2897","0.84;0.6"
"DIAS2021;HE2023_1","682;1794","FoF 1817",342.2691,60.4701,108.4029,1.097,0.249,-2.931,-1.821,"fof1817","UCC G108.4+01.0","Q2P",8.4,0.7,0.61,"BB",60.0,108.393,1.1,342.214,60.47,0.261,-2.994,-1.85,-36.886,3.0,"nan","nan"
"HE2022;HUNT2023;CAVALLO2024","57;342;1210","CWNU 58",342.0292,60.7245,108.4137,1.3771,1.142,-0.355,-2.445,"cwnu58","UCC G108.4+01.3","Q2P",23.7,0.9,0.47,"AC",47.0,108.3,1.4,341.853,60.619,1.141,-0.306,-2.452,-17.0,10.0,"nan","nan"
"HAO2022","193","OC 0194",336.8413,64.9309,108.4173,6.2012,0.873,-2.544,-1.83,"oc0194","UCC G108.4+06.2","Q2P",10.5,0.29,0.73,"CB",38.0,108.375,6.189,336.797,64.921,0.866,-2.565,-1.832,-40.374,3.0,"cwnu1141;theia2897","0.84;0.59"
"HAO2022","194","OC 0195",345.5346,57.0491,108.4568,-2.7188,0.285,-3.546,-2.217,"oc0195","UCC G108.4-02.7","Q2N",3.9,1.0,0.76,"AA",213.0,108.468,-2.713,345.546,57.063,0.281,-3.564,-2.229,-35.835,4.0,"ubc176","0.9"
"CANTAT2020;CASTRO2020;DIAS2021;HUNT2023;CAVALLO2024","1566;301;1401;5945;5690","UBC 393",345.615,56.953,108.4575,-2.8244,0.261,-2.87,-2.558,"ubc393","UCC G108.4-02.8","Q2N",13.7,0.98,0.91,"AA",205.0,108.44,-2.81,345.593,56.958,0.28,-2.829,-2.555,-47.163,4.0,"nan","nan"
"CANTAT2020;CASTRO2020;HUNT2023;CAVALLO2024","1381;85;5809;5547","UBC 176",345.532,57.063,108.4612,-2.7056,0.261,-3.597,-2.191,"ubc176","UCC G108.4-02.7a","Q2N",12.7,1.0,0.94,"AA",239.0,108.467,-2.706,345.54,57.069,0.281,-3.556,-2.217,-81.117,15.0,"oc0195","0.9"
"HUNT2023;CAVALLO2024","5517;4723","Theia 2897",337.0069,64.937,108.4806,6.1696,0.8755,-2.5542,-1.8337,"theia2897","UCC G108.4+06.1","Q2P",5.0,0.57,0.62,"BB",0.0,108.414,6.173,336.933,64.921,0.869,-2.545,-1.867,-27.527,1.0,"cwnu1141;oc0194","0.6;0.59"
"KHARCHENKO2012;LOKTIN2017;BICA2019;CANTAT2020;DIAS2021;JAEHNIG2021;HUNT2023;CAVALLO2024","2594;371;943;638;536;98;4135;3502","King 10;OCL 248;FSR 0396;MWSC 3673",343.748,59.17,108.4935,-0.3979,0.259,-2.722,-2.088,"king10;ocl248;fsr0396;mwsc3673","UCC G108.4-00.3","Q2N",4.2,1.0,0.69,"AB",819.0,108.494,-0.401,343.748,59.167,0.278,-2.701,-2.13,-62.738,13.0,"nan","nan"
"HUNT2023;CAVALLO2024","2436;3267","HSC 846",347.6577,54.4067,108.5119,-5.6182,0.614,0.855,-2.06,"hsc846","UCC G108.5-05.6","Q2N",14.9,0.8,0.38,"AC",35.0,108.537,-5.612,347.669,54.433,0.605,0.823,-2.028,-18.126,5.0,"nan","nan"
"CANTAT2020;CASTRO2020;TARRICQ2022;HE2022_1","1567;302;334;440","UBC 394",343.738,59.247,108.5223,-0.3263,1.092,2.152,0.068,"ubc394","UCC G108.5-00.3","Q2N",6.7,1.0,0.73,"AB",90.0,108.532,-0.323,343.754,59.249,1.095,2.183,0.033,-14.225,14.0,"theia1001","0.92"
"HUNT2023;CAVALLO2024","5349;4508","Theia 1001",343.75,59.2426,108.5259,-0.3329,1.0933,2.2101,0.0232,"theia1001","UCC G108.5-00.3a","Q2N",9.6,0.99,0.63,"AB",127.0,108.531,-0.335,343.754,59.246,1.089,2.193,0.039,-14.225,18.0,"ubc394","0.92"
"HUNT2023","2437","HSC 848",356.7169,35.9429,108.5372,-25.1174,1.364,-9.455,-17.038,"hsc848","UCC G108.5-25.1","Q2N",14.4,0.26,0.11,"CD",0.0,108.47,-25.089,356.599,35.978,1.238,-8.568,-16.397,-35.335,6.0,"nan","nan"
"HUNT2023;CAVALLO2024","2438;3268","HSC 849",344.2151,58.7802,108.5433,-0.8533,0.263,-3.397,-2.153,"hsc849","UCC G108.5-00.8","Q2N",5.5,0.16,0.56,"DB",48.0,108.547,-0.866,344.239,58.777,0.246,-3.393,-2.12,"nan",0.0,"nan","nan"
"HE2023","54","CWNU 1325",340.499,62.4183,108.56,3.215,0.329,-3.129,-1.473,"cwnu1325","UCC G108.5+03.2","Q2P",8.2,0.52,0.56,"BB",64.0,108.548,3.223,340.468,62.415,0.276,-3.173,-1.513,-87.172,3.0,"nan","nan"
"CANTAT2020;CASTRO2020;DIAS2021;HUNT2023;CAVALLO2024","1568;303;1402;5946;5691","UBC 395",345.63,57.199,108.5654,-2.6031,0.408,-2.877,-2.594,"ubc395","UCC G108.5-02.6","Q2N",10.1,0.97,0.73,"AB",52.0,108.548,-2.593,345.61,57.198,0.406,-2.858,-2.643,-41.667,1.0,"cwwdl578","0.54"
"HE2023_1","962","CWNU 3831",339.4221,63.3401,108.5771,4.2592,0.144,-2.016,-0.989,"cwnu3831","UCC G108.5+04.2","Q2P",7.3,0.63,0.52,"BB",19.0,108.616,4.245,339.549,63.342,0.139,-2.037,-0.989,-83.952,4.0,"nan","nan"
"HUNT2023;CAVALLO2024","5298;4956","Theia 710",339.2095,63.5679,108.6069,4.5042,2.4721,7.1034,-4.6541,"theia710","UCC G108.6+04.5","Q2P",30.5,0.32,0.24,"CD",0.0,108.681,4.341,339.803,63.474,2.446,7.044,-4.399,-6.635,4.0,"nan","nan"
"CHI2023_2","69","CWWDL 578",345.7434,57.231,108.6346,-2.5989,0.412,-2.844,-2.542,"cwwdl578","UCC G108.6-02.5","Q2N",3.0,0.35,0.84,"CA",0.0,108.601,-2.595,345.678,57.213,0.416,-2.836,-2.631,"nan",0.0,"ubc395","0.54"
"HUNT2023;CAVALLO2024","2439;3269","HSC 852",342.9481,60.3898,108.6665,0.8749,0.281,-2.912,-1.815,"hsc852","UCC G108.6+00.8","Q2P",7.8,0.49,0.75,"CB",48.0,108.727,0.864,343.048,60.402,0.266,-2.857,-1.802,"nan",0.0,"nan","nan"
"HUNT2023;CAVALLO2024","2356;3205","HSC 749",5.5893,2.9701,108.6877,-59.095,8.128,18.061,-13.839,"hsc749","UCC G108.6-59.0","Q2N",297.1,0.67,0.67,"BB",63.0,107.976,-58.96,5.586,2.707,8.252,18.688,-14.422,13.601,24.0,"nan","nan"
