"DB","DB_i","ID","RA_ICRS","DE_ICRS","GLON","GLAT","Plx","pmRA","pmDE","fnames","UCC_ID","quad","r_50","C1","C2","C3","N_50","GLON_m","GLAT_m","RA_ICRS_m","DE_ICRS_m","Plx_m","pmRA_m","pmDE_m","Rv_m","N_Rv","dups_fnames_m","dups_probs_m"
"CHEN2003;KHARCHENKO2012;LOKTIN2017;BICA2019;BOSSINI2019;CANTAT2020;DIAS2021;JAEHNIG2021;TARRICQ2022;HUNT2023;CAVALLO2024","138;200;709;2083;68;926;950;262;201;4433;3792","NGC 5316;Melotte 122;Collinder 279;OCL 913;VDBH 154;vdBergh-Hagen 154;ESO 133 06;MWSC 2175",208.516,-61.883,310.2387,0.0971,0.665,-6.297,-1.515,"ngc5316;melotte122;collinder279;ocl913;vdbh154;vdberghhagen154;eso13306;mwsc2175","UCC G310.2+00.0","Q4P",5.8,1.0,0.88,"AA",262.0,310.234,0.128,208.487,-61.857,0.674,-6.366,-1.517,-15.594,38.0,"nan","nan"
"KHARCHENKO2012;BICA2019","300;2084","NGC 5299;MWSC 2170",207.6021,-59.9377,310.2607,2.0923,"nan","nan","nan","ngc5299;mwsc2170","UCC G310.2+02.0","Q4P",2.7,0.3,0.29,"CC",0.0,310.253,2.098,207.581,-59.94,0.227,-7.32,-2.728,"nan",0.0,"nan","nan"
"HUNT2023;CAVALLO2024","3710;2724","HSC 2618",210.9706,-65.8026,310.2699,-3.9683,5.056,-16.808,-10.07,"hsc2618","UCC G310.2-03.9","Q4N",94.7,0.42,0.32,"CC",22.0,310.97,-3.517,211.908,-65.364,5.024,-16.609,-9.713,8.496,7.0,"nan","nan"
"HAO2022","601","OC 0603",208.6561,-62.0027,310.2738,-0.035,0.682,-6.308,-1.466,"oc0603","UCC G310.2+00.0a","Q4P",6.1,0.99,0.76,"AA",94.0,310.264,-0.029,208.615,-61.999,0.686,-6.315,-1.496,-10.264,6.0,"nan","nan"
"HUNT2023;CAVALLO2024","5505;4705","Theia 2651",209.3065,-63.0604,310.3031,-1.134,0.2956,-6.4237,-2.4112,"theia2651","UCC G310.3-01.1","Q4N",2.7,0.38,0.71,"CB",0.0,310.302,-1.092,209.285,-63.028,0.301,-6.6,-2.438,"nan",0.0,"cwnu4776","0.79"
"HE2023_1","1936","CWNU 4776",209.2832,-63.006,310.3066,-1.0787,0.301,-6.626,-2.438,"cwnu4776","UCC G310.3-01.0","Q4N",6.9,0.36,0.79,"CA",33.0,310.311,-1.076,209.307,-63.001,0.301,-6.61,-2.442,-52.699,2.0,"theia2651","0.79"
"HE2023","1469","CWNU 2740",208.7825,-61.6929,310.407,0.251,0.38,-4.294,-2.177,"cwnu2740","UCC G310.4+00.2","Q4P",3.3,0.63,0.68,"BB",0.0,310.418,0.251,208.808,-61.685,0.401,-4.318,-2.13,"nan",0.0,"nan","nan"
"CASTRO2020","436","UBC 530",209.8793,-63.6198,310.4082,-1.7406,1.013,-6.122,-1.715,"ubc530","UCC G310.4-01.7","Q4N",7.3,0.83,0.73,"AB",50.0,310.436,-1.731,209.929,-63.6,1.032,-6.155,-1.682,9.554,16.0,"fof2309","0.95"
"KHARCHENKO2012;HUNT2023;CAVALLO2024","217;1675;1619","FSR 1668",208.7629,-61.6261,310.4143,0.318,0.377,-4.269,-2.184,"fsr1668","UCC G310.4+00.3","Q4P",5.7,0.66,0.64,"BB",19.0,310.411,0.287,208.767,-61.649,0.318,-4.319,-2.278,"nan",0.0,"nan","nan"
"HE2023","1329","CWNU 2600",209.8944,-63.5687,310.428,-1.693,0.489,-4.873,-1.724,"cwnu2600","UCC G310.4-01.6","Q4N",7.5,0.76,0.62,"AB",29.0,310.485,-1.663,209.943,-63.543,0.489,-4.853,-1.713,3.685,1.0,"nan","nan"
"BICA2019","3457","Teutsch J1353.6-6053",208.4172,-60.8926,310.43,1.07,"nan","nan","nan","teutschj135366053","UCC G310.4+01.0","Q4P",3.0,0.17,0.31,"DC",0.0,310.438,1.078,208.428,-60.896,0.371,-7.595,-2.155,"nan",0.0,"nan","nan"
"LIUPANG2019;HE2022_1;HUNT2023;CAVALLO2024","70;236;1726;1657","FoF 2309",209.9421,-63.6127,310.437,-1.741,1.024,-6.169,-1.722,"fof2309","UCC G310.4-01.7a","Q4N",7.1,0.94,0.75,"AB",67.0,310.437,-1.731,209.936,-63.6,1.028,-6.156,-1.708,9.608,19.0,"ubc530","0.95"
"HE2023","908","CWNU 2179",203.1284,-45.3761,310.452,16.895,0.411,-7.875,0.515,"cwnu2179","UCC G310.4+16.8","Q4P",14.5,0.41,0.43,"CC",58.0,310.458,16.94,203.143,-45.333,0.357,-7.875,0.487,18.045,2.0,"nan","nan"
"HE2023","1186","CWNU 2457",209.7111,-63.1548,310.456,-1.272,0.501,-6.647,-3.25,"cwnu2457","UCC G310.4-01.2","Q4N",13.4,0.9,0.58,"AB",36.0,310.442,-1.272,209.63,-63.176,0.51,-6.655,-3.247,"nan",0.0,"nan","nan"
"BICA2019","3458","Teutsch J1401.7-6411",210.4474,-64.1831,310.5,-2.35,"nan","nan","nan","teutschj140176411","UCC G310.5-02.3","Q4N",6.3,0.07,0.46,"DC",28.0,310.449,-2.332,210.341,-64.159,0.269,-7.93,-2.723,-59.366,6.0,"nan","nan"
"HE2023","579","CWNU 1850",205.2879,-52.7672,310.516,9.371,0.513,-7.38,-1.874,"cwnu1850","UCC G310.5+09.3","Q4P",17.2,0.24,0.41,"DC",16.0,310.516,9.357,205.257,-52.778,0.538,-7.38,-1.856,-34.658,1.0,"nan","nan"
"KHARCHENKO2012","204","FSR 1669",209.07,-61.75,310.525,0.1621,"nan","nan","nan","fsr1669","UCC G310.5+00.1","Q4P",4.5,0.68,0.44,"BC",21.0,310.516,0.157,209.058,-61.743,0.286,-6.769,-2.212,-27.121,2.0,"nan","nan"
"HUNT2023","3711","HSC 2619",212.6261,-67.1043,310.5265,-5.4057,0.165,-6.581,-2.128,"hsc2619","UCC G310.5-05.4","Q4N",6.9,0.49,0.5,"CC",31.0,310.538,-5.402,212.639,-67.106,0.159,-6.612,-2.142,-35.613,1.0,"nan","nan"
"HUNT2023;CAVALLO2024","3712;2726","HSC 2620",210.277,-63.6756,310.5638,-1.841,0.283,-7.914,-2.258,"hsc2620","UCC G310.5-01.8","Q4N",5.0,0.55,0.77,"BA",63.0,310.56,-1.846,210.275,-63.677,0.271,-7.942,-2.275,-36.28,6.0,"nan","nan"
"HUNT2023;CAVALLO2024","3703;2718","HSC 2609",228.6357,-77.3788,310.5957,-16.69,2.754,-10.792,-9.664,"hsc2609","UCC G310.5-16.6","Q4N",60.5,0.19,0.51,"DB",29.0,310.464,-16.471,228.273,-76.822,2.73,-11.067,-9.96,3.099,5.0,"nan","nan"
"HUNT2023","3713","HSC 2621",210.8566,-64.458,310.5959,-2.6628,2.101,-7.785,-3.691,"hsc2621","UCC G310.5-02.6","Q4N",35.1,0.24,0.47,"DC",6.0,310.612,-2.636,210.825,-64.408,2.05,-7.742,-3.685,7.621,3.0,"nan","nan"
"HUNT2023","3714","HSC 2622",209.1857,-61.6139,310.612,0.2802,0.29,-6.574,-2.434,"hsc2622","UCC G310.6+00.2","Q4P",6.7,1.0,0.66,"AB",75.0,310.606,0.281,209.177,-61.614,0.296,-6.571,-2.422,-51.041,8.0,"nan","nan"
"KHARCHENKO2012;BICA2019","307;2085","Loden 1095;OCL 913.1;MWSC 2174",208.3235,-59.7013,310.6687,2.238,"nan","nan","nan","loden1095;ocl9131;mwsc2174","UCC G310.6+02.2","Q4P",9.0,0.49,0.5,"CC",17.0,310.626,2.304,208.25,-59.676,0.211,-6.789,-2.023,-64.785,3.0,"nan","nan"
"KHARCHENKO2012;BICA2019","32;2086","MWSC 4668",344.2392,-77.168,310.7097,-38.1778,"nan","nan","nan","mwsc4668","UCC G310.7-38.1","Q4N",11.8,0.74,0.36,"BC",65.0,310.722,-38.21,344.343,-77.132,0.321,3.825,-4.297,6.809,1.0,"nan","nan"
