"UCC_ID","ID","RA_ICRS","DE_ICRS","GLON","GLAT","Plx","pmRA","pmDE","Rv","N_Rv","N_50","r_50","C3","shared_members","shared_members_perc"
"UCC G288.6-02.8","CWNU 4524",161.0326,-62.1544,288.663,-2.852,0.118,-4.784,2.501,36.679,1.0,17.0,4.5,"CB","nan","nan"
"UCC G288.6-05.0","CWWDL 14602",158.7149,-64.0785,288.618,-5.184,1.795,-16.855,1.669,-4.468,34.0,67.0,27.4,"AA","hsc2384;cwwdl14597","100.0;55.2"
"UCC G288.6+00.4","Trumpler 17",164.108,-59.23,288.684,0.425,0.382,-4.665,2.221,-1.284,6.0,284.0,3.6,"AA","nan","nan"
"UCC G288.6-02.0","CWWDL 5172",161.8768,-61.4842,288.704,-2.088,0.21,-5.559,2.275,-4.235,1.0,12.0,7.4,"DC","nan","nan"
"UCC G288.7+00.8","CWNU 4431",164.5276,-58.8069,288.708,0.896,0.185,-5.672,2.251,28.37,1.0,14.0,3.0,"DB","nan","nan"
"UCC G288.7-00.9","HSC 2381",163.0192,-60.4721,288.724,-0.933,0.29,-5.8,2.015,"nan",0.0,20.0,2.6,"AB","nan","nan"
"UCC G288.7-00.5","HSC 2382",163.4929,-60.108,288.781,-0.507,0.212,-7.257,3.179,4.467,3.0,59.0,2.0,"AB","nan","nan"
"UCC G288.8-01.0a","CWNU 4622",163.0139,-60.6444,288.813,-1.09,0.225,-7.302,2.987,-27.5,1.0,23.0,5.3,"DC","nan","nan"
"UCC G288.8-01.2","CWWDL 13407",162.884,-60.7949,288.756,-1.223,0.423,-6.309,2.337,"nan",0.0,17.0,7.2,"DC","nan","nan"
"UCC G288.8+00.6","Hogg 9;OCL 832;ESO 128 24;MWSC 1874",164.5976,-59.058,288.836,0.639,0.222,-7.256,2.657,"nan",0.0,14.0,6.3,"DC","nan","nan"
"UCC G288.8+02.0","CWWDL 11253",165.6863,-57.8236,288.859,2.056,0.227,-6.194,2.268,"nan",0.0,9.0,7.0,"DC","nan","nan"
"UCC G288.8-01.0","UBC 264",163.166,-60.595,288.857,-1.014,0.347,-5.819,2.643,5.527,5.0,54.0,2.2,"AB","nan","nan"
"UCC G288.8-05.0","HSC 2384",159.0487,-64.212,288.67,-5.187,1.795,-16.854,1.61,-4.115,38.0,77.0,28.0,"AA","cwwdl14602;cwwdl14597","87.0;49.4"
"UCC G288.8-02.9","CWWDL 4221",161.3807,-62.3207,288.801,-2.929,0.265,-6.157,2.827,8.605,1.0,14.0,13.6,"CC","nan","nan"
"UCC G288.9-00.4","UBC 1487",163.7547,-60.1257,288.912,-0.447,0.419,-6.586,2.162,"nan",0.0,27.0,3.9,"BB","nan","nan"
"UCC G288.9-02.7","CWWDL 508",161.6597,-62.1859,288.955,-2.755,0.222,-5.295,2.41,4.534,2.0,6.0,9.2,"DC","nan","nan"
"UCC G288.9+00.0","HSC 2386",164.2592,-59.6921,288.953,0.038,0.2,-4.565,2.139,15.356,9.0,64.0,1.9,"BA","cwnu3337","95.3"
